PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,2]",Ceres,Conjunction,"(0,2]",546,429,975,0.56,0.44
CE_a0_0,Ceres,Conjunction,0,5001,4524,9525,0.53,0.47
"CE_a103_(0,3]",Ceres,BiSeptile,"(0,3]",1087,921,2008,0.54,0.46
CE_a103_0,Ceres,BiSeptile,0,4460,4032,8492,0.53,0.47
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",1044,916,1960,0.53,0.47
CE_a120_0,Ceres,Trine,0,4503,4037,8540,0.53,0.47
"CE_a135_(0,3]",Ceres,SesquiSquare,"(0,3]",1027,942,1969,0.52,0.48
CE_a135_0,Ceres,SesquiSquare,0,4520,4011,8531,0.53,0.47
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",971,954,1925,0.5,0.5
CE_a144_0,Ceres,BiQuintile,0,4576,3999,8575,0.53,0.47
"CE_a150_(0,3]",Ceres,Quincunx,"(0,3]",921,826,1747,0.53,0.47
CE_a150_0,Ceres,Quincunx,0,4626,4127,8753,0.53,0.47
"CE_a180_(0,2]",Ceres,Opposition,"(0,2]",480,452,932,0.52,0.48
CE_a180_0,Ceres,Opposition,0,5067,4501,9568,0.53,0.47
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",1260,1094,2354,0.54,0.46
"CE_a30_(1,3]",Ceres,SemiSextile,"(1,3]",232,209,441,0.53,0.47
CE_a30_0,Ceres,SemiSextile,0,4055,3650,7705,0.53,0.47
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",1223,1094,2317,0.53,0.47
"CE_a36_(1,4]",Ceres,SemiQuintile,"(1,4]",241,226,467,0.52,0.48
CE_a36_0,Ceres,SemiQuintile,0,4083,3633,7716,0.53,0.47
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",1353,1181,2534,0.53,0.47
CE_a45_0,Ceres,SemiSquare,0,4194,3772,7966,0.53,0.47
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",1247,1017,2264,0.55,0.45
CE_a60_0,Ceres,Sextile,0,4300,3936,8236,0.52,0.48
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",1081,1063,2144,0.5,0.5
CE_a72_0,Ceres,Quintile,0,4466,3890,8356,0.53,0.47
"CE_a90_(0,3]",Ceres,Square,"(0,3]",875,787,1662,0.53,0.47
CE_a90_0,Ceres,Square,0,4672,4166,8838,0.53,0.47
"CH_a0_(0,1]",Chiron,Conjunction,"(0,1]",265,219,484,0.55,0.45
CH_a0_0,Chiron,Conjunction,0,5282,4734,10016,0.53,0.47
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",155,124,279,0.56,0.44
CH_a103_0,Chiron,BiSeptile,0,5392,4829,10221,0.53,0.47
"CH_a120_(0,2]",Chiron,Trine,"(0,2]",165,130,295,0.56,0.44
CH_a120_0,Chiron,Trine,0,5382,4823,10205,0.53,0.47
"CH_a135_(0,2]",Chiron,SesquiSquare,"(0,2]",149,153,302,0.49,0.51
CH_a135_0,Chiron,SesquiSquare,0,5398,4800,10198,0.53,0.47
"CH_a144_(0,2]",Chiron,BiQuintile,"(0,2]",366,337,703,0.52,0.48
CH_a144_0,Chiron,BiQuintile,0,5181,4616,9797,0.53,0.47
"CH_a150_(0,2]",Chiron,Quincunx,"(0,2]",337,275,612,0.55,0.45
CH_a150_0,Chiron,Quincunx,0,5210,4678,9888,0.53,0.47
"CH_a180_(0,1]",Chiron,Opposition,"(0,1]",263,203,466,0.56,0.44
CH_a180_0,Chiron,Opposition,0,5284,4750,10034,0.53,0.47
CH_a30_0,Chiron,SemiSextile,0,3753,3361,7114,0.53,0.47
