PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,3]",Ceres,Conjunction,"(0,3]",584,491,1075,0.54,0.46
CE_a0_0,Ceres,Conjunction,0,4982,4469,9451,0.53,0.47
"CE_a103_(0,4]",Ceres,BiSeptile,"(0,4]",1072,945,2017,0.53,0.47
CE_a103_0,Ceres,BiSeptile,0,4494,4015,8509,0.53,0.47
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",1050,959,2009,0.52,0.48
CE_a120_0,Ceres,Trine,0,4516,4001,8517,0.53,0.47
"CE_a135_(0,4]",Ceres,SesquiSquare,"(0,4]",1003,871,1874,0.54,0.46
CE_a135_0,Ceres,SesquiSquare,0,4563,4089,8652,0.53,0.47
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",1081,927,2008,0.54,0.46
CE_a144_0,Ceres,BiQuintile,0,4485,4033,8518,0.53,0.47
"CE_a150_(0,4]",Ceres,Quincunx,"(0,4]",1030,968,1998,0.52,0.48
CE_a150_0,Ceres,Quincunx,0,4536,3992,8528,0.53,0.47
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",504,457,961,0.52,0.48
CE_a180_0,Ceres,Opposition,0,5062,4503,9565,0.53,0.47
"CE_a30_(0,4]",Ceres,SemiSextile,"(0,4]",1084,990,2074,0.52,0.48
CE_a30_0,Ceres,SemiSextile,0,4482,3970,8452,0.53,0.47
"CE_a36_(0,4]",Ceres,SemiQuintile,"(0,4]",1140,963,2103,0.54,0.46
CE_a36_0,Ceres,SemiQuintile,0,4426,3997,8423,0.53,0.47
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",1168,1058,2226,0.52,0.48
CE_a45_0,Ceres,SemiSquare,0,4398,3902,8300,0.53,0.47
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",1087,966,2053,0.53,0.47
CE_a60_0,Ceres,Sextile,0,4479,3994,8473,0.53,0.47
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",1159,973,2132,0.54,0.46
CE_a72_0,Ceres,Quintile,0,4407,3987,8394,0.53,0.47
"CE_a90_(0,4]",Ceres,Square,"(0,4]",1020,1001,2021,0.5,0.5
CE_a90_0,Ceres,Square,0,4546,3959,8505,0.53,0.47
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",799,754,1553,0.51,0.49
CH_a0_0,Chiron,Conjunction,0,4767,4206,8973,0.53,0.47
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",1397,1315,2712,0.52,0.48
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",278,245,523,0.53,0.47
CH_a103_0,Chiron,BiSeptile,0,3891,3400,7291,0.53,0.47
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",1360,1121,2481,0.55,0.45
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",247,248,495,0.5,0.5
CH_a120_0,Chiron,Trine,0,3959,3591,7550,0.52,0.48
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",1342,1151,2493,0.54,0.46
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",273,279,552,0.49,0.51
