PlanetsAspect,PlanetX,PlanetY,Aspect,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CH_a0,Ceres,Chiron,Conjunction,48,32,80,0.6,0.4
CE_CH_a103,Ceres,Chiron,BiSeptile,189,140,329,0.57,0.43
CE_CH_a120,Ceres,Chiron,Trine,106,95,201,0.53,0.47
CE_CH_a135,Ceres,Chiron,SesquiSquare,121,113,234,0.52,0.48
CE_CH_a144,Ceres,Chiron,BiQuintile,75,84,159,0.47,0.53
CE_CH_a150,Ceres,Chiron,Quincunx,74,57,131,0.56,0.44
CE_CH_a180,Ceres,Chiron,Opposition,80,97,177,0.45,0.55
CE_CH_a30,Ceres,Chiron,SemiSextile,132,97,229,0.58,0.42
CE_CH_a36,Ceres,Chiron,SemiQuintile,133,148,281,0.47,0.53
CE_CH_a45,Ceres,Chiron,SemiSquare,131,109,240,0.55,0.45
CE_CH_a60,Ceres,Chiron,Sextile,175,124,299,0.59,0.41
CE_CH_a72,Ceres,Chiron,Quintile,122,104,226,0.54,0.46
CE_CH_a90,Ceres,Chiron,Square,141,142,283,0.5,0.5
CE_JU_a0,Ceres,Jupiter,Conjunction,39,49,88,0.44,0.56
CE_JU_a103,Ceres,Jupiter,BiSeptile,139,135,274,0.51,0.49
CE_JU_a120,Ceres,Jupiter,Trine,93,91,184,0.51,0.49
CE_JU_a135,Ceres,Jupiter,SesquiSquare,135,113,248,0.54,0.46
CE_JU_a144,Ceres,Jupiter,BiQuintile,103,101,204,0.5,0.5
CE_JU_a150,Ceres,Jupiter,Quincunx,90,98,188,0.48,0.52
CE_JU_a180,Ceres,Jupiter,Opposition,73,53,126,0.58,0.42
CE_JU_a30,Ceres,Jupiter,SemiSextile,134,99,233,0.58,0.42
CE_JU_a36,Ceres,Jupiter,SemiQuintile,171,142,313,0.55,0.45
CE_JU_a45,Ceres,Jupiter,SemiSquare,109,96,205,0.53,0.47
CE_JU_a60,Ceres,Jupiter,Sextile,111,92,203,0.55,0.45
CE_JU_a72,Ceres,Jupiter,Quintile,115,112,227,0.51,0.49
CE_JU_a90,Ceres,Jupiter,Square,126,99,225,0.56,0.44
CE_NE_a0,Ceres,Neptune,Conjunction,72,42,114,0.63,0.37
CE_NE_a103,Ceres,Neptune,BiSeptile,96,92,188,0.51,0.49
CE_NE_a120,Ceres,Neptune,Trine,138,120,258,0.53,0.47
CE_NE_a135,Ceres,Neptune,SesquiSquare,107,104,211,0.51,0.49
CE_NE_a144,Ceres,Neptune,BiQuintile,112,111,223,0.5,0.5
CE_NE_a150,Ceres,Neptune,Quincunx,125,111,236,0.53,0.47
CE_NE_a180,Ceres,Neptune,Opposition,37,35,72,0.51,0.49
CE_NE_a30,Ceres,Neptune,SemiSextile,143,113,256,0.56,0.44
CE_NE_a36,Ceres,Neptune,SemiQuintile,137,108,245,0.56,0.44
CE_NE_a45,Ceres,Neptune,SemiSquare,127,127,254,0.5,0.5
CE_NE_a60,Ceres,Neptune,Sextile,135,112,247,0.55,0.45
CE_NE_a72,Ceres,Neptune,Quintile,132,107,239,0.55,0.45
CE_NE_a90,Ceres,Neptune,Square,105,90,195,0.54,0.46
CE_NN_a0,Ceres,NNode,Conjunction,121,88,209,0.58,0.42
CE_NN_a103,Ceres,NNode,BiSeptile,113,91,204,0.55,0.45
CE_NN_a120,Ceres,NNode,Trine,171,140,311,0.55,0.45
CE_NN_a135,Ceres,NNode,SesquiSquare,162,133,295,0.55,0.45
CE_NN_a144,Ceres,NNode,BiQuintile,122,143,265,0.46,0.54
CE_NN_a150,Ceres,NNode,Quincunx,154,149,303,0.51,0.49
CE_NN_a180,Ceres,NNode,Opposition,37,33,70,0.53,0.47
CE_NN_a30,Ceres,NNode,SemiSextile,127,77,204,0.62,0.38
CE_NN_a36,Ceres,NNode,SemiQuintile,111,123,234,0.47,0.53
CE_NN_a45,Ceres,NNode,SemiSquare,92,64,156,0.59,0.41
CE_NN_a60,Ceres,NNode,Sextile,152,136,288,0.53,0.47
CE_NN_a72,Ceres,NNode,Quintile,95,101,196,0.48,0.52
CE_NN_a90,Ceres,NNode,Square,144,135,279,0.52,0.48
CE_PA_a103,Ceres,Pallas,BiSeptile,36,23,59,0.61,0.39
CE_PA_a30,Ceres,Pallas,SemiSextile,510,498,1008,0.51,0.49
CE_PA_a36,Ceres,Pallas,SemiQuintile,490,377,867,0.57,0.43
CE_PA_a45,Ceres,Pallas,SemiSquare,424,387,811,0.52,0.48
CE_PA_a60,Ceres,Pallas,Sextile,203,170,373,0.54,0.46
CE_PA_a72,Ceres,Pallas,Quintile,95,113,208,0.46,0.54
CE_PA_a90,Ceres,Pallas,Square,68,62,130,0.52,0.48
CE_PH_a0,Ceres,Pholus,Conjunction,63,60,123,0.51,0.49
CE_PH_a103,Ceres,Pholus,BiSeptile,133,111,244,0.55,0.45
CE_PH_a120,Ceres,Pholus,Trine,159,106,265,0.6,0.4
CE_PH_a135,Ceres,Pholus,SesquiSquare,183,196,379,0.48,0.52
CE_PH_a144,Ceres,Pholus,BiQuintile,162,147,309,0.52,0.48
CE_PH_a150,Ceres,Pholus,Quincunx,142,153,295,0.48,0.52
CE_PH_a180,Ceres,Pholus,Opposition,55,60,115,0.48,0.52
CE_PH_a30,Ceres,Pholus,SemiSextile,172,154,326,0.53,0.47
CE_PH_a36,Ceres,Pholus,SemiQuintile,142,136,278,0.51,0.49
