PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(4,5]",Ceres,"(4,5]",128,152,280,0.46,0.54
"CE_(5,7]",Ceres,"(5,7]",274,206,480,0.57,0.43
"CE_(7,13]",Ceres,"(7,13]",148,131,279,0.53,0.47
"CE_[0,4]",Ceres,"[0,4]",212,213,425,0.5,0.5
"CH_(4,5]",Chiron,"(4,5]",172,145,317,0.54,0.46
"CH_(5,7]",Chiron,"(5,7]",307,246,553,0.56,0.44
"CH_(7,13]",Chiron,"(7,13]",134,143,277,0.48,0.52
"CH_[0,4]",Chiron,"[0,4]",149,168,317,0.47,0.53
"JN_(4,5]",Juno,"(4,5]",157,148,305,0.51,0.49
"JN_(5,7]",Juno,"(5,7]",244,228,472,0.52,0.48
"JN_(7,14]",Juno,"(7,14]",93,94,187,0.5,0.5
"JN_[0,4]",Juno,"[0,4]",268,232,500,0.54,0.46
"JU_(4,5]",Jupiter,"(4,5]",155,146,301,0.51,0.49
"JU_(5,7]",Jupiter,"(5,7]",217,177,394,0.55,0.45
"JU_(7,12]",Jupiter,"(7,12]",87,94,181,0.48,0.52
"JU_[0,4]",Jupiter,"[0,4]",303,285,588,0.52,0.48
"MA_(4,5]",Mars,"(4,5]",147,114,261,0.56,0.44
"MA_(5,7]",Mars,"(5,7]",225,231,456,0.49,0.51
"MA_(7,13]",Mars,"(7,13]",110,123,233,0.47,0.53
"MA_[0,4]",Mars,"[0,4]",280,234,514,0.54,0.46
"ME_(4,5]",Mercury,"(4,5]",136,145,281,0.48,0.52
"ME_(5,7]",Mercury,"(5,7]",237,197,434,0.55,0.45
"ME_(7,14]",Mercury,"(7,14]",76,84,160,0.48,0.52
"ME_[0,4]",Mercury,"[0,4]",313,276,589,0.53,0.47
"MO_(13,15]",Moon,"(13,15]",241,221,462,0.52,0.48
"MO_(15,17]",Moon,"(15,17]",181,167,348,0.52,0.48
"MO_(17,27]",Moon,"(17,27]",122,109,231,0.53,0.47
"MO_[5,13]",Moon,"[5,13]",218,205,423,0.52,0.48
"NE_(4,5]",Neptune,"(4,5]",134,139,273,0.49,0.51
"NE_(5,6]",Neptune,"(5,6]",118,98,216,0.55,0.45
"NE_(6,13]",Neptune,"(6,13]",196,161,357,0.55,0.45
"NE_[0,4]",Neptune,"[0,4]",314,304,618,0.51,0.49
"NN_(5,6]",NNode,"(5,6]",147,145,292,0.5,0.5
"NN_(6,7]",NNode,"(6,7]",121,115,236,0.51,0.49
"NN_(7,13]",NNode,"(7,13]",179,189,368,0.49,0.51
"NN_[1,5]",NNode,"[1,5]",315,253,568,0.55,0.45
"PA_(4,5]",Pallas,"(4,5]",123,146,269,0.46,0.54
"PA_(5,7]",Pallas,"(5,7]",236,235,471,0.5,0.5
"PA_(7,13]",Pallas,"(7,13]",105,98,203,0.52,0.48
"PA_[0,4]",Pallas,"[0,4]",298,223,521,0.57,0.43
"PH_(4,5]",Pholus,"(4,5]",143,121,264,0.54,0.46
"PH_(5,6]",Pholus,"(5,6]",112,123,235,0.48,0.52
"PH_(6,13]",Pholus,"(6,13]",144,128,272,0.53,0.47
"PH_[0,4]",Pholus,"[0,4]",363,330,693,0.52,0.48
"PL_(4,5]",Pluto,"(4,5]",145,149,294,0.49,0.51
"PL_(5,6]",Pluto,"(5,6]",127,113,240,0.53,0.47
"PL_(6,14]",Pluto,"(6,14]",136,138,274,0.5,0.5
"PL_[0,4]",Pluto,"[0,4]",354,302,656,0.54,0.46
"SA_(4,5]",Saturn,"(4,5]",150,117,267,0.56,0.44
"SA_(5,7]",Saturn,"(5,7]",284,249,533,0.53,0.47
"SA_(7,14]",Saturn,"(7,14]",104,118,222,0.47,0.53
"SA_[0,4]",Saturn,"[0,4]",224,218,442,0.51,0.49
"SN_(5,6]",SNode,"(5,6]",156,146,302,0.52,0.48
"SN_(6,7]",SNode,"(6,7]",133,122,255,0.52,0.48
"SN_(7,13]",SNode,"(7,13]",180,185,365,0.49,0.51
"SN_[1,5]",SNode,"[1,5]",293,249,542,0.54,0.46
"SU_(4,5]",Sun,"(4,5]",178,162,340,0.52,0.48
"SU_(5,7]",Sun,"(5,7]",215,210,425,0.51,0.49
"SU_(7,14]",Sun,"(7,14]",94,103,197,0.48,0.52
"SU_[0,4]",Sun,"[0,4]",275,227,502,0.55,0.45
"UR_(4,5]",Uranus,"(4,5]",121,122,243,0.5,0.5
"UR_(5,7]",Uranus,"(5,7]",305,258,563,0.54,0.46
"UR_(7,15]",Uranus,"(7,15]",200,175,375,0.53,0.47
"UR_[0,4]",Uranus,"[0,4]",136,147,283,0.48,0.52
"VE_(4,5]",Venus,"(4,5]",143,142,285,0.5,0.5
"VE_(5,7]",Venus,"(5,7]",219,212,431,0.51,0.49
"VE_(7,14]",Venus,"(7,14]",143,113,256,0.56,0.44
"VE_[0,4]",Venus,"[0,4]",257,235,492,0.52,0.48
"VS_(4,5]",Vesta,"(4,5]",144,112,256,0.56,0.44
"VS_(5,7]",Vesta,"(5,7]",256,216,472,0.54,0.46
"VS_(7,13]",Vesta,"(7,13]",100,115,215,0.47,0.53
"VS_[0,4]",Vesta,"[0,4]",262,259,521,0.5,0.5
