PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,2]",Ceres,Conjunction,"(0,2]",95,89,184,0.52,0.48
CE_a0_0,Ceres,Conjunction,0,697,644,1341,0.52,0.48
"CE_a103_(0,3]",Ceres,BiSeptile,"(0,3]",132,145,277,0.48,0.52
CE_a103_0,Ceres,BiSeptile,0,660,588,1248,0.53,0.47
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",86,100,186,0.46,0.54
CE_a120_0,Ceres,Trine,0,706,633,1339,0.53,0.47
"CE_a135_(0,3]",Ceres,SesquiSquare,"(0,3]",152,170,322,0.47,0.53
CE_a135_0,Ceres,SesquiSquare,0,640,563,1203,0.53,0.47
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",167,137,304,0.55,0.45
CE_a144_0,Ceres,BiQuintile,0,625,596,1221,0.51,0.49
"CE_a150_(0,3]",Ceres,Quincunx,"(0,3]",143,139,282,0.51,0.49
CE_a150_0,Ceres,Quincunx,0,649,594,1243,0.52,0.48
"CE_a180_(0,2]",Ceres,Opposition,"(0,2]",66,55,121,0.55,0.45
CE_a180_0,Ceres,Opposition,0,726,678,1404,0.52,0.48
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",202,162,364,0.55,0.45
"CE_a30_(1,3]",Ceres,SemiSextile,"(1,3]",38,23,61,0.62,0.38
CE_a30_0,Ceres,SemiSextile,0,552,548,1100,0.5,0.5
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",175,142,317,0.55,0.45
"CE_a36_(1,4]",Ceres,SemiQuintile,"(1,4]",91,90,181,0.5,0.5
CE_a36_0,Ceres,SemiQuintile,0,526,501,1027,0.51,0.49
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",256,218,474,0.54,0.46
CE_a45_0,Ceres,SemiSquare,0,536,515,1051,0.51,0.49
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",242,168,410,0.59,0.41
CE_a60_0,Ceres,Sextile,0,550,565,1115,0.49,0.51
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",165,129,294,0.56,0.44
CE_a72_0,Ceres,Quintile,0,627,604,1231,0.51,0.49
"CE_a90_(0,3]",Ceres,Square,"(0,3]",118,92,210,0.56,0.44
CE_a90_0,Ceres,Square,0,674,641,1315,0.51,0.49
CH_a0_0,Chiron,Conjunction,0,792,733,1525,0.52,0.48
