PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(2,3]",Ceres,"(2,3]",134,118,252,0.53,0.47
"CE_(3,4]",Ceres,"(3,4]",151,111,262,0.58,0.42
"CE_(4,8]",Ceres,"(4,8]",125,117,242,0.52,0.48
"CE_[0,2]",Ceres,"[0,2]",241,239,480,0.5,0.5
"CH_(1,2]",Chiron,"(1,2]",274,261,535,0.51,0.49
"CH_(2,3]",Chiron,"(2,3]",99,83,182,0.54,0.46
CH_1,Chiron,1,258,214,472,0.55,0.45
"CH_[0,1)",Chiron,"[0,1)",20,27,47,0.43,0.57
"JN_(2,3]",Juno,"(2,3]",152,143,295,0.52,0.48
"JN_(3,4]",Juno,"(3,4]",102,97,199,0.51,0.49
"JN_(4,9]",Juno,"(4,9]",112,101,213,0.53,0.47
"JN_[0,2]",Juno,"[0,2]",285,244,529,0.54,0.46
"JU_(1,2]",Jupiter,"(1,2]",159,164,323,0.49,0.51
"JU_(2,3]",Jupiter,"(2,3]",115,96,211,0.55,0.45
"JU_(3,7]",Jupiter,"(3,7]",124,110,234,0.53,0.47
"JU_[0,1]",Jupiter,"[0,1]",253,215,468,0.54,0.46
"MA_(2,3]",Mars,"(2,3]",159,116,275,0.58,0.42
"MA_(3,5]",Mars,"(3,5]",233,228,461,0.51,0.49
"MA_(5,11]",Mars,"(5,11]",86,107,193,0.45,0.55
"MA_[0,2]",Mars,"[0,2]",173,134,307,0.56,0.44
"ME_(3,4]",Mercury,"(3,4]",129,133,262,0.49,0.51
"ME_(4,6]",Mercury,"(4,6]",201,185,386,0.52,0.48
"ME_(6,13]",Mercury,"(6,13]",82,67,149,0.55,0.45
"ME_[0,3]",Mercury,"[0,3]",239,200,439,0.54,0.46
"MO_(13,15]",Moon,"(13,15]",198,178,376,0.53,0.47
"MO_(15,17]",Moon,"(15,17]",158,145,303,0.52,0.48
"MO_(17,27]",Moon,"(17,27]",104,94,198,0.53,0.47
"MO_[5,13]",Moon,"[5,13]",191,168,359,0.53,0.47
NE_0,Neptune,0,651,585,1236,0.53,0.47
"NN_(2,3]",NNode,"(2,3]",170,137,307,0.55,0.45
"NN_(3,6]",NNode,"(3,6]",200,189,389,0.51,0.49
NN_2,NNode,2,195,175,370,0.53,0.47
"NN_[1,2)",NNode,"[1,2)",86,84,170,0.51,0.49
"PA_(1,2]",Pallas,"(1,2]",141,116,257,0.55,0.45
"PA_(2,3]",Pallas,"(2,3]",163,171,334,0.49,0.51
"PA_(3,8]",Pallas,"(3,8]",118,113,231,0.51,0.49
"PA_[0,1]",Pallas,"[0,1]",229,185,414,0.55,0.45
"PH_(0,1]",Pholus,"(0,1]",179,153,332,0.54,0.46
PH_0,Pholus,0,472,432,904,0.52,0.48
"SA_(1,2]",Saturn,"(1,2]",169,140,309,0.55,0.45
"SA_(2,4]",Saturn,"(2,4]",72,69,141,0.51,0.49
SA_1,Saturn,1,139,116,255,0.55,0.45
"SA_[0,1)",Saturn,"[0,1)",271,260,531,0.51,0.49
"SN_(2,5]",SNode,"(2,5]",223,199,422,0.53,0.47
SN_2,SNode,2,159,136,295,0.54,0.46
"SN_[0,1]",SNode,"[0,1]",269,250,519,0.52,0.48
"SU_(3,4]",Sun,"(3,4]",141,119,260,0.54,0.46
"SU_(4,5]",Sun,"(4,5]",101,103,204,0.5,0.5
"SU_(5,11]",Sun,"(5,11]",122,129,251,0.49,0.51
"SU_[0,3]",Sun,"[0,3]",287,234,521,0.55,0.45
"UR_(1,3]",Uranus,"(1,3]",283,252,535,0.53,0.47
UR_0,Uranus,0,173,161,334,0.52,0.48
UR_1,Uranus,1,195,172,367,0.53,0.47
"VE_(3,4]",Venus,"(3,4]",117,128,245,0.48,0.52
"VE_(4,6]",Venus,"(4,6]",215,191,406,0.53,0.47
"VE_(6,12]",Venus,"(6,12]",89,75,164,0.54,0.46
"VE_[0,3]",Venus,"[0,3]",230,191,421,0.55,0.45
"VS_(2,3]",Vesta,"(2,3]",153,118,271,0.56,0.44
"VS_(3,4]",Vesta,"(3,4]",130,114,244,0.53,0.47
"VS_(4,10]",Vesta,"(4,10]",164,166,330,0.5,0.5
"VS_[0,2]",Vesta,"[0,2]",204,187,391,0.52,0.48
