PlanetQuality,Planet,Quality,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,88,77,165,0.53,0.47
CE_FIX,Ceres,Fixed,239,235,474,0.5,0.5
CE_MUT,Ceres,Mutable,337,289,626,0.54,0.46
CH_CAR,Chiron,Cardinal,479,433,912,0.53,0.47
CH_MUT,Chiron,Mutable,185,168,353,0.52,0.48
JN_CAR,Juno,Cardinal,284,247,531,0.53,0.47
JN_FIX,Juno,Fixed,214,204,418,0.51,0.49
JN_MUT,Juno,Mutable,166,150,316,0.53,0.47
JU_CAR,Jupiter,Cardinal,230,167,397,0.58,0.42
JU_FIX,Jupiter,Fixed,246,233,479,0.51,0.49
JU_MUT,Jupiter,Mutable,188,201,389,0.48,0.52
MA_CAR,Mars,Cardinal,280,225,505,0.55,0.45
MA_FIX,Mars,Fixed,221,219,440,0.5,0.5
MA_MUT,Mars,Mutable,163,157,320,0.51,0.49
ME_CAR,Mercury,Cardinal,221,177,398,0.56,0.44
ME_FIX,Mercury,Fixed,237,231,468,0.51,0.49
ME_MUT,Mercury,Mutable,206,193,399,0.52,0.48
MO_CAR,Moon,Cardinal,228,197,425,0.54,0.46
MO_FIX,Moon,Fixed,225,196,421,0.53,0.47
MO_MUT,Moon,Mutable,211,208,419,0.5,0.5
NE_MUT,Neptune,Mutable,664,601,1265,0.52,0.48
NN_CAR,NNode,Cardinal,291,275,566,0.51,0.49
NN_FIX,NNode,Fixed,214,205,419,0.51,0.49
NN_MUT,NNode,Mutable,159,121,280,0.57,0.43
PA_CAR,Pallas,Cardinal,370,327,697,0.53,0.47
PA_FIX,Pallas,Fixed,184,192,376,0.49,0.51
PA_MUT,Pallas,Mutable,110,82,192,0.57,0.43
PH_CAR,Pholus,Cardinal,479,402,881,0.54,0.46
PH_MUT,Pholus,Mutable,185,199,384,0.48,0.52
PL_CAR,Pluto,Cardinal,664,601,1265,0.52,0.48
SA_CAR,Saturn,Cardinal,505,484,989,0.51,0.49
SA_FIX,Saturn,Fixed,111,76,187,0.59,0.41
SA_MUT,Saturn,Mutable,48,41,89,0.54,0.46
SN_CAR,SNode,Cardinal,291,275,566,0.51,0.49
SN_FIX,SNode,Fixed,214,205,419,0.51,0.49
SN_MUT,SNode,Mutable,159,121,280,0.57,0.43
SU_CAR,Sun,Cardinal,238,184,422,0.56,0.44
SU_FIX,Sun,Fixed,238,187,425,0.56,0.44
SU_MUT,Sun,Mutable,188,230,418,0.45,0.55
UR_CAR,Uranus,Cardinal,185,170,355,0.52,0.48
UR_FIX,Uranus,Fixed,479,431,910,0.53,0.47
VE_CAR,Venus,Cardinal,192,202,394,0.49,0.51
VE_FIX,Venus,Fixed,222,189,411,0.54,0.46
VE_MUT,Venus,Mutable,250,210,460,0.54,0.46
VS_CAR,Vesta,Cardinal,185,152,337,0.55,0.45
VS_FIX,Vesta,Fixed,237,240,477,0.5,0.5
VS_MUT,Vesta,Mutable,242,209,451,0.54,0.46
