PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,3]",Ceres,Conjunction,"(0,3]",76,64,140,0.54,0.46
CE_a0_0,Ceres,Conjunction,0,901,860,1761,0.51,0.49
"CE_a103_(0,4]",Ceres,BiSeptile,"(0,4]",230,203,433,0.53,0.47
CE_a103_0,Ceres,BiSeptile,0,747,721,1468,0.51,0.49
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",247,242,489,0.51,0.49
CE_a120_0,Ceres,Trine,0,730,682,1412,0.52,0.48
"CE_a135_(0,4]",Ceres,SesquiSquare,"(0,4]",206,188,394,0.52,0.48
CE_a135_0,Ceres,SesquiSquare,0,771,736,1507,0.51,0.49
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",210,175,385,0.55,0.45
CE_a144_0,Ceres,BiQuintile,0,767,749,1516,0.51,0.49
"CE_a150_(0,4]",Ceres,Quincunx,"(0,4]",185,167,352,0.53,0.47
CE_a150_0,Ceres,Quincunx,0,792,757,1549,0.51,0.49
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",95,88,183,0.52,0.48
CE_a180_0,Ceres,Opposition,0,882,836,1718,0.51,0.49
"CE_a30_(0,4]",Ceres,SemiSextile,"(0,4]",183,190,373,0.49,0.51
CE_a30_0,Ceres,SemiSextile,0,794,734,1528,0.52,0.48
"CE_a36_(0,4]",Ceres,SemiQuintile,"(0,4]",174,160,334,0.52,0.48
CE_a36_0,Ceres,SemiQuintile,0,803,764,1567,0.51,0.49
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",189,188,377,0.5,0.5
CE_a45_0,Ceres,SemiSquare,0,788,736,1524,0.52,0.48
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",146,135,281,0.52,0.48
CE_a60_0,Ceres,Sextile,0,831,789,1620,0.51,0.49
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",163,165,328,0.5,0.5
CE_a72_0,Ceres,Quintile,0,814,759,1573,0.52,0.48
"CE_a90_(0,4]",Ceres,Square,"(0,4]",189,185,374,0.51,0.49
CE_a90_0,Ceres,Square,0,788,739,1527,0.52,0.48
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",90,89,179,0.5,0.5
CH_a0_0,Chiron,Conjunction,0,887,835,1722,0.52,0.48
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",241,228,469,0.51,0.49
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",75,52,127,0.59,0.41
CH_a103_0,Chiron,BiSeptile,0,661,644,1305,0.51,0.49
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",218,204,422,0.52,0.48
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",43,36,79,0.54,0.46
CH_a120_0,Chiron,Trine,0,716,684,1400,0.51,0.49
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",205,198,403,0.51,0.49
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",31,41,72,0.43,0.57
CH_a135_0,Chiron,SesquiSquare,0,741,685,1426,0.52,0.48
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",176,180,356,0.49,0.51
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",46,37,83,0.55,0.45
