PlanetVedicMansion,Planet,VedicMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_VM01,Ceres,Aswini,19,15,34,0.56,0.44
CE_VM02,Ceres,Bharani,12,24,36,0.33,0.67
CE_VM03,Ceres,Krittica,26,17,43,0.6,0.4
CE_VM04,Ceres,Rohini,50,57,107,0.47,0.53
CE_VM08,Ceres,Pushya,65,56,121,0.54,0.46
CE_VM09,Ceres,Ashlesha,70,72,142,0.49,0.51
CE_VM10,Ceres,Magha,13,21,34,0.38,0.62
CE_VM11,Ceres,PurvaPhalguni,13,18,31,0.42,0.58
CE_VM12,Ceres,UttaraPhalguni,18,12,30,0.6,0.4
CE_VM13,Ceres,Hasta,15,14,29,0.52,0.48
CE_VM14,Ceres,Chitra,20,10,30,0.67,0.33
CE_VM15,Ceres,Swati,8,23,31,0.26,0.74
CE_VM16,Ceres,Vishakha,22,12,34,0.65,0.35
CE_VM17,Ceres,Anuradha,82,94,176,0.47,0.53
CE_VM18,Ceres,Jyeshtha,61,49,110,0.55,0.45
CE_VM19,Ceres,Mula,11,25,36,0.31,0.69
CE_VM20,Ceres,PurvaAshada,19,14,33,0.58,0.42
CE_VM21,Ceres,UttaraAshada,23,11,34,0.68,0.32
CE_VM22,Ceres,Shravana,16,19,35,0.46,0.54
CE_VM23,Ceres,Danishtha,51,39,90,0.57,0.43
CE_VM24,Ceres,Shatabhisha,119,84,203,0.59,0.41
CE_VM25,Ceres,PurvaBhadrapada,26,12,38,0.68,0.32
CE_VM26,Ceres,UttaraBhadrapada,15,19,34,0.44,0.56
CE_VM27,Ceres,Revati,18,16,34,0.53,0.47
CH_VM25,Chiron,PurvaBhadrapada,83,78,161,0.52,0.48
CH_VM26,Chiron,UttaraBhadrapada,632,576,1208,0.52,0.48
CH_VM27,Chiron,Revati,77,79,156,0.49,0.51
JN_VM01,Juno,Aswini,13,17,30,0.43,0.57
JN_VM02,Juno,Bharani,27,24,51,0.53,0.47
JN_VM03,Juno,Krittica,84,83,167,0.5,0.5
JN_VM04,Juno,Rohini,14,17,31,0.45,0.55
JN_VM05,Juno,Mrigashira,16,13,29,0.55,0.45
JN_VM06,Juno,Ardra,18,9,27,0.67,0.33
JN_VM07,Juno,Punavasu,15,12,27,0.56,0.44
JN_VM08,Juno,Pushya,16,12,28,0.57,0.43
JN_VM09,Juno,Ashlesha,11,17,28,0.39,0.61
JN_VM10,Juno,Magha,9,21,30,0.3,0.7
JN_VM11,Juno,PurvaPhalguni,18,14,32,0.56,0.44
JN_VM12,Juno,UttaraPhalguni,17,18,35,0.49,0.51
JN_VM13,Juno,Hasta,107,82,189,0.57,0.43
JN_VM14,Juno,Chitra,64,58,122,0.52,0.48
JN_VM15,Juno,Swati,19,18,37,0.51,0.49
JN_VM16,Juno,Vishakha,25,14,39,0.64,0.36
JN_VM17,Juno,Anuradha,56,45,101,0.55,0.45
JN_VM18,Juno,Jyeshtha,107,105,212,0.5,0.5
JN_VM19,Juno,Mula,30,25,55,0.55,0.45
JN_VM20,Juno,PurvaAshada,17,29,46,0.37,0.63
JN_VM21,Juno,UttaraAshada,22,13,35,0.63,0.37
JN_VM22,Juno,Shravana,17,14,31,0.55,0.45
JN_VM23,Juno,Danishtha,14,16,30,0.47,0.53
JN_VM24,Juno,Shatabhisha,11,17,28,0.39,0.61
JN_VM25,Juno,PurvaBhadrapada,20,8,28,0.71,0.29
JN_VM26,Juno,UttaraBhadrapada,16,12,28,0.57,0.43
JN_VM27,Juno,Revati,9,20,29,0.31,0.69
JU_VM14,Jupiter,Chitra,14,7,21,0.67,0.33
JU_VM15,Jupiter,Swati,48,57,105,0.46,0.54
JU_VM16,Jupiter,Vishakha,141,133,274,0.51,0.49
JU_VM17,Jupiter,Anuradha,28,32,60,0.47,0.53
JU_VM18,Jupiter,Jyeshtha,144,139,283,0.51,0.49
JU_VM19,Jupiter,Mula,38,52,90,0.42,0.58
JU_VM20,Jupiter,PurvaAshada,89,66,155,0.57,0.43
JU_VM21,Jupiter,UttaraAshada,123,87,210,0.59,0.41
JU_VM22,Jupiter,Shravana,34,23,57,0.6,0.4
JU_VM23,Jupiter,Danishtha,110,98,208,0.53,0.47
JU_VM24,Jupiter,Shatabhisha,23,39,62,0.37,0.63
MA_VM01,Mars,Aswini,48,50,98,0.49,0.51
MA_VM02,Mars,Bharani,27,18,45,0.6,0.4
MA_VM03,Mars,Krittica,24,19,43,0.56,0.44
MA_VM04,Mars,Rohini,17,26,43,0.4,0.6
MA_VM05,Mars,Mrigashira,27,16,43,0.63,0.37
MA_VM06,Mars,Ardra,25,17,42,0.6,0.4
MA_VM07,Mars,Punavasu,22,21,43,0.51,0.49
MA_VM08,Mars,Pushya,17,25,42,0.4,0.6
MA_VM09,Mars,Ashlesha,16,27,43,0.37,0.63
MA_VM10,Mars,Magha,24,18,42,0.57,0.43
MA_VM11,Mars,PurvaPhalguni,29,28,57,0.51,0.49
MA_VM12,Mars,UttaraPhalguni,27,37,64,0.42,0.58
MA_VM13,Mars,Hasta,31,30,61,0.51,0.49
MA_VM14,Mars,Chitra,32,30,62,0.52,0.48
MA_VM15,Mars,Swati,30,31,61,0.49,0.51
MA_VM16,Mars,Vishakha,25,26,51,0.49,0.51
MA_VM17,Mars,Anuradha,21,20,41,0.51,0.49
MA_VM18,Mars,Jyeshtha,21,21,42,0.5,0.5
MA_VM19,Mars,Mula,20,23,43,0.47,0.53
MA_VM20,Mars,PurvaAshada,30,15,45,0.67,0.33
MA_VM21,Mars,UttaraAshada,56,55,111,0.5,0.5
MA_VM22,Mars,Shravana,53,56,109,0.49,0.51
MA_VM23,Mars,Danishtha,25,17,42,0.6,0.4
MA_VM24,Mars,Shatabhisha,18,22,40,0.45,0.55
MA_VM25,Mars,PurvaBhadrapada,24,18,42,0.57,0.43
MA_VM26,Mars,UttaraBhadrapada,30,12,42,0.71,0.29
MA_VM27,Mars,Revati,73,55,128,0.57,0.43
ME_VM01,Mercury,Aswini,16,13,29,0.55,0.45
ME_VM02,Mercury,Bharani,13,14,27,0.48,0.52
ME_VM03,Mercury,Krittica,20,5,25,0.8,0.2
ME_VM04,Mercury,Rohini,19,21,40,0.48,0.52
ME_VM05,Mercury,Mrigashira,24,45,69,0.35,0.65
ME_VM06,Mercury,Ardra,40,31,71,0.56,0.44
ME_VM07,Mercury,Punavasu,31,27,58,0.53,0.47
ME_VM08,Mercury,Pushya,40,24,64,0.62,0.38
ME_VM09,Mercury,Ashlesha,36,41,77,0.47,0.53
ME_VM10,Mercury,Magha,10,18,28,0.36,0.64
ME_VM11,Mercury,PurvaPhalguni,20,12,32,0.62,0.38
ME_VM12,Mercury,UttaraPhalguni,17,23,40,0.42,0.58
ME_VM13,Mercury,Hasta,32,30,62,0.52,0.48
ME_VM14,Mercury,Chitra,44,41,85,0.52,0.48
ME_VM15,Mercury,Swati,41,43,84,0.49,0.51
ME_VM16,Mercury,Vishakha,35,42,77,0.45,0.55
ME_VM17,Mercury,Anuradha,36,42,78,0.46,0.54
ME_VM18,Mercury,Jyeshtha,44,34,78,0.56,0.44
ME_VM19,Mercury,Mula,24,26,50,0.48,0.52
ME_VM20,Mercury,PurvaAshada,23,12,35,0.66,0.34
ME_VM21,Mercury,UttaraAshada,18,15,33,0.55,0.45
