PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(4,5]",Ceres,"(4,5]",215,213,428,0.5,0.5
"CE_(5,7]",Ceres,"(5,7]",420,370,790,0.53,0.47
"CE_(7,13]",Ceres,"(7,13]",237,238,475,0.5,0.5
"CE_[0,4]",Ceres,"[0,4]",323,330,653,0.49,0.51
"CH_(4,5]",Chiron,"(4,5]",255,211,466,0.55,0.45
"CH_(5,7]",Chiron,"(5,7]",434,425,859,0.51,0.49
"CH_(7,13]",Chiron,"(7,13]",217,216,433,0.5,0.5
"CH_[0,4]",Chiron,"[0,4]",289,299,588,0.49,0.51
"JN_(4,5]",Juno,"(4,5]",255,227,482,0.53,0.47
"JN_(5,7]",Juno,"(5,7]",386,373,759,0.51,0.49
"JN_(7,14]",Juno,"(7,14]",143,154,297,0.48,0.52
"JN_[0,4]",Juno,"[0,4]",411,397,808,0.51,0.49
"JU_(4,5]",Jupiter,"(4,5]",249,224,473,0.53,0.47
"JU_(5,7]",Jupiter,"(5,7]",346,320,666,0.52,0.48
"JU_(7,12]",Jupiter,"(7,12]",152,154,306,0.5,0.5
"JU_[0,4]",Jupiter,"[0,4]",448,453,901,0.5,0.5
"MA_(4,5]",Mars,"(4,5]",251,213,464,0.54,0.46
"MA_(5,7]",Mars,"(5,7]",353,358,711,0.5,0.5
"MA_(7,13]",Mars,"(7,13]",199,167,366,0.54,0.46
"MA_[0,4]",Mars,"[0,4]",392,413,805,0.49,0.51
"ME_(4,5]",Mercury,"(4,5]",241,224,465,0.52,0.48
"ME_(5,7]",Mercury,"(5,7]",355,345,700,0.51,0.49
"ME_(7,14]",Mercury,"(7,14]",135,132,267,0.51,0.49
"ME_[0,4]",Mercury,"[0,4]",464,450,914,0.51,0.49
"MO_(13,15]",Moon,"(13,15]",368,326,694,0.53,0.47
"MO_(15,17]",Moon,"(15,17]",293,290,583,0.5,0.5
"MO_(17,27]",Moon,"(17,27]",177,200,377,0.47,0.53
"MO_[5,13]",Moon,"[5,13]",357,335,692,0.52,0.48
"NE_(4,5]",Neptune,"(4,5]",226,223,449,0.5,0.5
"NE_(5,6]",Neptune,"(5,6]",183,189,372,0.49,0.51
"NE_(6,13]",Neptune,"(6,13]",261,257,518,0.5,0.5
"NE_[0,4]",Neptune,"[0,4]",525,482,1007,0.52,0.48
"NN_(5,6]",NNode,"(5,6]",238,226,464,0.51,0.49
"NN_(6,7]",NNode,"(6,7]",211,191,402,0.52,0.48
"NN_(7,13]",NNode,"(7,13]",242,279,521,0.46,0.54
"NN_[1,5]",NNode,"[1,5]",504,455,959,0.53,0.47
"PA_(4,5]",Pallas,"(4,5]",210,224,434,0.48,0.52
"PA_(5,7]",Pallas,"(5,7]",364,332,696,0.52,0.48
"PA_(7,13]",Pallas,"(7,13]",147,165,312,0.47,0.53
"PA_[0,4]",Pallas,"[0,4]",474,430,904,0.52,0.48
"PH_(4,5]",Pholus,"(4,5]",237,232,469,0.51,0.49
"PH_(5,6]",Pholus,"(5,6]",201,209,410,0.49,0.51
"PH_(6,13]",Pholus,"(6,13]",248,231,479,0.52,0.48
"PH_[0,4]",Pholus,"[0,4]",509,479,988,0.52,0.48
"PL_(4,5]",Pluto,"(4,5]",257,247,504,0.51,0.49
"PL_(5,6]",Pluto,"(5,6]",183,196,379,0.48,0.52
"PL_(6,14]",Pluto,"(6,14]",212,191,403,0.53,0.47
"PL_[0,4]",Pluto,"[0,4]",543,517,1060,0.51,0.49
"SA_(4,5]",Saturn,"(4,5]",228,189,417,0.55,0.45
"SA_(5,7]",Saturn,"(5,7]",359,370,729,0.49,0.51
"SA_(7,14]",Saturn,"(7,14]",168,189,357,0.47,0.53
"SA_[0,4]",Saturn,"[0,4]",440,403,843,0.52,0.48
"SN_(5,6]",SNode,"(5,6]",257,255,512,0.5,0.5
"SN_(6,7]",SNode,"(6,7]",211,195,406,0.52,0.48
"SN_(7,13]",SNode,"(7,13]",257,285,542,0.47,0.53
"SN_[1,5]",SNode,"[1,5]",470,416,886,0.53,0.47
"SU_(4,5]",Sun,"(4,5]",269,273,542,0.5,0.5
"SU_(5,7]",Sun,"(5,7]",358,351,709,0.5,0.5
"SU_(7,14]",Sun,"(7,14]",152,156,308,0.49,0.51
"SU_[0,4]",Sun,"[0,4]",416,371,787,0.53,0.47
"UR_(4,5]",Uranus,"(4,5]",205,223,428,0.48,0.52
"UR_(5,7]",Uranus,"(5,7]",438,385,823,0.53,0.47
"UR_(7,15]",Uranus,"(7,15]",255,259,514,0.5,0.5
"UR_[0,4]",Uranus,"[0,4]",297,284,581,0.51,0.49
"VE_(4,5]",Venus,"(4,5]",232,227,459,0.51,0.49
"VE_(5,7]",Venus,"(5,7]",384,362,746,0.51,0.49
"VE_(7,14]",Venus,"(7,14]",197,201,398,0.49,0.51
"VE_[0,4]",Venus,"[0,4]",382,361,743,0.51,0.49
"VS_(4,5]",Vesta,"(4,5]",219,208,427,0.51,0.49
"VS_(5,7]",Vesta,"(5,7]",383,371,754,0.51,0.49
"VS_(7,13]",Vesta,"(7,13]",190,192,382,0.5,0.5
"VS_[0,4]",Vesta,"[0,4]",403,380,783,0.51,0.49
