PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,2]",Ceres,Conjunction,"(0,2]",143,152,295,0.48,0.52
CE_a0_0,Ceres,Conjunction,0,1124,1070,2194,0.51,0.49
"CE_a103_(0,3]",Ceres,BiSeptile,"(0,3]",225,202,427,0.53,0.47
CE_a103_0,Ceres,BiSeptile,0,1042,1020,2062,0.51,0.49
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",212,196,408,0.52,0.48
CE_a120_0,Ceres,Trine,0,1055,1026,2081,0.51,0.49
"CE_a135_(0,3]",Ceres,SesquiSquare,"(0,3]",259,287,546,0.47,0.53
CE_a135_0,Ceres,SesquiSquare,0,1008,935,1943,0.52,0.48
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",235,243,478,0.49,0.51
CE_a144_0,Ceres,BiQuintile,0,1032,979,2011,0.51,0.49
"CE_a150_(0,3]",Ceres,Quincunx,"(0,3]",212,186,398,0.53,0.47
CE_a150_0,Ceres,Quincunx,0,1055,1036,2091,0.5,0.5
"CE_a180_(0,2]",Ceres,Opposition,"(0,2]",89,87,176,0.51,0.49
CE_a180_0,Ceres,Opposition,0,1178,1135,2313,0.51,0.49
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",331,319,650,0.51,0.49
"CE_a30_(1,3]",Ceres,SemiSextile,"(1,3]",55,61,116,0.47,0.53
CE_a30_0,Ceres,SemiSextile,0,881,842,1723,0.51,0.49
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",331,293,624,0.53,0.47
"CE_a36_(1,4]",Ceres,SemiQuintile,"(1,4]",113,104,217,0.52,0.48
CE_a36_0,Ceres,SemiQuintile,0,823,825,1648,0.5,0.5
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",431,395,826,0.52,0.48
CE_a45_0,Ceres,SemiSquare,0,836,827,1663,0.5,0.5
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",339,285,624,0.54,0.46
CE_a60_0,Ceres,Sextile,0,928,937,1865,0.5,0.5
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",290,272,562,0.52,0.48
CE_a72_0,Ceres,Quintile,0,977,950,1927,0.51,0.49
"CE_a90_(0,3]",Ceres,Square,"(0,3]",156,124,280,0.56,0.44
CE_a90_0,Ceres,Square,0,1111,1098,2209,0.5,0.5
CH_a0_0,Chiron,Conjunction,0,1267,1222,2489,0.51,0.49
CH_a103_0,Chiron,BiSeptile,0,1267,1222,2489,0.51,0.49
CH_a120_0,Chiron,Trine,0,1267,1222,2489,0.51,0.49
CH_a135_0,Chiron,SesquiSquare,0,1267,1222,2489,0.51,0.49
CH_a144_0,Chiron,BiQuintile,0,1267,1222,2489,0.51,0.49
CH_a150_0,Chiron,Quincunx,0,1267,1222,2489,0.51,0.49
CH_a180_0,Chiron,Opposition,0,1267,1222,2489,0.51,0.49
CH_a30_0,Chiron,SemiSextile,0,209,179,388,0.54,0.46
CH_a30_1,Chiron,SemiSextile,1,1058,1043,2101,0.5,0.5
CH_a36_0,Chiron,SemiQuintile,0,1267,1222,2489,0.51,0.49
CH_a45_0,Chiron,SemiSquare,0,1267,1222,2489,0.51,0.49
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",58,67,125,0.46,0.54
CH_a60_0,Chiron,Sextile,0,1209,1155,2364,0.51,0.49
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",371,353,724,0.51,0.49
CH_a72_0,Chiron,Quintile,0,896,869,1765,0.51,0.49
"CH_a90_(0,1]",Chiron,Square,"(0,1]",399,392,791,0.5,0.5
CH_a90_0,Chiron,Square,0,868,830,1698,0.51,0.49
"JN_a0_(0,2]",Juno,Conjunction,"(0,2]",103,90,193,0.53,0.47
JN_a0_0,Juno,Conjunction,0,1164,1132,2296,0.51,0.49
"JN_a103_(0,4]",Juno,BiSeptile,"(0,4]",321,344,665,0.48,0.52
JN_a103_0,Juno,BiSeptile,0,946,878,1824,0.52,0.48
"JN_a120_(0,3]",Juno,Trine,"(0,3]",347,382,729,0.48,0.52
JN_a120_0,Juno,Trine,0,920,840,1760,0.52,0.48
"JN_a135_(0,3]",Juno,SesquiSquare,"(0,3]",338,319,657,0.51,0.49
JN_a135_0,Juno,SesquiSquare,0,929,903,1832,0.51,0.49
"JN_a144_(0,3]",Juno,BiQuintile,"(0,3]",319,329,648,0.49,0.51
JN_a144_0,Juno,BiQuintile,0,948,893,1841,0.51,0.49
"JN_a150_(0,3]",Juno,Quincunx,"(0,3]",286,282,568,0.5,0.5
JN_a150_0,Juno,Quincunx,0,981,940,1921,0.51,0.49
"JN_a180_(0,3]",Juno,Opposition,"(0,3]",148,148,296,0.5,0.5
JN_a180_0,Juno,Opposition,0,1119,1074,2193,0.51,0.49
"JN_a30_(0,3]",Juno,SemiSextile,"(0,3]",170,157,327,0.52,0.48
JN_a30_0,Juno,SemiSextile,0,1097,1065,2162,0.51,0.49
"JN_a36_(0,3]",Juno,SemiQuintile,"(0,3]",166,152,318,0.52,0.48
JN_a36_0,Juno,SemiQuintile,0,1101,1070,2171,0.51,0.49
"JN_a45_(0,3]",Juno,SemiSquare,"(0,3]",262,234,496,0.53,0.47
JN_a45_0,Juno,SemiSquare,0,1005,988,1993,0.5,0.5
"JN_a60_(0,3]",Juno,Sextile,"(0,3]",290,320,610,0.48,0.52
JN_a60_0,Juno,Sextile,0,977,902,1879,0.52,0.48
