PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,525,490,1015,0.52,0.48
CE_POS,Ceres,Positive,682,667,1349,0.51,0.49
CH_NEG,Chiron,Negative,742,710,1452,0.51,0.49
CH_POS,Chiron,Positive,465,447,912,0.51,0.49
JN_NEG,Juno,Negative,629,570,1199,0.52,0.48
JN_POS,Juno,Positive,578,587,1165,0.5,0.5
JU_NEG,Jupiter,Negative,607,561,1168,0.52,0.48
JU_POS,Jupiter,Positive,600,596,1196,0.5,0.5
MA_NEG,Mars,Negative,536,538,1074,0.5,0.5
MA_POS,Mars,Positive,671,619,1290,0.52,0.48
ME_NEG,Mercury,Negative,598,579,1177,0.51,0.49
ME_POS,Mercury,Positive,609,578,1187,0.51,0.49
MO_NEG,Moon,Negative,593,594,1187,0.5,0.5
MO_POS,Moon,Positive,614,563,1177,0.52,0.48
NE_NEG,Neptune,Negative,1207,1157,2364,0.51,0.49
NN_NEG,NNode,Negative,575,558,1133,0.51,0.49
NN_POS,NNode,Positive,632,599,1231,0.51,0.49
PA_NEG,Pallas,Negative,534,532,1066,0.5,0.5
PA_POS,Pallas,Positive,673,625,1298,0.52,0.48
PH_NEG,Pholus,Negative,467,414,881,0.53,0.47
PH_POS,Pholus,Positive,740,743,1483,0.5,0.5
PL_NEG,Pluto,Negative,1207,1157,2364,0.51,0.49
SA_NEG,Saturn,Negative,568,612,1180,0.48,0.52
SA_POS,Saturn,Positive,639,545,1184,0.54,0.46
SN_NEG,SNode,Negative,574,558,1132,0.51,0.49
SN_POS,SNode,Positive,633,599,1232,0.51,0.49
SU_NEG,Sun,Negative,589,597,1186,0.5,0.5
SU_POS,Sun,Positive,618,560,1178,0.52,0.48
UR_NEG,Uranus,Negative,459,451,910,0.5,0.5
UR_POS,Uranus,Positive,748,706,1454,0.51,0.49
VE_NEG,Venus,Negative,553,543,1096,0.5,0.5
VE_POS,Venus,Positive,654,614,1268,0.52,0.48
VS_NEG,Vesta,Negative,650,628,1278,0.51,0.49
VS_POS,Vesta,Positive,557,529,1086,0.51,0.49
