PlanetQuality,Planet,Quality,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,408,371,779,0.52,0.48
CE_FIX,Ceres,Fixed,549,556,1105,0.5,0.5
CE_MUT,Ceres,Mutable,596,570,1166,0.51,0.49
CH_CAR,Chiron,Cardinal,811,787,1598,0.51,0.49
CH_MUT,Chiron,Mutable,742,710,1452,0.51,0.49
JN_CAR,Juno,Cardinal,511,476,987,0.52,0.48
JN_FIX,Juno,Fixed,528,538,1066,0.5,0.5
JN_MUT,Juno,Mutable,514,483,997,0.52,0.48
JU_CAR,Jupiter,Cardinal,521,465,986,0.53,0.47
JU_FIX,Jupiter,Fixed,519,500,1019,0.51,0.49
JU_MUT,Jupiter,Mutable,513,532,1045,0.49,0.51
MA_CAR,Mars,Cardinal,509,482,991,0.51,0.49
MA_FIX,Mars,Fixed,489,519,1008,0.49,0.51
MA_MUT,Mars,Mutable,555,496,1051,0.53,0.47
ME_CAR,Mercury,Cardinal,534,503,1037,0.51,0.49
ME_FIX,Mercury,Fixed,500,512,1012,0.49,0.51
ME_MUT,Mercury,Mutable,519,482,1001,0.52,0.48
MO_CAR,Moon,Cardinal,524,496,1020,0.51,0.49
MO_FIX,Moon,Fixed,525,494,1019,0.52,0.48
MO_MUT,Moon,Mutable,504,507,1011,0.5,0.5
NE_MUT,Neptune,Mutable,1553,1497,3050,0.51,0.49
NN_CAR,NNode,Cardinal,471,481,952,0.49,0.51
NN_FIX,NNode,Fixed,475,490,965,0.49,0.51
NN_MUT,NNode,Mutable,607,526,1133,0.54,0.46
PA_CAR,Pallas,Cardinal,570,570,1140,0.5,0.5
PA_FIX,Pallas,Fixed,415,415,830,0.5,0.5
PA_MUT,Pallas,Mutable,568,512,1080,0.53,0.47
PH_CAR,Pholus,Cardinal,813,754,1567,0.52,0.48
PH_MUT,Pholus,Mutable,740,743,1483,0.5,0.5
PL_CAR,Pluto,Cardinal,1553,1497,3050,0.51,0.49
SA_CAR,Saturn,Cardinal,476,516,992,0.48,0.52
SA_FIX,Saturn,Fixed,548,513,1061,0.52,0.48
SA_MUT,Saturn,Mutable,529,468,997,0.53,0.47
SN_CAR,SNode,Cardinal,472,481,953,0.5,0.5
SN_FIX,SNode,Fixed,475,490,965,0.49,0.51
SN_MUT,SNode,Mutable,606,526,1132,0.54,0.46
SU_CAR,Sun,Cardinal,532,502,1034,0.51,0.49
SU_FIX,Sun,Fixed,521,488,1009,0.52,0.48
SU_MUT,Sun,Mutable,500,507,1007,0.5,0.5
UR_CAR,Uranus,Cardinal,748,706,1454,0.51,0.49
UR_FIX,Uranus,Fixed,805,791,1596,0.5,0.5
VE_CAR,Venus,Cardinal,498,564,1062,0.47,0.53
VE_FIX,Venus,Fixed,532,469,1001,0.53,0.47
VE_MUT,Venus,Mutable,523,464,987,0.53,0.47
VS_CAR,Vesta,Cardinal,492,462,954,0.52,0.48
VS_FIX,Vesta,Fixed,506,500,1006,0.5,0.5
VS_MUT,Vesta,Mutable,555,535,1090,0.51,0.49
