PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
CE_CH_a120,1,61,-0.002,0.048,-0.002,0,0.031,-0.171,0.134,0.305,-0.833,3.769,0.006
CE_JU_a90,1,49,0,0.065,0.004,-0.003,0.056,-0.171,0.158,0.329,0.203,0.272,0.009
CE_PA_a30,1,305,0,0.032,0,0,0.019,-0.114,0.137,0.251,0.165,2.989,0.002
CE_PH_a36,1,95,-0.003,0.037,-0.002,-0.004,0.022,-0.102,0.137,0.239,0.669,2.74,0.004
CE_UR_a150,1,58,0.004,0.03,0.003,0.004,0.029,-0.064,0.087,0.151,0.195,0.063,0.004
CH_UR_a30,1,2101,0.002,0.045,0,0.001,0.026,-0.301,0.469,0.771,1.25,12.47,0.001
JN_NE_a135,1,33,-0.007,0.03,-0.005,-0.007,0.026,-0.087,0.076,0.163,-0.134,1.21,0.005
JN_NN_a90,1,33,0.001,0.019,-0.001,-0.001,0.008,-0.033,0.064,0.097,1.279,2.858,0.003
JN_PH_a150,1,66,0,0.027,0,0,0.031,-0.087,0.064,0.151,-0.117,0.286,0.003
JN_SN_a90,1,33,0.001,0.019,-0.001,-0.001,0.008,-0.033,0.064,0.097,1.279,2.858,0.003
JU_CH_a150,1,154,0.007,0.043,0.002,0.003,0.017,-0.166,0.198,0.364,0.884,5.338,0.003
JU_UR_a120,1,86,0.009,0.042,0.004,0.004,0.02,-0.079,0.216,0.296,2.706,10.083,0.005
MA_NE_a90,1,53,0.018,0.05,0.005,0.013,0.041,-0.071,0.181,0.252,1.175,1.998,0.007
MA_NN_a45,1,57,-0.007,0.037,-0.008,-0.007,0.032,-0.146,0.082,0.228,-0.467,2.334,0.005
MA_PL_a36,1,50,0.004,0.029,0.005,0.005,0.021,-0.074,0.058,0.133,-0.269,0.241,0.004
MA_SN_a135,1,57,-0.007,0.037,-0.008,-0.007,0.032,-0.146,0.082,0.228,-0.467,2.334,0.005
ME_JN_a90,1,71,0.001,0.03,-0.002,-0.001,0.017,-0.086,0.145,0.231,1.3,6.585,0.004
ME_VE_a36,1,151,0.004,0.044,0,0.001,0.03,-0.138,0.177,0.315,0.753,2.387,0.004
ME_VS_a30,1,47,0.003,0.039,-0.001,0.001,0.027,-0.087,0.137,0.223,0.827,2.121,0.006
MO_ME_a72,1,173,0.003,0.055,-0.003,-0.001,0.024,-0.153,0.469,0.623,3.77,29.753,0.004
MO_PL_a150,1,180,0,0.043,0.001,-0.001,0.026,-0.203,0.177,0.38,0,5.321,0.003
MO_SU_a45,1,172,0,0.041,-0.002,-0.002,0.028,-0.141,0.191,0.332,0.936,4.346,0.003
MO_VE_a36,1,176,0.005,0.048,0,0.001,0.028,-0.166,0.344,0.51,2.361,16.014,0.004
NN_CH_a144,1,189,0.008,0.064,0.001,0.003,0.033,-0.171,0.469,0.64,2.592,15.925,0.005
NN_NE_a135,1,119,-0.003,0.036,-0.005,-0.004,0.03,-0.117,0.112,0.228,0.163,1.351,0.003
NN_PH_a60,1,25,-0.004,0.029,-0.01,-0.004,0.028,-0.069,0.055,0.124,0.106,-0.586,0.006
NN_SA_a30,1,20,-0.006,0.03,-0.013,-0.007,0.031,-0.069,0.055,0.124,0.151,-0.629,0.007
NN_SN_a180,1,2489,0.002,0.043,0,0.001,0.024,-0.301,0.469,0.771,1.244,12.868,0.001
PA_UR_a180,1,57,0.012,0.037,0.011,0.008,0.029,-0.056,0.158,0.215,1.748,4.837,0.005
SA_PH_a30,1,109,0.004,0.037,0.002,0.004,0.029,-0.146,0.113,0.259,-0.173,2.26,0.004
