PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,2]",Ceres,Conjunction,"(0,2]",525,409,934,0.56,0.44
CE_a0_0,Ceres,Conjunction,0,4399,3956,8355,0.53,0.47
"CE_a103_(0,3]",Ceres,BiSeptile,"(0,3]",971,854,1825,0.53,0.47
CE_a103_0,Ceres,BiSeptile,0,3953,3511,7464,0.53,0.47
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",841,834,1675,0.5,0.5
CE_a120_0,Ceres,Trine,0,4083,3531,7614,0.54,0.46
"CE_a135_(0,3]",Ceres,SesquiSquare,"(0,3]",920,843,1763,0.52,0.48
CE_a135_0,Ceres,SesquiSquare,0,4004,3522,7526,0.53,0.47
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",902,857,1759,0.51,0.49
CE_a144_0,Ceres,BiQuintile,0,4022,3508,7530,0.53,0.47
"CE_a150_(0,3]",Ceres,Quincunx,"(0,3]",820,764,1584,0.52,0.48
CE_a150_0,Ceres,Quincunx,0,4104,3601,7705,0.53,0.47
"CE_a180_(0,2]",Ceres,Opposition,"(0,2]",502,389,891,0.56,0.44
CE_a180_0,Ceres,Opposition,0,4422,3976,8398,0.53,0.47
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",1112,976,2088,0.53,0.47
"CE_a30_(1,3]",Ceres,SemiSextile,"(1,3]",182,170,352,0.52,0.48
CE_a30_0,Ceres,SemiSextile,0,3630,3219,6849,0.53,0.47
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",1095,982,2077,0.53,0.47
"CE_a36_(1,4]",Ceres,SemiQuintile,"(1,4]",256,174,430,0.6,0.4
CE_a36_0,Ceres,SemiQuintile,0,3573,3209,6782,0.53,0.47
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",1208,1090,2298,0.53,0.47
CE_a45_0,Ceres,SemiSquare,0,3716,3275,6991,0.53,0.47
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",1035,950,1985,0.52,0.48
CE_a60_0,Ceres,Sextile,0,3889,3415,7304,0.53,0.47
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",984,912,1896,0.52,0.48
CE_a72_0,Ceres,Quintile,0,3940,3453,7393,0.53,0.47
"CE_a90_(0,3]",Ceres,Square,"(0,3]",842,686,1528,0.55,0.45
CE_a90_0,Ceres,Square,0,4082,3679,7761,0.53,0.47
"CH_a0_(0,1]",Chiron,Conjunction,"(0,1]",261,223,484,0.54,0.46
CH_a0_0,Chiron,Conjunction,0,4663,4142,8805,0.53,0.47
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",174,147,321,0.54,0.46
CH_a103_0,Chiron,BiSeptile,0,4750,4218,8968,0.53,0.47
"CH_a120_(0,2]",Chiron,Trine,"(0,2]",164,131,295,0.56,0.44
CH_a120_0,Chiron,Trine,0,4760,4234,8994,0.53,0.47
"CH_a135_(0,2]",Chiron,SesquiSquare,"(0,2]",154,148,302,0.51,0.49
CH_a135_0,Chiron,SesquiSquare,0,4770,4217,8987,0.53,0.47
"CH_a144_(0,2]",Chiron,BiQuintile,"(0,2]",140,109,249,0.56,0.44
CH_a144_0,Chiron,BiQuintile,0,4784,4256,9040,0.53,0.47
