PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",770,795,1565,0.49,0.51,CAR
"CAR_(6,8]",Cardinal,"(6,8]",1285,1090,2375,0.54,0.46,CAR
"CAR_(8,14]",Cardinal,"(8,14]",670,529,1199,0.56,0.44,CAR
"CAR_[0,5]",Cardinal,"[0,5]",2032,1786,3818,0.53,0.47,CAR
"FIX_(5,6]",Fixed,"(5,6]",993,849,1842,0.54,0.46,FIX
"FIX_(6,7]",Fixed,"(6,7]",707,632,1339,0.53,0.47,FIX
"FIX_(7,14]",Fixed,"(7,14]",844,801,1645,0.51,0.49,FIX
"FIX_[0,5]",Fixed,"[0,5]",2213,1918,4131,0.54,0.46,FIX
"MUT_(4,6]",Mutable,"(4,6]",1759,1543,3302,0.53,0.47,MUT
"MUT_(6,7]",Mutable,"(6,7]",812,748,1560,0.52,0.48,MUT
"MUT_(7,13]",Mutable,"(7,13]",1207,1064,2271,0.53,0.47,MUT
"MUT_[0,4]",Mutable,"[0,4]",979,845,1824,0.54,0.46,MUT
