PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(3,8]",Ceres,"(3,8]",980,922,1902,0.52,0.48
CE_3,Ceres,3,1335,1163,2498,0.53,0.47
"CE_[0,2]",Ceres,"[0,2]",2351,2047,4398,0.53,0.47
"CH_(3,4]",Chiron,"(3,4]",1043,908,1951,0.53,0.47
"CH_(4,5]",Chiron,"(4,5]",902,860,1762,0.51,0.49
"CH_(5,11]",Chiron,"(5,11]",1083,908,1991,0.54,0.46
"CH_[0,3]",Chiron,"[0,3]",1638,1456,3094,0.53,0.47
"JN_(1,2]",Juno,"(1,2]",1543,1330,2873,0.54,0.46
"JN_(2,3]",Juno,"(2,3]",1215,1126,2341,0.52,0.48
"JN_(3,7]",Juno,"(3,7]",744,633,1377,0.54,0.46
"JN_[0,1]",Juno,"[0,1]",1164,1043,2207,0.53,0.47
"JU_(2,3]",Jupiter,"(2,3]",1354,1140,2494,0.54,0.46
"JU_(3,4]",Jupiter,"(3,4]",995,908,1903,0.52,0.48
"JU_(4,8]",Jupiter,"(4,8]",709,648,1357,0.52,0.48
"JU_[0,2]",Jupiter,"[0,2]",1608,1436,3044,0.53,0.47
"MA_(2,5]",Mars,"(2,5]",925,864,1789,0.52,0.48
MA_2,Mars,2,1631,1462,3093,0.53,0.47
"MA_[0,1]",Mars,"[0,1]",2110,1806,3916,0.54,0.46
"ME_(1,3]",Mercury,"(1,3]",538,519,1057,0.51,0.49
ME_0,Mercury,0,1276,1167,2443,0.52,0.48
ME_1,Mercury,1,2852,2446,5298,0.54,0.46
"NE_(4,5]",Neptune,"(4,5]",923,836,1759,0.52,0.48
"NE_(5,6]",Neptune,"(5,6]",745,693,1438,0.52,0.48
"NE_(6,13]",Neptune,"(6,13]",954,772,1726,0.55,0.45
"NE_[0,4]",Neptune,"[0,4]",2044,1831,3875,0.53,0.47
"NN_(2,3]",NNode,"(2,3]",1248,1068,2316,0.54,0.46
"NN_(3,4]",NNode,"(3,4]",1077,941,2018,0.53,0.47
"NN_(4,9]",NNode,"(4,9]",1003,922,1925,0.52,0.48
"NN_[0,2]",NNode,"[0,2]",1338,1201,2539,0.53,0.47
"PA_(2,3]",Pallas,"(2,3]",1356,1186,2542,0.53,0.47
"PA_(3,4]",Pallas,"(3,4]",918,846,1764,0.52,0.48
"PA_(4,8]",Pallas,"(4,8]",556,486,1042,0.53,0.47
"PA_[0,2]",Pallas,"[0,2]",1836,1614,3450,0.53,0.47
"PH_(3,5]",Pholus,"(3,5]",1862,1607,3469,0.54,0.46
"PH_(5,6]",Pholus,"(5,6]",686,631,1317,0.52,0.48
"PH_(6,13]",Pholus,"(6,13]",772,707,1479,0.52,0.48
"PH_[0,3]",Pholus,"[0,3]",1346,1187,2533,0.53,0.47
"PL_(4,5]",Pluto,"(4,5]",988,868,1856,0.53,0.47
"PL_(5,6]",Pluto,"(5,6]",792,713,1505,0.53,0.47
"PL_(6,14]",Pluto,"(6,14]",995,884,1879,0.53,0.47
"PL_[0,4]",Pluto,"[0,4]",1891,1667,3558,0.53,0.47
"SA_(3,4]",Saturn,"(3,4]",1007,879,1886,0.53,0.47
"SA_(4,5]",Saturn,"(4,5]",751,694,1445,0.52,0.48
"SA_(5,11]",Saturn,"(5,11]",922,756,1678,0.55,0.45
"SA_[0,3]",Saturn,"[0,3]",1986,1803,3789,0.52,0.48
"SN_(3,4]",SNode,"(3,4]",1265,1054,2319,0.55,0.45
"SN_(4,5]",SNode,"(4,5]",1070,978,2048,0.52,0.48
"SN_(5,10]",SNode,"(5,10]",1067,924,1991,0.54,0.46
"SN_[1,3]",SNode,"[1,3]",1264,1176,2440,0.52,0.48
"SU_(1,2]",Sun,"(1,2]",1541,1337,2878,0.54,0.46
"SU_(2,4]",Sun,"(2,4]",305,290,595,0.51,0.49
SU_1,Sun,1,2141,1845,3986,0.54,0.46
"SU_[0,1)",Sun,"[0,1)",679,660,1339,0.51,0.49
"UR_(3,5]",Uranus,"(3,5]",1964,1651,3615,0.54,0.46
"UR_(5,6]",Uranus,"(5,6]",719,645,1364,0.53,0.47
"UR_(6,13]",Uranus,"(6,13]",725,728,1453,0.5,0.5
"UR_[0,3]",Uranus,"[0,3]",1258,1108,2366,0.53,0.47
"VE_(1,2]",Venus,"(1,2]",1147,1087,2234,0.51,0.49
"VE_(2,3]",Venus,"(2,3]",171,126,297,0.58,0.42
VE_1,Venus,1,2426,2081,4507,0.54,0.46
"VE_[0,1)",Venus,"[0,1)",922,838,1760,0.52,0.48
"VS_(1,2]",Vesta,"(1,2]",1695,1532,3227,0.53,0.47
"VS_(2,3]",Vesta,"(2,3]",976,901,1877,0.52,0.48
"VS_(3,6]",Vesta,"(3,6]",407,332,739,0.55,0.45
"VS_[0,1]",Vesta,"[0,1]",1588,1367,2955,0.54,0.46
