PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,3543,3119,6662,0.53,0.47
CE_RET,Ceres,Retrograde,960,869,1829,0.52,0.48
CE_STA,Ceres,Stationary,153,151,304,0.5,0.5
CH_DIR,Chiron,Direct,2687,2489,5176,0.52,0.48
CH_RET,Chiron,Retrograde,1775,1459,3234,0.55,0.45
CH_STA,Chiron,Stationary,194,191,385,0.5,0.5
JN_DIR,Juno,Direct,3476,3115,6591,0.53,0.47
JN_RET,Juno,Retrograde,989,865,1854,0.53,0.47
JN_STA,Juno,Stationary,191,159,350,0.55,0.45
JU_DIR,Jupiter,Direct,3096,2698,5794,0.53,0.47
JU_RET,Jupiter,Retrograde,1346,1248,2594,0.52,0.48
JU_STA,Jupiter,Stationary,214,193,407,0.53,0.47
MA_DIR,Mars,Direct,4126,3624,7750,0.53,0.47
MA_RET,Mars,Retrograde,432,414,846,0.51,0.49
MA_STA,Mars,Stationary,98,101,199,0.49,0.51
ME_DIR,Mercury,Direct,3587,3253,6840,0.52,0.48
ME_RET,Mercury,Retrograde,917,764,1681,0.55,0.45
ME_STA,Mercury,Stationary,152,122,274,0.55,0.45
MO_DIR,Moon,Direct,4656,4139,8795,0.53,0.47
NE_DIR,Neptune,Direct,2346,2111,4457,0.53,0.47
NE_RET,Neptune,Retrograde,1842,1609,3451,0.53,0.47
NE_STA,Neptune,Stationary,468,419,887,0.53,0.47
NN_DIR,NNode,Direct,4656,4139,8795,0.53,0.47
PA_DIR,Pallas,Direct,3489,3079,6568,0.53,0.47
PA_RET,Pallas,Retrograde,1026,927,1953,0.53,0.47
PA_STA,Pallas,Stationary,141,133,274,0.51,0.49
PH_DIR,Pholus,Direct,2621,2375,4996,0.52,0.48
PH_RET,Pholus,Retrograde,1768,1542,3310,0.53,0.47
PH_STA,Pholus,Stationary,267,222,489,0.55,0.45
PL_DIR,Pluto,Direct,2390,2135,4525,0.53,0.47
PL_RET,Pluto,Retrograde,1791,1592,3383,0.53,0.47
PL_STA,Pluto,Stationary,475,412,887,0.54,0.46
SA_DIR,Saturn,Direct,2737,2400,5137,0.53,0.47
SA_RET,Saturn,Retrograde,1617,1496,3113,0.52,0.48
SA_STA,Saturn,Stationary,302,243,545,0.55,0.45
SN_DIR,SNode,Direct,4656,4139,8795,0.53,0.47
SU_DIR,Sun,Direct,4656,4139,8795,0.53,0.47
UR_DIR,Uranus,Direct,2508,2268,4776,0.53,0.47
UR_RET,Uranus,Retrograde,1843,1603,3446,0.53,0.47
UR_STA,Uranus,Stationary,305,268,573,0.53,0.47
VE_DIR,Venus,Direct,4213,3777,7990,0.53,0.47
VE_RET,Venus,Retrograde,355,282,637,0.56,0.44
VE_STA,Venus,Stationary,88,80,168,0.52,0.48
VS_DIR,Vesta,Direct,3644,3293,6937,0.53,0.47
VS_RET,Vesta,Retrograde,856,719,1575,0.54,0.46
VS_STA,Vesta,Stationary,156,127,283,0.55,0.45
