PlanetTriplicity,Planet,Triplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,1486,1387,2873,0.52,0.48
CE_FIX,Ceres,Fixed,1447,1338,2785,0.52,0.48
CE_MUT,Ceres,Mutable,1724,1406,3130,0.55,0.45
CH_CAR,Chiron,Cardinal,1457,1250,2707,0.54,0.46
CH_FIX,Chiron,Fixed,1269,1106,2375,0.53,0.47
CH_MUT,Chiron,Mutable,1931,1775,3706,0.52,0.48
JN_CAR,Juno,Cardinal,1591,1329,2920,0.54,0.46
JN_FIX,Juno,Fixed,1603,1467,3070,0.52,0.48
JN_MUT,Juno,Mutable,1463,1335,2798,0.52,0.48
JU_CAR,Juno,Cardinal,1548,1451,2999,0.52,0.48
JU_FIX,Juno,Fixed,1514,1259,2773,0.55,0.45
JU_MUT,Juno,Mutable,1595,1421,3016,0.53,0.47
MA_CAR,Mars,Cardinal,1594,1434,3028,0.53,0.47
MA_FIX,Mars,Fixed,1507,1346,2853,0.53,0.47
MA_MUT,Mars,Mutable,1556,1351,2907,0.54,0.46
ME_CAR,Mercury,Cardinal,1561,1370,2931,0.53,0.47
ME_FIX,Mercury,Fixed,1571,1395,2966,0.53,0.47
ME_MUT,Mercury,Mutable,1525,1366,2891,0.53,0.47
MO_CAR,Moon,Cardinal,1538,1402,2940,0.52,0.48
MO_FIX,Moon,Fixed,1569,1351,2920,0.54,0.46
MO_MUT,Moon,Mutable,1550,1378,2928,0.53,0.47
NE_CAR,Neptune,Cardinal,1665,1405,3070,0.54,0.46
NE_FIX,Neptune,Fixed,1711,1663,3374,0.51,0.49
NE_MUT,Neptune,Mutable,1281,1063,2344,0.55,0.45
NN_CAR,North Node,Cardinal,1640,1486,3126,0.52,0.48
NN_FIX,North Node,Fixed,1473,1287,2760,0.53,0.47
NN_MUT,North Node,Mutable,1544,1358,2902,0.53,0.47
PA_CAR,Pallas,Cardinal,1566,1321,2887,0.54,0.46
PA_FIX,Pallas,Fixed,1584,1446,3030,0.52,0.48
PA_MUT,Pallas,Mutable,1507,1364,2871,0.52,0.48
PH_CAR,Pholus,Cardinal,1036,820,1856,0.56,0.44
PH_FIX,Pholus,Fixed,1273,1237,2510,0.51,0.49
PH_MUT,Pholus,Mutable,2348,2074,4422,0.53,0.47
PL_CAR,Pluto,Cardinal,1720,1438,3158,0.54,0.46
PL_FIX,Pluto,Fixed,1277,1101,2378,0.54,0.46
PL_MUT,Pluto,Mutable,1660,1592,3252,0.51,0.49
SA_CAR,Saturn,Cardinal,1735,1428,3163,0.55,0.45
SA_FIX,Saturn,Fixed,1358,1218,2576,0.53,0.47
SA_MUT,Saturn,Mutable,1564,1485,3049,0.51,0.49
SN_CAR,South Node,Cardinal,1640,1486,3126,0.52,0.48
SN_FIX,South Node,Fixed,1473,1287,2760,0.53,0.47
SN_MUT,South Node,Mutable,1544,1358,2902,0.53,0.47
SU_CAR,Sun,Cardinal,1537,1353,2890,0.53,0.47
SU_FIX,Sun,Fixed,1539,1455,2994,0.51,0.49
SU_MUT,Sun,Mutable,1581,1323,2904,0.54,0.46
UR_CAR,Uranus,Cardinal,2023,1738,3761,0.54,0.46
UR_FIX,Uranus,Fixed,1335,1187,2522,0.53,0.47
UR_MUT,Uranus,Mutable,1299,1206,2505,0.52,0.48
VE_CAR,Venus,Cardinal,1543,1373,2916,0.53,0.47
VE_FIX,Venus,Fixed,1582,1386,2968,0.53,0.47
VE_MUT,Venus,Mutable,1532,1372,2904,0.53,0.47
VS_CAR,Vesta,Cardinal,1576,1435,3011,0.52,0.48
VS_FIX,Vesta,Fixed,1533,1364,2897,0.53,0.47
VS_MUT,Vesta,Mutable,1548,1332,2880,0.54,0.46
