PlanetsAspect,PlanetX,PlanetY,Aspect,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CH_a0,Ceres,Chiron,Conjunction,38,26,64,0.59,0.41
CE_CH_a103,Ceres,Chiron,BiSeptile,155,127,282,0.55,0.45
CE_CH_a120,Ceres,Chiron,Trine,103,78,181,0.57,0.43
CE_CH_a135,Ceres,Chiron,SesquiSquare,113,103,216,0.52,0.48
CE_CH_a144,Ceres,Chiron,BiQuintile,79,60,139,0.57,0.43
CE_CH_a150,Ceres,Chiron,Quincunx,67,44,111,0.6,0.4
CE_CH_a180,Ceres,Chiron,Opposition,74,75,149,0.5,0.5
CE_CH_a30,Ceres,Chiron,SemiSextile,110,86,196,0.56,0.44
CE_CH_a36,Ceres,Chiron,SemiQuintile,127,130,257,0.49,0.51
CE_CH_a45,Ceres,Chiron,SemiSquare,118,99,217,0.54,0.46
CE_CH_a60,Ceres,Chiron,Sextile,123,97,220,0.56,0.44
CE_CH_a72,Ceres,Chiron,Quintile,77,80,157,0.49,0.51
CE_CH_a90,Ceres,Chiron,Square,123,103,226,0.54,0.46
CE_JU_a0,Ceres,Jupiter,Conjunction,36,41,77,0.47,0.53
CE_JU_a103,Ceres,Jupiter,BiSeptile,136,116,252,0.54,0.46
CE_JU_a120,Ceres,Jupiter,Trine,82,69,151,0.54,0.46
CE_JU_a135,Ceres,Jupiter,SesquiSquare,110,101,211,0.52,0.48
CE_JU_a144,Ceres,Jupiter,BiQuintile,87,101,188,0.46,0.54
CE_JU_a150,Ceres,Jupiter,Quincunx,80,89,169,0.47,0.53
CE_JU_a180,Ceres,Jupiter,Opposition,50,48,98,0.51,0.49
CE_JU_a30,Ceres,Jupiter,SemiSextile,114,93,207,0.55,0.45
CE_JU_a36,Ceres,Jupiter,SemiQuintile,162,128,290,0.56,0.44
CE_JU_a45,Ceres,Jupiter,SemiSquare,83,100,183,0.45,0.55
CE_JU_a60,Ceres,Jupiter,Sextile,81,104,185,0.44,0.56
CE_JU_a72,Ceres,Jupiter,Quintile,88,73,161,0.55,0.45
CE_JU_a90,Ceres,Jupiter,Square,108,80,188,0.57,0.43
CE_NE_a0,Ceres,Neptune,Conjunction,70,38,108,0.65,0.35
CE_NE_a103,Ceres,Neptune,BiSeptile,84,83,167,0.5,0.5
CE_NE_a120,Ceres,Neptune,Trine,94,117,211,0.45,0.55
CE_NE_a135,Ceres,Neptune,SesquiSquare,67,85,152,0.44,0.56
CE_NE_a144,Ceres,Neptune,BiQuintile,62,60,122,0.51,0.49
CE_NE_a150,Ceres,Neptune,Quincunx,84,93,177,0.47,0.53
CE_NE_a180,Ceres,Neptune,Opposition,28,22,50,0.56,0.44
CE_NE_a30,Ceres,Neptune,SemiSextile,101,108,209,0.48,0.52
CE_NE_a36,Ceres,Neptune,SemiQuintile,111,87,198,0.56,0.44
CE_NE_a45,Ceres,Neptune,SemiSquare,139,100,239,0.58,0.42
CE_NE_a60,Ceres,Neptune,Sextile,110,83,193,0.57,0.43
CE_NE_a72,Ceres,Neptune,Quintile,103,93,196,0.53,0.47
CE_NE_a90,Ceres,Neptune,Square,97,75,172,0.56,0.44
CE_NN_a0,Ceres,NNode,Conjunction,94,59,153,0.61,0.39
CE_NN_a103,Ceres,NNode,BiSeptile,95,74,169,0.56,0.44
CE_NN_a120,Ceres,NNode,Trine,109,78,187,0.58,0.42
CE_NN_a135,Ceres,NNode,SesquiSquare,141,124,265,0.53,0.47
CE_NN_a144,Ceres,NNode,BiQuintile,122,114,236,0.52,0.48
CE_NN_a150,Ceres,NNode,Quincunx,134,155,289,0.46,0.54
CE_NN_a180,Ceres,NNode,Opposition,37,28,65,0.57,0.43
CE_NN_a30,Ceres,NNode,SemiSextile,91,77,168,0.54,0.46
CE_NN_a36,Ceres,NNode,SemiQuintile,108,96,204,0.53,0.47
CE_NN_a45,Ceres,NNode,SemiSquare,68,58,126,0.54,0.46
CE_NN_a60,Ceres,NNode,Sextile,128,131,259,0.49,0.51
CE_NN_a72,Ceres,NNode,Quintile,69,99,168,0.41,0.59
CE_NN_a90,Ceres,NNode,Square,136,113,249,0.55,0.45
CE_PA_a103,Ceres,Pallas,BiSeptile,30,29,59,0.51,0.49
CE_PA_a30,Ceres,Pallas,SemiSextile,461,408,869,0.53,0.47
CE_PA_a36,Ceres,Pallas,SemiQuintile,449,335,784,0.57,0.43
CE_PA_a45,Ceres,Pallas,SemiSquare,364,342,706,0.52,0.48
CE_PA_a60,Ceres,Pallas,Sextile,152,154,306,0.5,0.5
CE_PA_a72,Ceres,Pallas,Quintile,72,79,151,0.48,0.52
CE_PA_a90,Ceres,Pallas,Square,70,47,117,0.6,0.4
CE_PH_a0,Ceres,Pholus,Conjunction,61,51,112,0.54,0.46
CE_PH_a103,Ceres,Pholus,BiSeptile,111,66,177,0.63,0.37
CE_PH_a120,Ceres,Pholus,Trine,87,111,198,0.44,0.56
CE_PH_a135,Ceres,Pholus,SesquiSquare,168,142,310,0.54,0.46
CE_PH_a144,Ceres,Pholus,BiQuintile,117,105,222,0.53,0.47
CE_PH_a150,Ceres,Pholus,Quincunx,121,102,223,0.54,0.46
CE_PH_a180,Ceres,Pholus,Opposition,56,48,104,0.54,0.46
CE_PH_a30,Ceres,Pholus,SemiSextile,130,140,270,0.48,0.52
CE_PH_a36,Ceres,Pholus,SemiQuintile,131,119,250,0.52,0.48
CE_PH_a45,Ceres,Pholus,SemiSquare,70,85,155,0.45,0.55
CE_PH_a60,Ceres,Pholus,Sextile,96,111,207,0.46,0.54
CE_PH_a72,Ceres,Pholus,Quintile,164,125,289,0.57,0.43
CE_PH_a90,Ceres,Pholus,Square,88,87,175,0.5,0.5
CE_PL_a0,Ceres,Pluto,Conjunction,59,56,115,0.51,0.49
CE_PL_a103,Ceres,Pluto,BiSeptile,92,74,166,0.55,0.45
CE_PL_a120,Ceres,Pluto,Trine,93,78,171,0.54,0.46
CE_PL_a135,Ceres,Pluto,SesquiSquare,110,99,209,0.53,0.47
CE_PL_a144,Ceres,Pluto,BiQuintile,107,101,208,0.51,0.49
CE_PL_a150,Ceres,Pluto,Quincunx,97,86,183,0.53,0.47
CE_PL_a180,Ceres,Pluto,Opposition,46,23,69,0.67,0.33
CE_PL_a30,Ceres,Pluto,SemiSextile,109,87,196,0.56,0.44
CE_PL_a36,Ceres,Pluto,SemiQuintile,142,101,243,0.58,0.42
CE_PL_a45,Ceres,Pluto,SemiSquare,134,96,230,0.58,0.42
CE_PL_a60,Ceres,Pluto,Sextile,102,81,183,0.56,0.44
CE_PL_a72,Ceres,Pluto,Quintile,136,128,264,0.52,0.48
CE_PL_a90,Ceres,Pluto,Square,73,63,136,0.54,0.46
CE_SA_a0,Ceres,Saturn,Conjunction,46,29,75,0.61,0.39
CE_SA_a103,Ceres,Saturn,BiSeptile,103,117,220,0.47,0.53
CE_SA_a120,Ceres,Saturn,Trine,118,124,242,0.49,0.51
CE_SA_a135,Ceres,Saturn,SesquiSquare,91,91,182,0.5,0.5
CE_SA_a144,Ceres,Saturn,BiQuintile,121,136,257,0.47,0.53
CE_SA_a150,Ceres,Saturn,Quincunx,107,80,187,0.57,0.43
CE_SA_a180,Ceres,Saturn,Opposition,32,27,59,0.54,0.46
CE_SA_a30,Ceres,Saturn,SemiSextile,99,79,178,0.56,0.44
CE_SA_a36,Ceres,Saturn,SemiQuintile,175,131,306,0.57,0.43
CE_SA_a45,Ceres,Saturn,SemiSquare,145,119,264,0.55,0.45
CE_SA_a60,Ceres,Saturn,Sextile,92,94,186,0.49,0.51
CE_SA_a72,Ceres,Saturn,Quintile,83,80,163,0.51,0.49
CE_SA_a90,Ceres,Saturn,Square,117,78,195,0.6,0.4
CE_SN_a0,Ceres,SNode,Conjunction,37,28,65,0.57,0.43
CE_SN_a103,Ceres,SNode,BiSeptile,128,111,239,0.54,0.46
CE_SN_a120,Ceres,SNode,Trine,128,131,259,0.49,0.51
CE_SN_a135,Ceres,SNode,SesquiSquare,68,58,126,0.54,0.46
CE_SN_a144,Ceres,SNode,BiQuintile,108,97,205,0.53,0.47
CE_SN_a150,Ceres,SNode,Quincunx,91,77,168,0.54,0.46
CE_SN_a180,Ceres,SNode,Opposition,94,59,153,0.61,0.39
CE_SN_a30,Ceres,SNode,SemiSextile,134,155,289,0.46,0.54
CE_SN_a36,Ceres,SNode,SemiQuintile,122,113,235,0.52,0.48
CE_SN_a45,Ceres,SNode,SemiSquare,141,124,265,0.53,0.47
CE_SN_a60,Ceres,SNode,Sextile,109,78,187,0.58,0.42
CE_SN_a72,Ceres,SNode,Quintile,94,77,171,0.55,0.45
CE_SN_a90,Ceres,SNode,Square,136,113,249,0.55,0.45
CE_UR_a0,Ceres,Uranus,Conjunction,88,73,161,0.55,0.45
CE_UR_a103,Ceres,Uranus,BiSeptile,97,107,204,0.48,0.52
CE_UR_a120,Ceres,Uranus,Trine,70,75,145,0.48,0.52
CE_UR_a135,Ceres,Uranus,SesquiSquare,77,60,137,0.56,0.44
CE_UR_a144,Ceres,Uranus,BiQuintile,111,89,200,0.56,0.44
CE_UR_a150,Ceres,Uranus,Quincunx,63,54,117,0.54,0.46
CE_UR_a180,Ceres,Uranus,Opposition,49,30,79,0.62,0.38
CE_UR_a30,Ceres,Uranus,SemiSextile,125,90,215,0.58,0.42
CE_UR_a36,Ceres,Uranus,SemiQuintile,102,102,204,0.5,0.5
CE_UR_a45,Ceres,Uranus,SemiSquare,88,98,186,0.47,0.53
CE_UR_a60,Ceres,Uranus,Sextile,125,105,230,0.54,0.46
CE_UR_a72,Ceres,Uranus,Quintile,125,115,240,0.52,0.48
CE_UR_a90,Ceres,Uranus,Square,114,93,207,0.55,0.45
CH_NE_a0,Chiron,Neptune,Conjunction,222,159,381,0.58,0.42
CH_NE_a103,Chiron,Neptune,BiSeptile,57,55,112,0.51,0.49
CH_NE_a120,Chiron,Neptune,Trine,49,27,76,0.64,0.36
CH_NE_a135,Chiron,Neptune,SesquiSquare,34,38,72,0.47,0.53
CH_NE_a144,Chiron,Neptune,BiQuintile,43,42,85,0.51,0.49
CH_NE_a150,Chiron,Neptune,Quincunx,36,34,70,0.51,0.49
CH_NE_a180,Chiron,Neptune,Opposition,81,56,137,0.59,0.41
CH_NE_a30,Chiron,Neptune,SemiSextile,64,66,130,0.49,0.51
CH_NE_a36,Chiron,Neptune,SemiQuintile,56,61,117,0.48,0.52
CH_NE_a45,Chiron,Neptune,SemiSquare,29,57,86,0.34,0.66
CH_NE_a60,Chiron,Neptune,Sextile,54,57,111,0.49,0.51
CH_NE_a72,Chiron,Neptune,Quintile,60,32,92,0.65,0.35
CH_NE_a90,Chiron,Neptune,Square,49,36,85,0.58,0.42
CH_PH_a30,Chiron,Pholus,SemiSextile,177,141,318,0.56,0.44
CH_PH_a36,Chiron,Pholus,SemiQuintile,131,117,248,0.53,0.47
CH_PH_a45,Chiron,Pholus,SemiSquare,84,97,181,0.46,0.54
CH_PH_a60,Chiron,Pholus,Sextile,146,174,320,0.46,0.54
CH_PH_a72,Chiron,Pholus,Quintile,245,208,453,0.54,0.46
CH_PH_a90,Chiron,Pholus,Square,317,228,545,0.58,0.42
CH_PL_a0,Chiron,Pluto,Conjunction,40,63,103,0.39,0.61
CH_PL_a103,Chiron,Pluto,BiSeptile,53,45,98,0.54,0.46
CH_PL_a120,Chiron,Pluto,Trine,79,64,143,0.55,0.45
CH_PL_a135,Chiron,Pluto,SesquiSquare,109,100,209,0.52,0.48
CH_PL_a144,Chiron,Pluto,BiQuintile,58,41,99,0.59,0.41
CH_PL_a30,Chiron,Pluto,SemiSextile,116,91,207,0.56,0.44
CH_PL_a36,Chiron,Pluto,SemiQuintile,187,179,366,0.51,0.49
CH_PL_a45,Chiron,Pluto,SemiSquare,170,167,337,0.5,0.5
CH_PL_a60,Chiron,Pluto,Sextile,260,261,521,0.5,0.5
CH_PL_a72,Chiron,Pluto,Quintile,295,229,524,0.56,0.44
CH_PL_a90,Chiron,Pluto,Square,42,52,94,0.45,0.55
CH_UR_a103,Chiron,Uranus,BiSeptile,41,28,69,0.59,0.41
CH_UR_a120,Chiron,Uranus,Trine,48,46,94,0.51,0.49
CH_UR_a135,Chiron,Uranus,SesquiSquare,29,38,67,0.43,0.57
CH_UR_a144,Chiron,Uranus,BiQuintile,81,69,150,0.54,0.46
CH_UR_a150,Chiron,Uranus,Quincunx,46,49,95,0.48,0.52
