PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
CE_JU_a180,1,98,0.001,0.02,0.001,0.002,0.015,-0.086,0.046,0.131,-0.816,2.739,0.002
CE_NE_a120,1,211,-0.001,0.015,-0.002,-0.001,0.012,-0.039,0.04,0.08,0.416,0.146,0.001
CE_PH_a120,1,198,-0.002,0.013,-0.001,-0.002,0.011,-0.062,0.044,0.105,-0.252,2.053,0.001
CH_PH_a36,1,248,0.005,0.021,0.001,0.004,0.019,-0.052,0.079,0.131,0.572,0.476,0.001
JN_NN_a135,1,203,0,0.017,0,0,0.01,-0.082,0.093,0.174,0.753,7.447,0.001
JN_SN_a45,1,203,0,0.017,0,0,0.01,-0.082,0.093,0.174,0.753,7.447,0.001
JU_NE_a60,1,191,0.001,0.018,0.001,0.001,0.012,-0.064,0.113,0.177,1.307,9.011,0.001
JU_PH_a60,1,201,0.001,0.018,0,0,0.013,-0.037,0.06,0.097,0.812,1.372,0.001
JU_PL_a120,1,210,0.002,0.015,0.002,0.002,0.012,-0.031,0.071,0.102,1.031,3.624,0.001
JU_UR_a72,1,284,0.001,0.015,0.001,0,0.013,-0.045,0.079,0.124,0.928,3.385,0.001
MA_JU_a72,1,270,0.001,0.015,0,0.001,0.011,-0.054,0.059,0.112,-0.159,2.748,0.001
ME_MA_a90,1,228,0.001,0.016,0,0.001,0.012,-0.059,0.107,0.166,1.028,9.241,0.001
ME_NN_a36,1,171,0.002,0.014,0.001,0.002,0.012,-0.041,0.051,0.091,0.516,0.894,0.001
ME_SN_a144,1,171,0.002,0.014,0.001,0.002,0.012,-0.041,0.051,0.091,0.516,0.894,0.001
MO_JU_a103,1,663,0.002,0.016,0.001,0.001,0.012,-0.088,0.077,0.165,0.018,3.764,0.001
MO_PH_a45,1,663,0.001,0.016,0,0,0.012,-0.046,0.086,0.133,0.681,2.97,0.001
NE_PL_a60,1,443,0.001,0.019,0.001,0.001,0.018,-0.055,0.093,0.148,0.412,1.314,0.001
NN_SA_a144,1,248,0,0.021,-0.001,-0.001,0.016,-0.092,0.086,0.178,0.323,3.357,0.001
NN_SN_a180,1,8931,0.001,0.017,0.001,0.001,0.012,-0.214,0.184,0.399,-0.034,11.858,0
