PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,4]",Ceres,Conjunction,"(0,4]",408,453,861,0.47,0.53
CE_a0_0,Ceres,Conjunction,0,1835,1863,3698,0.5,0.5
"CE_a103_(0,1]",Ceres,BiSeptile,"(0,1]",650,689,1339,0.49,0.51
"CE_a103_(1,6]",Ceres,BiSeptile,"(1,6]",139,172,311,0.45,0.55
CE_a103_0,Ceres,BiSeptile,0,1454,1455,2909,0.5,0.5
"CE_a120_(0,1]",Ceres,Trine,"(0,1]",642,653,1295,0.5,0.5
"CE_a120_(1,4]",Ceres,Trine,"(1,4]",153,155,308,0.5,0.5
CE_a120_0,Ceres,Trine,0,1448,1508,2956,0.49,0.51
"CE_a135_(0,1]",Ceres,SesquiSquare,"(0,1]",618,661,1279,0.48,0.52
"CE_a135_(1,4]",Ceres,SesquiSquare,"(1,4]",143,133,276,0.52,0.48
CE_a135_0,Ceres,SesquiSquare,0,1482,1522,3004,0.49,0.51
"CE_a144_(0,1]",Ceres,BiQuintile,"(0,1]",579,655,1234,0.47,0.53
"CE_a144_(1,5]",Ceres,BiQuintile,"(1,5]",195,170,365,0.53,0.47
CE_a144_0,Ceres,BiQuintile,0,1469,1491,2960,0.5,0.5
"CE_a150_(0,1]",Ceres,Quincunx,"(0,1]",628,666,1294,0.49,0.51
"CE_a150_(1,5]",Ceres,Quincunx,"(1,5]",138,132,270,0.51,0.49
CE_a150_0,Ceres,Quincunx,0,1477,1518,2995,0.49,0.51
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",385,441,826,0.47,0.53
CE_a180_0,Ceres,Opposition,0,1858,1875,3733,0.5,0.5
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",738,739,1477,0.5,0.5
"CE_a30_(1,4]",Ceres,SemiSextile,"(1,4]",230,250,480,0.48,0.52
CE_a30_0,Ceres,SemiSextile,0,1275,1327,2602,0.49,0.51
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",669,656,1325,0.5,0.5
"CE_a36_(1,5]",Ceres,SemiQuintile,"(1,5]",243,284,527,0.46,0.54
CE_a36_0,Ceres,SemiQuintile,0,1331,1376,2707,0.49,0.51
"CE_a45_(0,1]",Ceres,SemiSquare,"(0,1]",687,705,1392,0.49,0.51
"CE_a45_(1,5]",Ceres,SemiSquare,"(1,5]",222,207,429,0.52,0.48
CE_a45_0,Ceres,SemiSquare,0,1334,1404,2738,0.49,0.51
"CE_a60_(0,1]",Ceres,Sextile,"(0,1]",633,645,1278,0.5,0.5
"CE_a60_(1,4]",Ceres,Sextile,"(1,4]",148,174,322,0.46,0.54
