PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(4,5]",Ceres,"(4,5]",455,473,928,0.49,0.51
"CE_(5,7]",Ceres,"(5,7]",713,776,1489,0.48,0.52
"CE_(7,13]",Ceres,"(7,13]",356,348,704,0.51,0.49
"CE_[0,4]",Ceres,"[0,4]",810,801,1611,0.5,0.5
"CH_(4,5]",Chiron,"(4,5]",440,490,930,0.47,0.53
"CH_(5,7]",Chiron,"(5,7]",846,893,1739,0.49,0.51
"CH_(7,13]",Chiron,"(7,13]",408,419,827,0.49,0.51
"CH_[0,4]",Chiron,"[0,4]",640,596,1236,0.52,0.48
"JN_(4,5]",Juno,"(4,5]",447,432,879,0.51,0.49
"JN_(5,7]",Juno,"(5,7]",781,785,1566,0.5,0.5
"JN_(7,14]",Juno,"(7,14]",331,312,643,0.51,0.49
"JN_[0,4]",Juno,"[0,4]",775,869,1644,0.47,0.53
"JU_(4,5]",Jupiter,"(4,5]",461,435,896,0.51,0.49
"JU_(5,7]",Jupiter,"(5,7]",720,792,1512,0.48,0.52
"JU_(7,12]",Jupiter,"(7,12]",350,345,695,0.5,0.5
"JU_[0,4]",Jupiter,"[0,4]",803,826,1629,0.49,0.51
"MA_(4,5]",Mars,"(4,5]",451,451,902,0.5,0.5
"MA_(5,7]",Mars,"(5,7]",678,763,1441,0.47,0.53
"MA_(7,13]",Mars,"(7,13]",356,285,641,0.56,0.44
"MA_[0,4]",Mars,"[0,4]",849,899,1748,0.49,0.51
"ME_(4,5]",Mercury,"(4,5]",450,451,901,0.5,0.5
"ME_(5,7]",Mercury,"(5,7]",725,715,1440,0.5,0.5
"ME_(7,14]",Mercury,"(7,14]",285,279,564,0.51,0.49
"ME_[0,4]",Mercury,"[0,4]",874,953,1827,0.48,0.52
"MO_(13,15]",Moon,"(13,15]",686,697,1383,0.5,0.5
"MO_(15,17]",Moon,"(15,17]",550,620,1170,0.47,0.53
"MO_(17,27]",Moon,"(17,27]",390,404,794,0.49,0.51
"MO_[5,13]",Moon,"[5,13]",708,677,1385,0.51,0.49
"NE_(4,5]",Neptune,"(4,5]",454,467,921,0.49,0.51
"NE_(5,6]",Neptune,"(5,6]",392,417,809,0.48,0.52
"NE_(6,13]",Neptune,"(6,13]",536,549,1085,0.49,0.51
"NE_[0,4]",Neptune,"[0,4]",952,965,1917,0.5,0.5
"NN_(5,6]",NNode,"(5,6]",512,473,985,0.52,0.48
"NN_(6,7]",NNode,"(6,7]",410,419,829,0.49,0.51
"NN_(7,13]",NNode,"(7,13]",517,491,1008,0.51,0.49
"NN_[1,5]",NNode,"[1,5]",895,1015,1910,0.47,0.53
"PA_(4,5]",Pallas,"(4,5]",458,465,923,0.5,0.5
"PA_(5,7]",Pallas,"(5,7]",744,746,1490,0.5,0.5
"PA_(7,13]",Pallas,"(7,13]",329,330,659,0.5,0.5
"PA_[0,4]",Pallas,"[0,4]",803,857,1660,0.48,0.52
"PH_(4,5]",Pholus,"(4,5]",452,507,959,0.47,0.53
"PH_(5,6]",Pholus,"(5,6]",435,405,840,0.52,0.48
"PH_(6,13]",Pholus,"(6,13]",560,552,1112,0.5,0.5
"PH_[0,4]",Pholus,"[0,4]",887,934,1821,0.49,0.51
"PL_(4,5]",Pluto,"(4,5]",499,476,975,0.51,0.49
"PL_(5,6]",Pluto,"(5,6]",375,382,757,0.5,0.5
"PL_(6,14]",Pluto,"(6,14]",447,474,921,0.49,0.51
"PL_[0,4]",Pluto,"[0,4]",1013,1066,2079,0.49,0.51
"SA_(4,5]",Saturn,"(4,5]",440,445,885,0.5,0.5
"SA_(5,7]",Saturn,"(5,7]",721,743,1464,0.49,0.51
"SA_(7,14]",Saturn,"(7,14]",313,300,613,0.51,0.49
"SA_[0,4]",Saturn,"[0,4]",860,910,1770,0.49,0.51
"SN_(5,6]",SNode,"(5,6]",503,507,1010,0.5,0.5
"SN_(6,7]",SNode,"(6,7]",411,399,810,0.51,0.49
"SN_(7,13]",SNode,"(7,13]",537,498,1035,0.52,0.48
"SN_[1,5]",SNode,"[1,5]",883,994,1877,0.47,0.53
"SU_(4,5]",Sun,"(4,5]",484,513,997,0.49,0.51
"SU_(5,7]",Sun,"(5,7]",735,715,1450,0.51,0.49
"SU_(7,14]",Sun,"(7,14]",327,316,643,0.51,0.49
"SU_[0,4]",Sun,"[0,4]",788,854,1642,0.48,0.52
"UR_(4,5]",Uranus,"(4,5]",409,431,840,0.49,0.51
"UR_(5,7]",Uranus,"(5,7]",772,850,1622,0.48,0.52
"UR_(7,15]",Uranus,"(7,15]",525,511,1036,0.51,0.49
"UR_[0,4]",Uranus,"[0,4]",628,606,1234,0.51,0.49
"VE_(4,5]",Venus,"(4,5]",484,455,939,0.52,0.48
"VE_(5,7]",Venus,"(5,7]",742,787,1529,0.49,0.51
"VE_(7,14]",Venus,"(7,14]",388,409,797,0.49,0.51
"VE_[0,4]",Venus,"[0,4]",720,747,1467,0.49,0.51
"VS_(4,5]",Vesta,"(4,5]",429,475,904,0.47,0.53
"VS_(5,7]",Vesta,"(5,7]",710,723,1433,0.5,0.5
"VS_(7,13]",Vesta,"(7,13]",358,355,713,0.5,0.5
"VS_[0,4]",Vesta,"[0,4]",837,845,1682,0.5,0.5
