PlanetPolarity,Planet,Polarity,buy,sell,daysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,1140,1185,2325,0.49,0.51
CE_POS,Ceres,Positive,1087,1103,2190,0.5,0.5
CH_NEG,Chiron,Negative,1252,1247,2499,0.5,0.5
CH_POS,Chiron,Positive,975,1041,2016,0.48,0.52
JN_NEG,Juno,Negative,1024,1134,2158,0.47,0.53
JN_POS,Juno,Positive,1203,1154,2357,0.51,0.49
JU_NEG,Juno,Negative,1192,1199,2391,0.5,0.5
JU_POS,Juno,Positive,1035,1089,2124,0.49,0.51
MA_NEG,Mars,Negative,1059,1144,2203,0.48,0.52
MA_POS,Mars,Positive,1168,1144,2312,0.51,0.49
ME_NEG,Mercury,Negative,1130,1146,2276,0.5,0.5
ME_POS,Mercury,Positive,1097,1142,2239,0.49,0.51
MO_NEG,Moon,Negative,1100,1164,2264,0.49,0.51
MO_POS,Moon,Positive,1127,1124,2251,0.5,0.5
NE_NEG,Neptune,Negative,1249,1177,2426,0.51,0.49
NE_POS,Neptune,Positive,978,1111,2089,0.47,0.53
NN_NEG,North Node,Negative,1135,1195,2330,0.49,0.51
NN_POS,North Node,Positive,1092,1093,2185,0.5,0.5
PA_NEG,Pallas,Negative,1113,1181,2294,0.49,0.51
PA_POS,Pallas,Positive,1114,1107,2221,0.5,0.5
PH_NEG,Pholus,Negative,565,579,1144,0.49,0.51
PH_POS,Pholus,Positive,1662,1709,3371,0.49,0.51
PL_NEG,Pluto,Negative,1638,1629,3267,0.5,0.5
PL_POS,Pluto,Positive,589,659,1248,0.47,0.53
SA_NEG,Saturn,Negative,1229,1230,2459,0.5,0.5
SA_POS,Saturn,Positive,998,1058,2056,0.49,0.51
SN_NEG,South Node,Negative,1135,1195,2330,0.49,0.51
SN_POS,South Node,Positive,1092,1093,2185,0.5,0.5
SU_NEG,Sun,Negative,1120,1136,2256,0.5,0.5
SU_POS,Sun,Positive,1107,1152,2259,0.49,0.51
UR_NEG,Uranus,Negative,1164,1271,2435,0.48,0.52
UR_POS,Uranus,Positive,1063,1017,2080,0.51,0.49
VE_NEG,Venus,Negative,1052,1101,2153,0.49,0.51
VE_POS,Venus,Positive,1175,1187,2362,0.5,0.5
VS_NEG,Vesta,Negative,1142,1096,2238,0.51,0.49
VS_POS,Vesta,Positive,1085,1192,2277,0.48,0.52
