PlanetQuality,Planet,Quality,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,711,740,1451,0.49,0.51
CE_FIX,Ceres,Fixed,946,856,1802,0.52,0.48
CE_MUT,Ceres,Mutable,836,945,1781,0.47,0.53
CH_CAR,Chiron,Cardinal,791,810,1601,0.49,0.51
CH_FIX,Chiron,Fixed,659,735,1394,0.47,0.53
CH_MUT,Chiron,Mutable,1043,996,2039,0.51,0.49
JN_CAR,Juno,Cardinal,793,841,1634,0.49,0.51
JN_FIX,Juno,Fixed,759,770,1529,0.5,0.5
JN_MUT,Juno,Mutable,941,930,1871,0.5,0.5
JU_CAR,Jupiter,Cardinal,832,861,1693,0.49,0.51
JU_FIX,Jupiter,Fixed,808,784,1592,0.51,0.49
JU_MUT,Jupiter,Mutable,853,896,1749,0.49,0.51
MA_CAR,Mars,Cardinal,761,880,1641,0.46,0.54
MA_FIX,Mars,Fixed,861,834,1695,0.51,0.49
MA_MUT,Mars,Mutable,871,827,1698,0.51,0.49
ME_CAR,Mercury,Cardinal,855,841,1696,0.5,0.5
ME_FIX,Mercury,Fixed,814,854,1668,0.49,0.51
ME_MUT,Mercury,Mutable,824,846,1670,0.49,0.51
MO_CAR,Moon,Cardinal,843,838,1681,0.5,0.5
MO_FIX,Moon,Fixed,802,877,1679,0.48,0.52
MO_MUT,Moon,Mutable,848,826,1674,0.51,0.49
NE_FIX,Neptune,Fixed,978,1111,2089,0.47,0.53
NE_MUT,Neptune,Mutable,1515,1430,2945,0.51,0.49
NN_CAR,NNode,Cardinal,808,809,1617,0.5,0.5
NN_FIX,NNode,Fixed,903,899,1802,0.5,0.5
NN_MUT,NNode,Mutable,782,833,1615,0.48,0.52
PA_CAR,Pallas,Cardinal,905,905,1810,0.5,0.5
PA_FIX,Pallas,Fixed,692,727,1419,0.49,0.51
PA_MUT,Pallas,Mutable,896,909,1805,0.5,0.5
PH_CAR,Pholus,Cardinal,578,541,1119,0.52,0.48
PH_FIX,Pholus,Fixed,253,291,544,0.47,0.53
PH_MUT,Pholus,Mutable,1662,1709,3371,0.49,0.51
PL_CAR,Pluto,Cardinal,1904,1882,3786,0.5,0.5
PL_MUT,Pluto,Mutable,589,659,1248,0.47,0.53
SA_CAR,Saturn,Cardinal,900,971,1871,0.48,0.52
SA_FIX,Saturn,Fixed,916,905,1821,0.5,0.5
SA_MUT,Saturn,Mutable,677,665,1342,0.5,0.5
SN_CAR,SNode,Cardinal,808,809,1617,0.5,0.5
SN_FIX,SNode,Fixed,903,899,1802,0.5,0.5
SN_MUT,SNode,Mutable,782,833,1615,0.48,0.52
SU_CAR,Sun,Cardinal,829,864,1693,0.49,0.51
SU_FIX,Sun,Fixed,828,846,1674,0.49,0.51
SU_MUT,Sun,Mutable,836,831,1667,0.5,0.5
UR_CAR,Uranus,Cardinal,1028,980,2008,0.51,0.49
UR_FIX,Uranus,Fixed,613,598,1211,0.51,0.49
UR_MUT,Uranus,Mutable,852,963,1815,0.47,0.53
VE_CAR,Venus,Cardinal,889,847,1736,0.51,0.49
VE_FIX,Venus,Fixed,789,836,1625,0.49,0.51
VE_MUT,Venus,Mutable,815,858,1673,0.49,0.51
VS_CAR,Vesta,Cardinal,778,768,1546,0.5,0.5
VS_FIX,Vesta,Fixed,854,797,1651,0.52,0.48
VS_MUT,Vesta,Mutable,861,976,1837,0.47,0.53
