PlanetsAspect,PlanetX,PlanetY,Aspect,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CH_a0,Ceres,Chiron,Conjunction,12,16,28,0.43,0.57
CE_CH_a103,Ceres,Chiron,BiSeptile,65,67,132,0.49,0.51
CE_CH_a120,Ceres,Chiron,Trine,52,42,94,0.55,0.45
CE_CH_a135,Ceres,Chiron,SesquiSquare,56,39,95,0.59,0.41
CE_CH_a144,Ceres,Chiron,BiQuintile,50,48,98,0.51,0.49
CE_CH_a150,Ceres,Chiron,Quincunx,32,38,70,0.46,0.54
CE_CH_a180,Ceres,Chiron,Opposition,23,15,38,0.61,0.39
CE_CH_a30,Ceres,Chiron,SemiSextile,62,77,139,0.45,0.55
CE_CH_a36,Ceres,Chiron,SemiQuintile,74,79,153,0.48,0.52
CE_CH_a45,Ceres,Chiron,SemiSquare,61,46,107,0.57,0.43
CE_CH_a60,Ceres,Chiron,Sextile,45,47,92,0.49,0.51
CE_CH_a72,Ceres,Chiron,Quintile,47,37,84,0.56,0.44
CE_CH_a90,Ceres,Chiron,Square,42,41,83,0.51,0.49
CE_JU_a0,Ceres,Jupiter,Conjunction,19,27,46,0.41,0.59
CE_JU_a103,Ceres,Jupiter,BiSeptile,56,66,122,0.46,0.54
CE_JU_a120,Ceres,Jupiter,Trine,13,13,26,0.5,0.5
CE_JU_a135,Ceres,Jupiter,SesquiSquare,72,60,132,0.55,0.45
CE_JU_a144,Ceres,Jupiter,BiQuintile,55,51,106,0.52,0.48
CE_JU_a150,Ceres,Jupiter,Quincunx,47,43,90,0.52,0.48
CE_JU_a180,Ceres,Jupiter,Opposition,16,12,28,0.57,0.43
CE_JU_a30,Ceres,Jupiter,SemiSextile,53,54,107,0.5,0.5
CE_JU_a36,Ceres,Jupiter,SemiQuintile,88,118,206,0.43,0.57
CE_JU_a45,Ceres,Jupiter,SemiSquare,60,72,132,0.45,0.55
CE_JU_a60,Ceres,Jupiter,Sextile,26,34,60,0.43,0.57
CE_JU_a72,Ceres,Jupiter,Quintile,17,15,32,0.53,0.47
CE_JU_a90,Ceres,Jupiter,Square,61,62,123,0.5,0.5
CE_NE_a0,Ceres,Neptune,Conjunction,30,43,73,0.41,0.59
CE_NE_a103,Ceres,Neptune,BiSeptile,45,37,82,0.55,0.45
CE_NE_a120,Ceres,Neptune,Trine,41,38,79,0.52,0.48
CE_NE_a135,Ceres,Neptune,SesquiSquare,39,38,77,0.51,0.49
CE_NE_a144,Ceres,Neptune,BiQuintile,51,27,78,0.65,0.35
CE_NE_a150,Ceres,Neptune,Quincunx,64,50,114,0.56,0.44
CE_NE_a180,Ceres,Neptune,Opposition,14,15,29,0.48,0.52
CE_NE_a30,Ceres,Neptune,SemiSextile,71,72,143,0.5,0.5
CE_NE_a36,Ceres,Neptune,SemiQuintile,49,43,92,0.53,0.47
CE_NE_a45,Ceres,Neptune,SemiSquare,50,45,95,0.53,0.47
CE_NE_a60,Ceres,Neptune,Sextile,45,42,87,0.52,0.48
CE_NE_a72,Ceres,Neptune,Quintile,36,20,56,0.64,0.36
CE_NE_a90,Ceres,Neptune,Square,55,57,112,0.49,0.51
CE_NN_a0,Ceres,NNode,Conjunction,53,61,114,0.46,0.54
CE_NN_a103,Ceres,NNode,BiSeptile,36,37,73,0.49,0.51
CE_NN_a120,Ceres,NNode,Trine,65,51,116,0.56,0.44
CE_NN_a135,Ceres,NNode,SesquiSquare,95,82,177,0.54,0.46
CE_NN_a144,Ceres,NNode,BiQuintile,63,69,132,0.48,0.52
CE_NN_a150,Ceres,NNode,Quincunx,102,90,192,0.53,0.47
CE_NN_a180,Ceres,NNode,Opposition,20,12,32,0.62,0.38
CE_NN_a30,Ceres,NNode,SemiSextile,24,31,55,0.44,0.56
CE_NN_a36,Ceres,NNode,SemiQuintile,46,49,95,0.48,0.52
CE_NN_a45,Ceres,NNode,SemiSquare,24,30,54,0.44,0.56
CE_NN_a60,Ceres,NNode,Sextile,49,48,97,0.51,0.49
CE_NN_a72,Ceres,NNode,Quintile,52,44,96,0.54,0.46
CE_NN_a90,Ceres,NNode,Square,52,53,105,0.5,0.5
CE_PA_a103,Ceres,Pallas,BiSeptile,18,16,34,0.53,0.47
CE_PA_a30,Ceres,Pallas,SemiSextile,247,268,515,0.48,0.52
CE_PA_a36,Ceres,Pallas,SemiQuintile,193,220,413,0.47,0.53
CE_PA_a45,Ceres,Pallas,SemiSquare,144,117,261,0.55,0.45
CE_PA_a60,Ceres,Pallas,Sextile,75,88,163,0.46,0.54
CE_PA_a72,Ceres,Pallas,Quintile,52,46,98,0.53,0.47
CE_PA_a90,Ceres,Pallas,Square,25,25,50,0.5,0.5
CE_PH_a0,Ceres,Pholus,Conjunction,18,17,35,0.51,0.49
CE_PH_a103,Ceres,Pholus,BiSeptile,57,57,114,0.5,0.5
CE_PH_a120,Ceres,Pholus,Trine,64,48,112,0.57,0.43
CE_PH_a135,Ceres,Pholus,SesquiSquare,56,47,103,0.54,0.46
CE_PH_a144,Ceres,Pholus,BiQuintile,41,37,78,0.53,0.47
CE_PH_a150,Ceres,Pholus,Quincunx,36,26,62,0.58,0.42
CE_PH_a180,Ceres,Pholus,Opposition,39,28,67,0.58,0.42
CE_PH_a30,Ceres,Pholus,SemiSextile,59,52,111,0.53,0.47
CE_PH_a36,Ceres,Pholus,SemiQuintile,49,52,101,0.49,0.51
CE_PH_a45,Ceres,Pholus,SemiSquare,50,48,98,0.51,0.49
