PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,2]",Ceres,Conjunction,"(0,2]",333,284,617,0.54,0.46
CE_a0_0,Ceres,Conjunction,0,2966,2915,5881,0.5,0.5
"CE_a103_(0,3]",Ceres,BiSeptile,"(0,3]",620,613,1233,0.5,0.5
CE_a103_0,Ceres,BiSeptile,0,2679,2586,5265,0.51,0.49
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",609,580,1189,0.51,0.49
CE_a120_0,Ceres,Trine,0,2690,2619,5309,0.51,0.49
"CE_a135_(0,3]",Ceres,SesquiSquare,"(0,3]",704,625,1329,0.53,0.47
CE_a135_0,Ceres,SesquiSquare,0,2595,2574,5169,0.5,0.5
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",636,630,1266,0.5,0.5
CE_a144_0,Ceres,BiQuintile,0,2663,2569,5232,0.51,0.49
"CE_a150_(0,3]",Ceres,Quincunx,"(0,3]",576,575,1151,0.5,0.5
CE_a150_0,Ceres,Quincunx,0,2723,2624,5347,0.51,0.49
"CE_a180_(0,2]",Ceres,Opposition,"(0,2]",311,280,591,0.53,0.47
CE_a180_0,Ceres,Opposition,0,2988,2919,5907,0.51,0.49
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",811,737,1548,0.52,0.48
"CE_a30_(1,3]",Ceres,SemiSextile,"(1,3]",133,146,279,0.48,0.52
CE_a30_0,Ceres,SemiSextile,0,2355,2316,4671,0.5,0.5
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",731,699,1430,0.51,0.49
"CE_a36_(1,4]",Ceres,SemiQuintile,"(1,4]",194,185,379,0.51,0.49
CE_a36_0,Ceres,SemiQuintile,0,2374,2315,4689,0.51,0.49
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",852,762,1614,0.53,0.47
CE_a45_0,Ceres,SemiSquare,0,2447,2437,4884,0.5,0.5
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",722,748,1470,0.49,0.51
CE_a60_0,Ceres,Sextile,0,2577,2451,5028,0.51,0.49
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",635,681,1316,0.48,0.52
CE_a72_0,Ceres,Quintile,0,2664,2518,5182,0.51,0.49
"CE_a90_(0,3]",Ceres,Square,"(0,3]",561,516,1077,0.52,0.48
CE_a90_0,Ceres,Square,0,2738,2683,5421,0.51,0.49
"CH_a0_(0,1]",Chiron,Conjunction,"(0,1]",245,256,501,0.49,0.51
CH_a0_0,Chiron,Conjunction,0,3054,2943,5997,0.51,0.49
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",21,30,51,0.41,0.59
CH_a103_0,Chiron,BiSeptile,0,3278,3169,6447,0.51,0.49
CH_a120_0,Chiron,Trine,0,3299,3199,6498,0.51,0.49
CH_a135_0,Chiron,SesquiSquare,0,3299,3199,6498,0.51,0.49
CH_a144_0,Chiron,BiQuintile,0,3299,3199,6498,0.51,0.49
CH_a150_0,Chiron,Quincunx,0,3299,3199,6498,0.51,0.49
CH_a180_0,Chiron,Opposition,0,3299,3199,6498,0.51,0.49
CH_a30_0,Chiron,SemiSextile,0,1652,1555,3207,0.52,0.48
CH_a30_1,Chiron,SemiSextile,1,1647,1644,3291,0.5,0.5
"CH_a36_(0,2]",Chiron,SemiQuintile,"(0,2]",527,467,994,0.53,0.47
CH_a36_0,Chiron,SemiQuintile,0,2772,2732,5504,0.5,0.5
"CH_a45_(0,2]",Chiron,SemiSquare,"(0,2]",413,400,813,0.51,0.49
CH_a45_0,Chiron,SemiSquare,0,2886,2799,5685,0.51,0.49
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",582,536,1118,0.52,0.48
CH_a60_0,Chiron,Sextile,0,2717,2663,5380,0.51,0.49
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",594,603,1197,0.5,0.5
CH_a72_0,Chiron,Quintile,0,2705,2596,5301,0.51,0.49
"CH_a90_(0,1]",Chiron,Square,"(0,1]",379,340,719,0.53,0.47
CH_a90_0,Chiron,Square,0,2920,2859,5779,0.51,0.49
"JN_a0_(0,2]",Juno,Conjunction,"(0,2]",360,376,736,0.49,0.51
JN_a0_0,Juno,Conjunction,0,2939,2823,5762,0.51,0.49
"JN_a103_(0,4]",Juno,BiSeptile,"(0,4]",795,806,1601,0.5,0.5
JN_a103_0,Juno,BiSeptile,0,2504,2393,4897,0.51,0.49
"JN_a120_(0,3]",Juno,Trine,"(0,3]",866,871,1737,0.5,0.5
JN_a120_0,Juno,Trine,0,2433,2328,4761,0.51,0.49
"JN_a135_(0,3]",Juno,SesquiSquare,"(0,3]",759,722,1481,0.51,0.49
