PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(2,3]",Ceres,"(2,3]",762,720,1482,0.51,0.49
"CE_(3,4]",Ceres,"(3,4]",610,578,1188,0.51,0.49
"CE_(4,8]",Ceres,"(4,8]",455,438,893,0.51,0.49
"CE_[0,2]",Ceres,"[0,2]",1409,1410,2819,0.5,0.5
"CH_(1,2]",Chiron,"(1,2]",1062,1003,2065,0.51,0.49
"CH_(2,3]",Chiron,"(2,3]",321,325,646,0.5,0.5
CH_1,Chiron,1,1372,1345,2717,0.5,0.5
"CH_[0,1)",Chiron,"[0,1)",481,473,954,0.5,0.5
"JN_(2,3]",Juno,"(2,3]",759,748,1507,0.5,0.5
"JN_(3,4]",Juno,"(3,4]",621,585,1206,0.51,0.49
"JN_(4,9]",Juno,"(4,9]",526,528,1054,0.5,0.5
"JN_[0,2]",Juno,"[0,2]",1330,1285,2615,0.51,0.49
"JU_(1,2]",Jupiter,"(1,2]",971,970,1941,0.5,0.5
"JU_(2,3]",Jupiter,"(2,3]",782,756,1538,0.51,0.49
"JU_(3,7]",Jupiter,"(3,7]",514,520,1034,0.5,0.5
"JU_[0,1]",Jupiter,"[0,1]",969,900,1869,0.52,0.48
"MA_(2,3]",Mars,"(2,3]",696,683,1379,0.5,0.5
"MA_(3,5]",Mars,"(3,5]",1130,1101,2231,0.51,0.49
"MA_(5,11]",Mars,"(5,11]",449,414,863,0.52,0.48
"MA_[0,2]",Mars,"[0,2]",961,948,1909,0.5,0.5
"ME_(3,4]",Mercury,"(3,4]",659,675,1334,0.49,0.51
"ME_(4,6]",Mercury,"(4,6]",1062,1033,2095,0.51,0.49
"ME_(6,13]",Mercury,"(6,13]",413,397,810,0.51,0.49
"ME_[0,3]",Mercury,"[0,3]",1102,1041,2143,0.51,0.49
"MO_(13,15]",Moon,"(13,15]",904,922,1826,0.5,0.5
"MO_(15,17]",Moon,"(15,17]",779,780,1559,0.5,0.5
"MO_(17,27]",Moon,"(17,27]",563,508,1071,0.53,0.47
"MO_[5,13]",Moon,"[5,13]",990,936,1926,0.51,0.49
NE_0,Neptune,0,3236,3146,6382,0.51,0.49
"NN_(2,3]",NNode,"(2,3]",846,854,1700,0.5,0.5
"NN_(3,6]",NNode,"(3,6]",803,727,1530,0.52,0.48
NN_2,NNode,2,1118,1089,2207,0.51,0.49
"NN_[1,2)",NNode,"[1,2)",469,476,945,0.5,0.5
"PA_(1,2]",Pallas,"(1,2]",818,859,1677,0.49,0.51
"PA_(2,3]",Pallas,"(2,3]",765,705,1470,0.52,0.48
"PA_(3,8]",Pallas,"(3,8]",695,689,1384,0.5,0.5
"PA_[0,1]",Pallas,"[0,1]",958,893,1851,0.52,0.48
"PH_(0,1]",Pholus,"(0,1]",1303,1281,2584,0.5,0.5
"PH_(1,2]",Pholus,"(1,2]",105,109,214,0.49,0.51
PH_0,Pholus,0,1828,1756,3584,0.51,0.49
"SA_(1,2]",Saturn,"(1,2]",923,852,1775,0.52,0.48
"SA_(2,4]",Saturn,"(2,4]",341,334,675,0.51,0.49
SA_1,Saturn,1,1262,1247,2509,0.5,0.5
"SA_[0,1)",Saturn,"[0,1)",710,713,1423,0.5,0.5
"SN_(2,5]",SNode,"(2,5]",807,739,1546,0.52,0.48
SN_2,SNode,2,800,809,1609,0.5,0.5
"SN_[0,1]",SNode,"[0,1]",1629,1598,3227,0.5,0.5
"SU_(3,4]",Sun,"(3,4]",720,687,1407,0.51,0.49
"SU_(4,5]",Sun,"(4,5]",542,561,1103,0.49,0.51
"SU_(5,11]",Sun,"(5,11]",637,619,1256,0.51,0.49
"SU_[0,3]",Sun,"[0,3]",1337,1279,2616,0.51,0.49
"UR_(1,3]",Uranus,"(1,3]",703,751,1454,0.48,0.52
UR_0,Uranus,0,1215,1216,2431,0.5,0.5
UR_1,Uranus,1,1318,1179,2497,0.53,0.47
"VE_(3,4]",Venus,"(3,4]",687,720,1407,0.49,0.51
"VE_(4,6]",Venus,"(4,6]",1062,1011,2073,0.51,0.49
"VE_(6,12]",Venus,"(6,12]",454,378,832,0.55,0.45
"VE_[0,3]",Venus,"[0,3]",1033,1037,2070,0.5,0.5
"VS_(2,3]",Vesta,"(2,3]",731,759,1490,0.49,0.51
"VS_(3,4]",Vesta,"(3,4]",605,607,1212,0.5,0.5
"VS_(4,10]",Vesta,"(4,10]",818,740,1558,0.53,0.47
"VS_[0,2]",Vesta,"[0,2]",1082,1040,2122,0.51,0.49
