PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",219,256,475,0.46,0.54,CAR
"CAR_(6,8]",Cardinal,"(6,8]",381,428,809,0.47,0.53,CAR
"CAR_(8,14]",Cardinal,"(8,14]",264,303,567,0.47,0.53,CAR
"CAR_[0,5]",Cardinal,"[0,5]",361,412,773,0.47,0.53,CAR
"FIX_(5,6]",Fixed,"(5,6]",155,172,327,0.47,0.53,FIX
"FIX_(6,7]",Fixed,"(6,7]",103,95,198,0.52,0.48,FIX
"FIX_(7,14]",Fixed,"(7,14]",79,95,174,0.45,0.55,FIX
"FIX_[0,5]",Fixed,"[0,5]",888,1037,1925,0.46,0.54,FIX
"MUT_(4,6]",Mutable,"(4,6]",397,422,819,0.48,0.52,MUT
"MUT_(6,7]",Mutable,"(6,7]",224,258,482,0.46,0.54,MUT
"MUT_(7,13]",Mutable,"(7,13]",395,480,875,0.45,0.55,MUT
"MUT_[0,4]",Mutable,"[0,4]",209,239,448,0.47,0.53,MUT
