PlanetsAspect,PlanetX,PlanetY,Aspect,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CH_a0,Ceres,Chiron,Conjunction,7,5,12,0.58,0.42
CE_CH_a103,Ceres,Chiron,BiSeptile,9,11,20,0.45,0.55
CE_CH_a120,Ceres,Chiron,Trine,23,32,55,0.42,0.58
CE_CH_a135,Ceres,Chiron,SesquiSquare,16,32,48,0.33,0.67
CE_CH_a144,Ceres,Chiron,BiQuintile,40,32,72,0.56,0.44
CE_CH_a150,Ceres,Chiron,Quincunx,17,13,30,0.57,0.43
CE_CH_a180,Ceres,Chiron,Opposition,3,5,8,0.38,0.62
CE_CH_a30,Ceres,Chiron,SemiSextile,39,41,80,0.49,0.51
CE_CH_a36,Ceres,Chiron,SemiQuintile,52,54,106,0.49,0.51
CE_CH_a45,Ceres,Chiron,SemiSquare,17,10,27,0.63,0.37
CE_CH_a60,Ceres,Chiron,Sextile,54,43,97,0.56,0.44
CE_CH_a72,Ceres,Chiron,Quintile,6,17,23,0.26,0.74
CE_CH_a90,Ceres,Chiron,Square,7,14,21,0.33,0.67
CE_JU_a0,Ceres,Jupiter,Conjunction,14,10,24,0.58,0.42
CE_JU_a103,Ceres,Jupiter,BiSeptile,36,28,64,0.56,0.44
CE_JU_a120,Ceres,Jupiter,Trine,4,5,9,0.44,0.56
CE_JU_a135,Ceres,Jupiter,SesquiSquare,4,4,8,0.5,0.5
CE_JU_a144,Ceres,Jupiter,BiQuintile,2,5,7,0.29,0.71
CE_JU_a150,Ceres,Jupiter,Quincunx,6,1,7,0.86,0.14
CE_JU_a180,Ceres,Jupiter,Opposition,9,18,27,0.33,0.67
CE_JU_a30,Ceres,Jupiter,SemiSextile,19,18,37,0.51,0.49
CE_JU_a36,Ceres,Jupiter,SemiQuintile,38,38,76,0.5,0.5
CE_JU_a45,Ceres,Jupiter,SemiSquare,36,45,81,0.44,0.56
CE_JU_a60,Ceres,Jupiter,Sextile,11,15,26,0.42,0.58
CE_JU_a72,Ceres,Jupiter,Quintile,8,14,22,0.36,0.64
CE_JU_a90,Ceres,Jupiter,Square,34,29,63,0.54,0.46
CE_NE_a0,Ceres,Neptune,Conjunction,7,6,13,0.54,0.46
CE_NE_a103,Ceres,Neptune,BiSeptile,24,37,61,0.39,0.61
CE_NE_a120,Ceres,Neptune,Trine,9,10,19,0.47,0.53
CE_NE_a135,Ceres,Neptune,SesquiSquare,9,9,18,0.5,0.5
CE_NE_a144,Ceres,Neptune,BiQuintile,27,29,56,0.48,0.52
CE_NE_a150,Ceres,Neptune,Quincunx,19,28,47,0.4,0.6
CE_NE_a180,Ceres,Neptune,Opposition,6,14,20,0.3,0.7
CE_NE_a30,Ceres,Neptune,SemiSextile,11,13,24,0.46,0.54
CE_NE_a36,Ceres,Neptune,SemiQuintile,11,12,23,0.48,0.52
CE_NE_a45,Ceres,Neptune,SemiSquare,16,8,24,0.67,0.33
CE_NE_a60,Ceres,Neptune,Sextile,8,15,23,0.35,0.65
CE_NE_a72,Ceres,Neptune,Quintile,29,35,64,0.45,0.55
CE_NE_a90,Ceres,Neptune,Square,9,14,23,0.39,0.61
CE_NN_a0,Ceres,NNode,Conjunction,79,69,148,0.53,0.47
CE_NN_a103,Ceres,NNode,BiSeptile,10,21,31,0.32,0.68
CE_NN_a120,Ceres,NNode,Trine,16,16,32,0.5,0.5
CE_NN_a135,Ceres,NNode,SesquiSquare,46,64,110,0.42,0.58
CE_NN_a144,Ceres,NNode,BiQuintile,26,28,54,0.48,0.52
