PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,3]",Ceres,Conjunction,"(0,3]",80,60,140,0.57,0.43
CE_a0_0,Ceres,Conjunction,0,939,822,1761,0.53,0.47
"CE_a103_(0,4]",Ceres,BiSeptile,"(0,4]",246,187,433,0.57,0.43
CE_a103_0,Ceres,BiSeptile,0,773,695,1468,0.53,0.47
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",245,244,489,0.5,0.5
CE_a120_0,Ceres,Trine,0,774,638,1412,0.55,0.45
"CE_a135_(0,4]",Ceres,SesquiSquare,"(0,4]",209,185,394,0.53,0.47
CE_a135_0,Ceres,SesquiSquare,0,810,697,1507,0.54,0.46
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",205,180,385,0.53,0.47
CE_a144_0,Ceres,BiQuintile,0,814,702,1516,0.54,0.46
"CE_a150_(0,4]",Ceres,Quincunx,"(0,4]",192,160,352,0.55,0.45
CE_a150_0,Ceres,Quincunx,0,827,722,1549,0.53,0.47
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",99,84,183,0.54,0.46
CE_a180_0,Ceres,Opposition,0,920,798,1718,0.54,0.46
"CE_a30_(0,4]",Ceres,SemiSextile,"(0,4]",195,178,373,0.52,0.48
CE_a30_0,Ceres,SemiSextile,0,824,704,1528,0.54,0.46
"CE_a36_(0,4]",Ceres,SemiQuintile,"(0,4]",174,160,334,0.52,0.48
CE_a36_0,Ceres,SemiQuintile,0,845,722,1567,0.54,0.46
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",199,178,377,0.53,0.47
CE_a45_0,Ceres,SemiSquare,0,820,704,1524,0.54,0.46
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",152,129,281,0.54,0.46
CE_a60_0,Ceres,Sextile,0,867,753,1620,0.54,0.46
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",168,160,328,0.51,0.49
CE_a72_0,Ceres,Quintile,0,851,722,1573,0.54,0.46
"CE_a90_(0,4]",Ceres,Square,"(0,4]",199,175,374,0.53,0.47
CE_a90_0,Ceres,Square,0,820,707,1527,0.54,0.46
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",94,85,179,0.53,0.47
CH_a0_0,Chiron,Conjunction,0,925,797,1722,0.54,0.46
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",247,222,469,0.53,0.47
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",83,44,127,0.65,0.35
CH_a103_0,Chiron,BiSeptile,0,689,616,1305,0.53,0.47
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",211,211,422,0.5,0.5
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",40,39,79,0.51,0.49
CH_a120_0,Chiron,Trine,0,768,632,1400,0.55,0.45
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",220,183,403,0.55,0.45
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",35,37,72,0.49,0.51
CH_a135_0,Chiron,SesquiSquare,0,764,662,1426,0.54,0.46
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",179,177,356,0.5,0.5
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",48,35,83,0.58,0.42
CH_a144_0,Chiron,BiQuintile,0,792,670,1462,0.54,0.46
"CH_a150_(0,1]",Chiron,Quincunx,"(0,1]",228,211,439,0.52,0.48
"CH_a150_(1,4]",Chiron,Quincunx,"(1,4]",47,40,87,0.54,0.46
CH_a150_0,Chiron,Quincunx,0,744,631,1375,0.54,0.46
"CH_a180_(0,4]",Chiron,Opposition,"(0,4]",118,94,212,0.56,0.44
CH_a180_0,Chiron,Opposition,0,901,788,1689,0.53,0.47
"CH_a30_(0,1]",Chiron,SemiSextile,"(0,1]",307,228,535,0.57,0.43
"CH_a30_(1,4]",Chiron,SemiSextile,"(1,4]",64,54,118,0.54,0.46
CH_a30_0,Chiron,SemiSextile,0,648,600,1248,0.52,0.48
"CH_a36_(0,1]",Chiron,SemiQuintile,"(0,1]",277,219,496,0.56,0.44
"CH_a36_(1,4]",Chiron,SemiQuintile,"(1,4]",51,41,92,0.55,0.45
CH_a36_0,Chiron,SemiQuintile,0,691,622,1313,0.53,0.47
"CH_a45_(0,1]",Chiron,SemiSquare,"(0,1]",291,245,536,0.54,0.46
"CH_a45_(1,4]",Chiron,SemiSquare,"(1,4]",48,35,83,0.58,0.42
CH_a45_0,Chiron,SemiSquare,0,680,602,1282,0.53,0.47
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",328,283,611,0.54,0.46
"CH_a60_(1,4]",Chiron,Sextile,"(1,4]",77,81,158,0.49,0.51
CH_a60_0,Chiron,Sextile,0,614,518,1132,0.54,0.46
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",323,219,542,0.6,0.4
"CH_a72_(1,4]",Chiron,Quintile,"(1,4]",117,95,212,0.55,0.45
CH_a72_0,Chiron,Quintile,0,579,568,1147,0.5,0.5
"CH_a90_(0,1]",Chiron,Square,"(0,1]",231,218,449,0.51,0.49
"CH_a90_(1,5]",Chiron,Square,"(1,5]",37,46,83,0.45,0.55
CH_a90_0,Chiron,Square,0,751,618,1369,0.55,0.45
"JN_a0_(0,3]",Juno,Conjunction,"(0,3]",103,81,184,0.56,0.44
JN_a0_0,Juno,Conjunction,0,916,801,1717,0.53,0.47
"JN_a103_(0,4]",Juno,BiSeptile,"(0,4]",184,150,334,0.55,0.45
JN_a103_0,Juno,BiSeptile,0,835,732,1567,0.53,0.47
"JN_a120_(0,4]",Juno,Trine,"(0,4]",163,101,264,0.62,0.38
JN_a120_0,Juno,Trine,0,856,781,1637,0.52,0.48
"JN_a135_(0,3]",Juno,SesquiSquare,"(0,3]",136,127,263,0.52,0.48
JN_a135_0,Juno,SesquiSquare,0,883,755,1638,0.54,0.46
"JN_a144_(0,3]",Juno,BiQuintile,"(0,3]",172,142,314,0.55,0.45
JN_a144_0,Juno,BiQuintile,0,847,740,1587,0.53,0.47
"JN_a150_(0,4]",Juno,Quincunx,"(0,4]",142,169,311,0.46,0.54
JN_a150_0,Juno,Quincunx,0,877,713,1590,0.55,0.45
"JN_a180_(0,4]",Juno,Opposition,"(0,4]",79,67,146,0.54,0.46
JN_a180_0,Juno,Opposition,0,940,815,1755,0.54,0.46
"JN_a30_(0,4]",Juno,SemiSextile,"(0,4]",153,167,320,0.48,0.52
JN_a30_0,Juno,SemiSextile,0,866,715,1581,0.55,0.45
"JN_a36_(0,4]",Juno,SemiQuintile,"(0,4]",173,153,326,0.53,0.47
JN_a36_0,Juno,SemiQuintile,0,846,729,1575,0.54,0.46
"JN_a45_(0,4]",Juno,SemiSquare,"(0,4]",166,140,306,0.54,0.46
JN_a45_0,Juno,SemiSquare,0,853,742,1595,0.53,0.47
"JN_a60_(0,4]",Juno,Sextile,"(0,4]",164,137,301,0.54,0.46
JN_a60_0,Juno,Sextile,0,855,745,1600,0.53,0.47
"JN_a72_(0,4]",Juno,Quintile,"(0,4]",276,250,526,0.52,0.48
JN_a72_0,Juno,Quintile,0,743,632,1375,0.54,0.46
"JN_a90_(0,3]",Juno,Square,"(0,3]",207,170,377,0.55,0.45
JN_a90_0,Juno,Square,0,812,712,1524,0.53,0.47
"JU_a0_(0,3]",Jupiter,Conjunction,"(0,3]",160,135,295,0.54,0.46
JU_a0_0,Jupiter,Conjunction,0,859,747,1606,0.53,0.47
"JU_a103_(0,4]",Jupiter,BiSeptile,"(0,4]",221,179,400,0.55,0.45
JU_a103_0,Jupiter,BiSeptile,0,798,703,1501,0.53,0.47
"JU_a120_(0,4]",Jupiter,Trine,"(0,4]",165,145,310,0.53,0.47
JU_a120_0,Jupiter,Trine,0,854,737,1591,0.54,0.46
"JU_a135_(0,4]",Jupiter,SesquiSquare,"(0,4]",199,196,395,0.5,0.5
JU_a135_0,Jupiter,SesquiSquare,0,820,686,1506,0.54,0.46
"JU_a144_(0,4]",Jupiter,BiQuintile,"(0,4]",190,163,353,0.54,0.46
JU_a144_0,Jupiter,BiQuintile,0,829,719,1548,0.54,0.46
"JU_a150_(0,4]",Jupiter,Quincunx,"(0,4]",180,134,314,0.57,0.43
JU_a150_0,Jupiter,Quincunx,0,839,748,1587,0.53,0.47
"JU_a180_(0,3]",Jupiter,Opposition,"(0,3]",106,103,209,0.51,0.49
JU_a180_0,Jupiter,Opposition,0,913,779,1692,0.54,0.46
"JU_a30_(0,4]",Jupiter,SemiSextile,"(0,4]",237,216,453,0.52,0.48
JU_a30_0,Jupiter,SemiSextile,0,782,666,1448,0.54,0.46
"JU_a36_(0,4]",Jupiter,SemiQuintile,"(0,4]",267,264,531,0.5,0.5
JU_a36_0,Jupiter,SemiQuintile,0,752,618,1370,0.55,0.45
"JU_a45_(0,4]",Jupiter,SemiSquare,"(0,4]",266,252,518,0.51,0.49
JU_a45_0,Jupiter,SemiSquare,0,753,630,1383,0.54,0.46
"JU_a60_(0,5]",Jupiter,Sextile,"(0,5]",237,210,447,0.53,0.47
JU_a60_0,Jupiter,Sextile,0,782,672,1454,0.54,0.46
"JU_a72_(0,5]",Jupiter,Quintile,"(0,5]",264,211,475,0.56,0.44
JU_a72_0,Jupiter,Quintile,0,755,671,1426,0.53,0.47
"JU_a90_(0,4]",Jupiter,Square,"(0,4]",229,199,428,0.54,0.46
JU_a90_0,Jupiter,Square,0,790,683,1473,0.54,0.46
"MA_a0_(0,3]",Mars,Conjunction,"(0,3]",83,81,164,0.51,0.49
MA_a0_0,Mars,Conjunction,0,936,801,1737,0.54,0.46
"MA_a103_(0,3]",Mars,BiSeptile,"(0,3]",146,144,290,0.5,0.5
MA_a103_0,Mars,BiSeptile,0,873,738,1611,0.54,0.46
"MA_a120_(0,3]",Mars,Trine,"(0,3]",136,101,237,0.57,0.43
MA_a120_0,Mars,Trine,0,883,781,1664,0.53,0.47
"MA_a135_(0,3]",Mars,SesquiSquare,"(0,3]",107,91,198,0.54,0.46
MA_a135_0,Mars,SesquiSquare,0,912,791,1703,0.54,0.46
"MA_a144_(0,2]",Mars,BiQuintile,"(0,2]",116,79,195,0.59,0.41
MA_a144_0,Mars,BiQuintile,0,903,803,1706,0.53,0.47
"MA_a150_(0,3]",Mars,Quincunx,"(0,3]",121,82,203,0.6,0.4
MA_a150_0,Mars,Quincunx,0,898,800,1698,0.53,0.47
"MA_a180_(0,3]",Mars,Opposition,"(0,3]",49,47,96,0.51,0.49
MA_a180_0,Mars,Opposition,0,970,835,1805,0.54,0.46
"MA_a30_(0,3]",Mars,SemiSextile,"(0,3]",140,126,266,0.53,0.47
MA_a30_0,Mars,SemiSextile,0,879,756,1635,0.54,0.46
"MA_a36_(0,3]",Mars,SemiQuintile,"(0,3]",147,130,277,0.53,0.47
MA_a36_0,Mars,SemiQuintile,0,872,752,1624,0.54,0.46
"MA_a45_(0,3]",Mars,SemiSquare,"(0,3]",173,127,300,0.58,0.42
MA_a45_0,Mars,SemiSquare,0,846,755,1601,0.53,0.47
"MA_a60_(0,3]",Mars,Sextile,"(0,3]",160,129,289,0.55,0.45
MA_a60_0,Mars,Sextile,0,859,753,1612,0.53,0.47
"MA_a72_(0,3]",Mars,Quintile,"(0,3]",157,126,283,0.55,0.45
MA_a72_0,Mars,Quintile,0,862,756,1618,0.53,0.47
"MA_a90_(0,3]",Mars,Square,"(0,3]",140,144,284,0.49,0.51
MA_a90_0,Mars,Square,0,879,738,1617,0.54,0.46
"ME_a0_(0,1]",Mercury,Conjunction,"(0,1]",32,34,66,0.48,0.52
ME_a0_0,Mercury,Conjunction,0,987,848,1835,0.54,0.46
"ME_a103_(0,1]",Mercury,BiSeptile,"(0,1]",74,61,135,0.55,0.45
ME_a103_0,Mercury,BiSeptile,0,945,821,1766,0.54,0.46
"ME_a120_(0,1]",Mercury,Trine,"(0,1]",73,61,134,0.54,0.46
ME_a120_0,Mercury,Trine,0,946,821,1767,0.54,0.46
"ME_a135_(0,1]",Mercury,SesquiSquare,"(0,1]",79,57,136,0.58,0.42
ME_a135_0,Mercury,SesquiSquare,0,940,825,1765,0.53,0.47
"ME_a144_(0,1]",Mercury,BiQuintile,"(0,1]",72,59,131,0.55,0.45
ME_a144_0,Mercury,BiQuintile,0,947,823,1770,0.54,0.46
"ME_a150_(0,1]",Mercury,Quincunx,"(0,1]",73,58,131,0.56,0.44
ME_a150_0,Mercury,Quincunx,0,946,824,1770,0.53,0.47
"ME_a180_(0,1]",Mercury,Opposition,"(0,1]",31,33,64,0.48,0.52
ME_a180_0,Mercury,Opposition,0,988,849,1837,0.54,0.46
"ME_a30_(0,1]",Mercury,SemiSextile,"(0,1]",73,60,133,0.55,0.45
ME_a30_0,Mercury,SemiSextile,0,946,822,1768,0.54,0.46
"ME_a36_(0,1]",Mercury,SemiQuintile,"(0,1]",70,64,134,0.52,0.48
ME_a36_0,Mercury,SemiQuintile,0,949,818,1767,0.54,0.46
"ME_a45_(0,1]",Mercury,SemiSquare,"(0,1]",71,64,135,0.53,0.47
ME_a45_0,Mercury,SemiSquare,0,948,818,1766,0.54,0.46
"ME_a60_(0,1]",Mercury,Sextile,"(0,1]",76,62,138,0.55,0.45
ME_a60_0,Mercury,Sextile,0,943,820,1763,0.53,0.47
"ME_a72_(0,1]",Mercury,Quintile,"(0,1]",63,70,133,0.47,0.53
ME_a72_0,Mercury,Quintile,0,956,812,1768,0.54,0.46
"ME_a90_(0,1]",Mercury,Square,"(0,1]",73,61,134,0.54,0.46
ME_a90_0,Mercury,Square,0,946,821,1767,0.54,0.46
"NE_a0_(0,4]",Neptune,Conjunction,"(0,4]",159,119,278,0.57,0.43
NE_a0_0,Neptune,Conjunction,0,860,763,1623,0.53,0.47
"NE_a103_(0,1]",Neptune,BiSeptile,"(0,1]",241,239,480,0.5,0.5
"NE_a103_(1,4]",Neptune,BiSeptile,"(1,4]",43,36,79,0.54,0.46
NE_a103_0,Neptune,BiSeptile,0,735,607,1342,0.55,0.45
"NE_a120_(0,1]",Neptune,Trine,"(0,1]",235,219,454,0.52,0.48
"NE_a120_(1,4]",Neptune,Trine,"(1,4]",44,30,74,0.59,0.41
NE_a120_0,Neptune,Trine,0,740,633,1373,0.54,0.46
"NE_a135_(0,1]",Neptune,SesquiSquare,"(0,1]",197,175,372,0.53,0.47
"NE_a135_(1,5]",Neptune,SesquiSquare,"(1,5]",38,33,71,0.54,0.46
NE_a135_0,Neptune,SesquiSquare,0,784,674,1458,0.54,0.46
"NE_a144_(0,1]",Neptune,BiQuintile,"(0,1]",203,172,375,0.54,0.46
"NE_a144_(1,4]",Neptune,BiQuintile,"(1,4]",35,29,64,0.55,0.45
NE_a144_0,Neptune,BiQuintile,0,781,681,1462,0.53,0.47
"NE_a150_(0,1]",Neptune,Quincunx,"(0,1]",184,181,365,0.5,0.5
"NE_a150_(1,4]",Neptune,Quincunx,"(1,4]",27,40,67,0.4,0.6
NE_a150_0,Neptune,Quincunx,0,808,661,1469,0.55,0.45
"NE_a180_(0,3]",Neptune,Opposition,"(0,3]",129,100,229,0.56,0.44
NE_a180_0,Neptune,Opposition,0,890,782,1672,0.53,0.47
"NE_a30_(0,1]",Neptune,SemiSextile,"(0,1]",291,254,545,0.53,0.47
"NE_a30_(1,4]",Neptune,SemiSextile,"(1,4]",67,45,112,0.6,0.4
NE_a30_0,Neptune,SemiSextile,0,661,583,1244,0.53,0.47
"NE_a36_(0,1]",Neptune,SemiQuintile,"(0,1]",263,235,498,0.53,0.47
"NE_a36_(1,4]",Neptune,SemiQuintile,"(1,4]",45,35,80,0.56,0.44
NE_a36_0,Neptune,SemiQuintile,0,711,612,1323,0.54,0.46
