PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,3]",Ceres,Conjunction,"(0,3]",101,99,200,0.5,0.5
CE_a0_0,Ceres,Conjunction,0,1070,1219,2289,0.47,0.53
"CE_a103_(0,4]",Ceres,BiSeptile,"(0,4]",290,320,610,0.48,0.52
CE_a103_0,Ceres,BiSeptile,0,881,998,1879,0.47,0.53
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",298,327,625,0.48,0.52
CE_a120_0,Ceres,Trine,0,873,991,1864,0.47,0.53
"CE_a135_(0,4]",Ceres,SesquiSquare,"(0,4]",216,227,443,0.49,0.51
CE_a135_0,Ceres,SesquiSquare,0,955,1091,2046,0.47,0.53
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",224,245,469,0.48,0.52
CE_a144_0,Ceres,BiQuintile,0,947,1073,2020,0.47,0.53
"CE_a150_(0,4]",Ceres,Quincunx,"(0,4]",207,246,453,0.46,0.54
CE_a150_0,Ceres,Quincunx,0,964,1072,2036,0.47,0.53
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",122,122,244,0.5,0.5
CE_a180_0,Ceres,Opposition,0,1049,1196,2245,0.47,0.53
"CE_a30_(0,4]",Ceres,SemiSextile,"(0,4]",242,295,537,0.45,0.55
CE_a30_0,Ceres,SemiSextile,0,929,1023,1952,0.48,0.52
"CE_a36_(0,4]",Ceres,SemiQuintile,"(0,4]",239,269,508,0.47,0.53
CE_a36_0,Ceres,SemiQuintile,0,932,1049,1981,0.47,0.53
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",303,328,631,0.48,0.52
CE_a45_0,Ceres,SemiSquare,0,868,990,1858,0.47,0.53
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",230,249,479,0.48,0.52
CE_a60_0,Ceres,Sextile,0,941,1069,2010,0.47,0.53
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",176,210,386,0.46,0.54
CE_a72_0,Ceres,Quintile,0,995,1108,2103,0.47,0.53
"CE_a90_(0,4]",Ceres,Square,"(0,4]",189,246,435,0.43,0.57
CE_a90_0,Ceres,Square,0,982,1072,2054,0.48,0.52
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",111,170,281,0.4,0.6
