PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
JUNE_a103,11,7,18,0.61,0.39
JUNE_a120,36,50,86,0.42,0.58
JUNE_a135,10,8,18,0.56,0.44
JUNE_a150,47,40,87,0.54,0.46
JUNE_a45,14,6,20,0.7,0.3
JUNE_a60,49,64,113,0.43,0.57
JUNE_a90,43,46,89,0.48,0.52
JUPL_a0,64,57,121,0.53,0.47
JUPL_a30,66,65,131,0.5,0.5
JUPL_a45,6,15,21,0.29,0.71
JUPL_a60,52,59,111,0.47,0.53
JUPL_a90,34,51,85,0.4,0.6
JUSA_a0,20,17,37,0.54,0.46
JUSA_a30,74,87,161,0.46,0.54
JUSA_a45,70,90,160,0.44,0.56
JUSA_a60,42,68,110,0.38,0.62
JUUR_a103,38,49,87,0.44,0.56
JUUR_a120,12,5,17,0.71,0.29
JUUR_a135,35,31,66,0.53,0.47
JUUR_a150,11,6,17,0.65,0.35
JUUR_a180,42,62,104,0.4,0.6
JUUR_a90,8,4,12,0.67,0.33
MAJU_a0,11,8,19,0.58,0.42
MAJU_a103,16,14,30,0.53,0.47
MAJU_a120,7,24,31,0.23,0.77
MAJU_a135,11,17,28,0.39,0.61
MAJU_a150,12,15,27,0.44,0.56
MAJU_a180,6,6,12,0.5,0.5
MAJU_a30,16,19,35,0.46,0.54
MAJU_a45,23,13,36,0.64,0.36
MAJU_a60,16,18,34,0.47,0.53
MAJU_a90,22,31,53,0.42,0.58
MANE_a0,10,11,21,0.48,0.52
MANE_a103,18,11,29,0.62,0.38
MANE_a120,19,10,29,0.66,0.34
MANE_a135,13,16,29,0.45,0.55
MANE_a150,14,15,29,0.48,0.52
MANE_a180,11,3,14,0.79,0.21
MANE_a30,38,42,80,0.48,0.52
MANE_a45,45,53,98,0.46,0.54
MANE_a60,14,16,30,0.47,0.53
MANE_a90,13,17,30,0.43,0.57
MAPL_a0,7,9,16,0.44,0.56
MAPL_a103,13,17,30,0.43,0.57
MAPL_a120,12,17,29,0.41,0.59
MAPL_a135,13,15,28,0.46,0.54
MAPL_a150,12,16,28,0.43,0.57
MAPL_a180,6,8,14,0.43,0.57
MAPL_a30,13,24,37,0.35,0.65
MAPL_a45,19,18,37,0.51,0.49
MAPL_a60,18,19,37,0.49,0.51
MAPL_a90,31,35,66,0.47,0.53
MASA_a0,8,8,16,0.5,0.5
MASA_a103,12,19,31,0.39,0.61
MASA_a120,15,13,28,0.54,0.46
MASA_a135,12,16,28,0.43,0.57
MASA_a150,12,14,26,0.46,0.54
MASA_a180,12,2,14,0.86,0.14
MASA_a30,37,38,75,0.49,0.51
MASA_a45,19,21,40,0.48,0.52
MASA_a60,13,26,39,0.33,0.67
MASA_a90,38,41,79,0.48,0.52
MAUR_a0,10,8,18,0.56,0.44
MAUR_a103,17,13,30,0.57,0.43
MAUR_a120,8,22,30,0.27,0.73
MAUR_a135,21,8,29,0.72,0.28
MAUR_a150,15,14,29,0.52,0.48
MAUR_a180,5,9,14,0.36,0.64
MAUR_a30,19,16,35,0.54,0.46
MAUR_a45,13,23,36,0.36,0.64
MAUR_a60,19,17,36,0.53,0.47
MAUR_a90,32,35,67,0.48,0.52
MEJU_a0,17,9,26,0.65,0.35
MEJU_a103,7,18,25,0.28,0.72
MEJU_a120,10,14,24,0.42,0.58
MEJU_a135,28,34,62,0.45,0.55
MEJU_a150,12,13,25,0.48,0.52
MEJU_a180,6,6,12,0.5,0.5
MEJU_a30,27,25,52,0.52,0.48
MEJU_a45,30,45,75,0.4,0.6
MEJU_a60,15,15,30,0.5,0.5
MEJU_a90,25,25,50,0.5,0.5
MEMA_a0,19,17,36,0.53,0.47
MEMA_a103,22,29,51,0.43,0.57
MEMA_a120,9,5,14,0.64,0.36
MEMA_a135,6,8,14,0.43,0.57
MEMA_a150,6,7,13,0.46,0.54
MEMA_a180,2,4,6,0.33,0.67
MEMA_a30,21,26,47,0.45,0.55
MEMA_a45,44,46,90,0.49,0.51
MEMA_a60,29,26,55,0.53,0.47
MEMA_a90,28,17,45,0.62,0.38
MENE_a0,19,11,30,0.63,0.37
MENE_a103,22,27,49,0.45,0.55
MENE_a120,21,14,35,0.6,0.4
MENE_a135,21,33,54,0.39,0.61
MENE_a150,13,25,38,0.34,0.66
MENE_a180,10,8,18,0.56,0.44
MENE_a30,24,19,43,0.56,0.44
MENE_a45,23,21,44,0.52,0.48
MENE_a60,12,27,39,0.31,0.69
MENE_a90,26,22,48,0.54,0.46
MEPL_a0,16,9,25,0.64,0.36
MEPL_a103,22,24,46,0.48,0.52
MEPL_a120,12,12,24,0.5,0.5
MEPL_a135,16,20,36,0.44,0.56
MEPL_a150,18,21,39,0.46,0.54
MEPL_a180,7,7,14,0.5,0.5
MEPL_a30,23,21,44,0.52,0.48
MEPL_a45,30,24,54,0.56,0.44
MEPL_a60,21,31,52,0.4,0.6
MEPL_a90,8,22,30,0.27,0.73
MESA_a0,20,12,32,0.62,0.38
MESA_a103,20,20,40,0.5,0.5
MESA_a120,20,20,40,0.5,0.5
MESA_a135,18,22,40,0.45,0.55
MESA_a150,15,11,26,0.58,0.42
MESA_a180,7,6,13,0.54,0.46
MESA_a30,27,34,61,0.44,0.56
MESA_a45,23,21,44,0.52,0.48
MESA_a60,24,28,52,0.46,0.54
MESA_a90,28,24,52,0.54,0.46
MESU_a0,50,61,111,0.45,0.55
MEUR_a0,16,16,32,0.5,0.5
MEUR_a103,23,28,51,0.45,0.55
MEUR_a120,24,27,51,0.47,0.53
MEUR_a135,18,27,45,0.4,0.6
MEUR_a150,20,25,45,0.44,0.56
MEUR_a180,15,15,30,0.5,0.5
MEUR_a30,14,23,37,0.38,0.62
MEUR_a45,27,16,43,0.63,0.37
MEUR_a60,25,27,52,0.48,0.52
MEUR_a90,16,19,35,0.46,0.54
MEVE_a0,22,21,43,0.51,0.49
MEVE_a30,65,82,147,0.44,0.56
MEVE_a45,41,49,90,0.46,0.54
MEVE_a60,32,34,66,0.48,0.52
MOJU_a0,36,39,75,0.48,0.52
MOJU_a103,60,78,138,0.43,0.57
MOJU_a120,64,79,143,0.45,0.55
MOJU_a135,69,73,142,0.49,0.51
MOJU_a150,78,69,147,0.53,0.47
MOJU_a180,31,40,71,0.44,0.56
MOJU_a30,65,78,143,0.45,0.55
MOJU_a45,69,69,138,0.5,0.5
MOJU_a60,69,74,143,0.48,0.52
MOJU_a90,62,82,144,0.43,0.57
MOMA_a0,32,34,66,0.48,0.52
MOMA_a103,60,73,133,0.45,0.55
MOMA_a120,56,82,138,0.41,0.59
MOMA_a135,56,80,136,0.41,0.59
MOMA_a150,67,67,134,0.5,0.5
MOMA_a180,34,35,69,0.49,0.51
MOMA_a30,61,79,140,0.44,0.56
MOMA_a45,64,77,141,0.45,0.55
MOMA_a60,72,70,142,0.51,0.49
MOMA_a90,65,69,134,0.49,0.51
MOME_a0,31,38,69,0.45,0.55
MOME_a103,66,67,133,0.5,0.5
MOME_a120,59,77,136,0.43,0.57
MOME_a135,62,70,132,0.47,0.53
MOME_a150,68,64,132,0.52,0.48
MOME_a180,25,39,64,0.39,0.61
MOME_a30,62,74,136,0.46,0.54
MOME_a45,60,80,140,0.43,0.57
MOME_a60,63,67,130,0.48,0.52
MOME_a90,61,75,136,0.45,0.55
MONE_a0,36,38,74,0.49,0.51
MONE_a103,62,83,145,0.43,0.57
MONE_a120,61,79,140,0.44,0.56
MONE_a135,64,75,139,0.46,0.54
MONE_a150,57,78,135,0.42,0.58
MONE_a180,34,31,65,0.52,0.48
MONE_a30,67,75,142,0.47,0.53
MONE_a45,77,68,145,0.53,0.47
MONE_a60,74,67,141,0.52,0.48
MONE_a90,56,86,142,0.39,0.61
MOPL_a0,36,34,70,0.51,0.49
MOPL_a103,76,68,144,0.53,0.47
MOPL_a120,74,68,142,0.52,0.48
MOPL_a135,60,80,140,0.43,0.57
MOPL_a150,52,91,143,0.36,0.64
MOPL_a180,39,34,73,0.53,0.47
MOPL_a30,69,81,150,0.46,0.54
MOPL_a45,74,69,143,0.52,0.48
MOPL_a60,66,77,143,0.46,0.54
MOPL_a90,63,81,144,0.44,0.56
MOSA_a0,33,43,76,0.43,0.57
MOSA_a103,76,68,144,0.53,0.47
MOSA_a120,66,76,142,0.46,0.54
MOSA_a135,66,75,141,0.47,0.53
MOSA_a150,57,79,136,0.42,0.58
MOSA_a180,33,38,71,0.46,0.54
MOSA_a30,69,76,145,0.48,0.52
MOSA_a45,64,84,148,0.43,0.57
MOSA_a60,68,83,151,0.45,0.55
MOSA_a90,77,64,141,0.55,0.45
MOSU_a0,32,29,61,0.52,0.48
MOSU_a103,57,76,133,0.43,0.57
MOSU_a120,54,82,136,0.4,0.6
MOSU_a135,71,66,137,0.52,0.48
MOSU_a150,63,69,132,0.48,0.52
MOSU_a180,27,37,64,0.42,0.58
MOSU_a30,67,70,137,0.49,0.51
MOSU_a45,64,70,134,0.48,0.52
MOSU_a60,77,58,135,0.57,0.43
MOSU_a90,63,74,137,0.46,0.54
MOUR_a0,40,30,70,0.57,0.43
MOUR_a103,66,79,145,0.46,0.54
MOUR_a120,67,78,145,0.46,0.54
MOUR_a135,71,71,142,0.5,0.5
MOUR_a150,73,65,138,0.53,0.47
MOUR_a180,29,36,65,0.45,0.55
MOUR_a30,63,83,146,0.43,0.57
MOUR_a45,60,81,141,0.43,0.57
MOUR_a60,62,83,145,0.43,0.57
MOUR_a90,69,77,146,0.47,0.53
MOVE_a0,32,37,69,0.46,0.54
MOVE_a103,63,73,136,0.46,0.54
MOVE_a120,50,79,129,0.39,0.61
MOVE_a135,49,81,130,0.38,0.62
MOVE_a150,59,74,133,0.44,0.56
MOVE_a180,37,31,68,0.54,0.46
MOVE_a30,66,68,134,0.49,0.51
MOVE_a45,59,66,125,0.47,0.53
MOVE_a60,55,76,131,0.42,0.58
MOVE_a90,61,75,136,0.45,0.55
SANE_a45,13,9,22,0.59,0.41
SANE_a60,80,93,173,0.46,0.54
SAPL_a0,30,19,49,0.61,0.39
SAPL_a30,8,25,33,0.24,0.76
SAUR_a103,148,144,292,0.51,0.49
SAUR_a120,88,96,184,0.48,0.52
SUJU_a0,10,8,18,0.56,0.44
SUJU_a103,21,20,41,0.51,0.49
SUJU_a120,18,22,40,0.45,0.55
SUJU_a135,15,24,39,0.38,0.62
SUJU_a150,22,17,39,0.56,0.44
SUJU_a180,11,7,18,0.61,0.39
SUJU_a30,21,27,48,0.44,0.56
SUJU_a45,23,25,48,0.48,0.52
SUJU_a60,18,27,45,0.4,0.6
SUJU_a90,22,22,44,0.5,0.5
SUMA_a0,14,13,27,0.52,0.48
SUMA_a103,22,16,38,0.58,0.42
SUMA_a120,11,19,30,0.37,0.63
SUMA_a135,10,13,23,0.43,0.57
SUMA_a150,8,10,18,0.44,0.56
SUMA_a180,4,4,8,0.5,0.5
SUMA_a30,26,27,53,0.49,0.51
SUMA_a45,30,24,54,0.56,0.44
SUMA_a60,22,32,54,0.41,0.59
SUMA_a90,13,24,37,0.35,0.65
SUNE_a0,9,11,20,0.45,0.55
SUNE_a103,18,27,45,0.4,0.6
SUNE_a120,21,23,44,0.48,0.52
SUNE_a135,22,16,38,0.58,0.42
SUNE_a150,21,19,40,0.52,0.48
SUNE_a180,6,14,20,0.3,0.7
SUNE_a30,20,22,42,0.48,0.52
SUNE_a45,20,21,41,0.49,0.51
SUNE_a60,25,20,45,0.56,0.44
SUNE_a90,20,24,44,0.45,0.55
SUPL_a0,13,12,25,0.52,0.48
SUPL_a103,17,23,40,0.42,0.57
SUPL_a120,19,23,42,0.45,0.55
SUPL_a135,25,15,40,0.62,0.38
SUPL_a150,17,23,40,0.42,0.57
SUPL_a180,8,12,20,0.4,0.6
SUPL_a30,26,20,46,0.57,0.43
SUPL_a45,23,22,45,0.51,0.49
SUPL_a60,17,28,45,0.38,0.62
SUPL_a90,14,26,40,0.35,0.65
SUSA_a0,11,11,22,0.5,0.5
SUSA_a103,15,27,42,0.36,0.64
SUSA_a120,17,23,40,0.42,0.57
SUSA_a135,16,24,40,0.4,0.6
SUSA_a150,17,22,39,0.44,0.56
SUSA_a180,8,11,19,0.42,0.58
SUSA_a30,20,30,50,0.4,0.6
SUSA_a45,24,20,44,0.55,0.45
SUSA_a60,19,22,41,0.46,0.54
SUSA_a90,23,18,41,0.56,0.44
SUUR_a0,9,12,21,0.43,0.57
SUUR_a103,25,20,45,0.56,0.44
SUUR_a120,22,22,44,0.5,0.5
SUUR_a135,21,23,44,0.48,0.52
SUUR_a150,23,21,44,0.52,0.48
SUUR_a180,10,9,19,0.53,0.47
SUUR_a30,23,20,43,0.53,0.47
SUUR_a45,17,25,42,0.4,0.6
SUUR_a60,15,25,40,0.38,0.62
SUUR_a90,21,22,43,0.49,0.51
URNE_a45,367,381,748,0.49,0.51
URPL_a103,228,230,458,0.5,0.5
VEJU_a0,6,9,15,0.4,0.6
VEJU_a103,15,22,37,0.41,0.59
VEJU_a120,14,24,38,0.37,0.63
VEJU_a135,21,36,57,0.37,0.63
VEJU_a150,11,24,35,0.31,0.69
VEJU_a180,8,9,17,0.47,0.53
VEJU_a30,28,22,50,0.56,0.44
VEJU_a45,14,19,33,0.42,0.58
VEJU_a60,18,16,34,0.53,0.47
VEJU_a90,17,19,36,0.47,0.53
VEMA_a0,4,12,16,0.25,0.75
VEMA_a103,16,28,44,0.36,0.64
VEMA_a120,39,21,60,0.65,0.35
VEMA_a135,9,9,18,0.5,0.5
VEMA_a150,9,10,19,0.47,0.53
VEMA_a180,3,6,9,0.33,0.67
VEMA_a30,17,26,43,0.4,0.6
VEMA_a45,24,12,36,0.67,0.33
VEMA_a60,29,21,50,0.58,0.42
VEMA_a90,17,31,48,0.35,0.65
VENE_a0,8,9,17,0.47,0.53
VENE_a103,14,20,34,0.41,0.59
VENE_a120,19,16,35,0.54,0.46
VENE_a135,30,25,55,0.55,0.45
VENE_a150,15,20,35,0.43,0.57
VENE_a180,10,7,17,0.59,0.41
VENE_a30,30,36,66,0.45,0.55
VENE_a45,9,26,35,0.26,0.74
VENE_a60,21,15,36,0.58,0.42
VENE_a90,29,37,66,0.44,0.56
VEPL_a0,11,7,18,0.61,0.39
VEPL_a103,14,21,35,0.4,0.6
VEPL_a120,16,19,35,0.46,0.54
VEPL_a135,29,25,54,0.54,0.46
VEPL_a150,22,14,36,0.61,0.39
VEPL_a180,9,9,18,0.5,0.5
VEPL_a30,18,16,34,0.53,0.47
VEPL_a45,17,19,36,0.47,0.53
VEPL_a60,17,23,40,0.42,0.57
VEPL_a90,15,20,35,0.43,0.57
VESA_a0,10,4,14,0.71,0.29
VESA_a103,30,27,57,0.53,0.47
VESA_a120,24,13,37,0.65,0.35
VESA_a135,36,20,56,0.64,0.36
VESA_a150,18,16,34,0.53,0.47
VESA_a180,5,13,18,0.28,0.72
VESA_a30,20,17,37,0.54,0.46
VESA_a45,17,18,35,0.49,0.51
VESA_a60,29,25,54,0.54,0.46
VESA_a90,24,40,64,0.38,0.62
VESU_a0,15,28,43,0.35,0.65
VESU_a30,60,65,125,0.48,0.52
VESU_a45,162,206,368,0.44,0.56
VEUR_a0,6,12,18,0.33,0.67
VEUR_a103,18,17,35,0.51,0.49
VEUR_a120,20,16,36,0.56,0.44
VEUR_a135,14,19,33,0.42,0.58
VEUR_a150,16,20,36,0.44,0.56
VEUR_a180,17,20,37,0.46,0.54
VEUR_a30,27,29,56,0.48,0.52
VEUR_a45,27,29,56,0.48,0.52
VEUR_a60,15,21,36,0.42,0.58
VEUR_a90,12,24,36,0.33,0.67
