PlanetArabMansion,Planet,ArabMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_AM01,Ceres,Saratan,19,14,33,0.58,0.42
CE_AM02,Ceres,Butain,23,9,32,0.72,0.28
CE_AM03,Ceres,Turaija,16,17,33,0.48,0.52
CE_AM04,Ceres,Dabaran,17,18,35,0.49,0.51
CE_AM05,Ceres,Haq'a,65,68,133,0.49,0.51
CE_AM06,Ceres,Han'a,83,66,149,0.56,0.44
CE_AM07,Ceres,Dira,15,18,33,0.45,0.55
CE_AM08,Ceres,Natra,10,20,30,0.33,0.67
CE_AM09,Ceres,Tarf(a),12,17,29,0.41,0.59
CE_AM10,Ceres,Gabha,46,51,97,0.47,0.53
CE_AM11,Ceres,Zubra,83,84,167,0.5,0.5
CE_AM12,Ceres,Sarfa,24,39,63,0.38,0.62
CE_AM13,Ceres,Auwa,26,37,63,0.41,0.59
CE_AM14,Ceres,Simak,33,34,67,0.49,0.51
CE_AM15,Ceres,Gafr,32,34,66,0.48,0.52
CE_AM16,Ceres,Zubana,15,14,29,0.52,0.48
CE_AM17,Ceres,Iklik,15,14,29,0.52,0.48
CE_AM18,Ceres,Qualb,13,19,32,0.41,0.59
CE_AM19,Ceres,Saula,44,65,109,0.4,0.6
CE_AM20,Ceres,Na'a'im,88,84,172,0.51,0.49
CE_AM21,Ceres,Balda,14,23,37,0.38,0.62
CE_AM22,Ceres,Dabih,18,15,33,0.55,0.45
CE_AM23,Ceres,Bula,19,13,32,0.59,0.41
CE_AM24,Ceres,Su'ud,16,17,33,0.48,0.52
CE_AM25,Ceres,Ahbija,12,23,35,0.34,0.66
CE_AM26,Ceres,Muqaddam,73,60,133,0.55,0.45
CE_AM27,Ceres,Mu'ahhar,81,80,161,0.5,0.5
CE_AM28,Ceres,Risa,21,15,36,0.58,0.42
CH_AM01,Chiron,Saratan,687,674,1361,0.5,0.5
CH_AM02,Chiron,Butain,104,133,237,0.44,0.56
CH_AM28,Chiron,Risa,142,161,303,0.47,0.53
JN_AM01,Juno,Saratan,16,23,39,0.41,0.59
JN_AM02,Juno,Butain,9,18,27,0.33,0.67
JN_AM03,Juno,Turaija,13,16,29,0.45,0.55
JN_AM04,Juno,Dabaran,28,37,65,0.43,0.57
JN_AM05,Juno,Haq'a,71,81,152,0.47,0.53
JN_AM06,Juno,Han'a,14,16,30,0.47,0.53
JN_AM07,Juno,Dira,17,10,27,0.63,0.37
JN_AM08,Juno,Natra,11,15,26,0.42,0.58
JN_AM09,Juno,Tarf(a),16,11,27,0.59,0.41
JN_AM10,Juno,Gabha,16,10,26,0.62,0.38
JN_AM11,Juno,Zubra,9,19,28,0.32,0.68
JN_AM12,Juno,Sarfa,9,19,28,0.32,0.68
JN_AM13,Juno,Auwa,13,17,30,0.43,0.57
JN_AM14,Juno,Simak,15,18,33,0.45,0.55
JN_AM15,Juno,Gafr,69,77,146,0.47,0.53
JN_AM16,Juno,Zubana,81,80,161,0.5,0.5
JN_AM17,Juno,Iklik,20,20,40,0.5,0.5
JN_AM18,Juno,Qualb,19,18,37,0.51,0.49
JN_AM19,Juno,Saula,21,19,40,0.52,0.48
JN_AM20,Juno,Na'a'im,93,75,168,0.55,0.45
JN_AM21,Juno,Balda,93,56,149,0.62,0.38
JN_AM22,Juno,Dabih,13,23,36,0.36,0.64
JN_AM23,Juno,Bula,32,25,57,0.56,0.44
JN_AM24,Juno,Su'ud,35,29,64,0.55,0.45
JN_AM25,Juno,Ahbija,34,28,62,0.55,0.45
JN_AM26,Juno,Muqaddam,26,38,64,0.41,0.59
JN_AM27,Juno,Mu'ahhar,69,109,178,0.39,0.61
JN_AM28,Juno,Risa,71,61,132,0.54,0.46
JU_AM01,Jupiter,Saratan,98,109,207,0.47,0.53
JU_AM17,Jupiter,Iklik,6,2,8,0.75,0.25
JU_AM18,Jupiter,Qualb,115,128,243,0.47,0.53
JU_AM19,Jupiter,Saula,55,75,130,0.42,0.58
JU_AM20,Jupiter,Na'a'im,57,90,147,0.39,0.61
JU_AM21,Jupiter,Balda,110,113,223,0.49,0.51
JU_AM22,Jupiter,Dabih,35,22,57,0.61,0.39
JU_AM23,Jupiter,Bula,117,124,241,0.49,0.51
JU_AM24,Jupiter,Su'ud,65,57,122,0.53,0.47
JU_AM25,Jupiter,Ahbija,35,21,56,0.62,0.38
JU_AM26,Jupiter,Muqaddam,164,138,302,0.54,0.46
JU_AM27,Jupiter,Mu'ahhar,26,29,55,0.47,0.53
JU_AM28,Jupiter,Risa,50,60,110,0.45,0.55
MA_AM01,Mars,Saratan,24,35,59,0.41,0.59
MA_AM02,Mars,Butain,78,83,161,0.48,0.52
MA_AM03,Mars,Turaija,55,46,101,0.54,0.46
MA_AM04,Mars,Dabaran,35,28,63,0.56,0.44
MA_AM05,Mars,Haq'a,36,26,62,0.58,0.42
MA_AM06,Mars,Han'a,62,58,120,0.52,0.48
MA_AM07,Mars,Dira,57,57,114,0.5,0.5
MA_AM08,Mars,Natra,21,20,41,0.51,0.49
MA_AM09,Mars,Tarf(a),26,15,41,0.63,0.37
MA_AM10,Mars,Gabha,16,25,41,0.39,0.61
MA_AM11,Mars,Zubra,14,27,41,0.34,0.66
MA_AM12,Mars,Sarfa,20,20,40,0.5,0.5
MA_AM13,Mars,Auwa,24,17,41,0.59,0.41
MA_AM14,Mars,Simak,17,23,40,0.42,0.58
MA_AM15,Mars,Gafr,20,21,41,0.49,0.51
MA_AM16,Mars,Zubana,40,19,59,0.68,0.32
MA_AM17,Mars,Iklik,28,31,59,0.47,0.53
MA_AM18,Mars,Qualb,31,28,59,0.53,0.47
MA_AM19,Mars,Saula,24,34,58,0.41,0.59
MA_AM20,Mars,Na'a'im,33,25,58,0.57,0.43
MA_AM21,Mars,Balda,21,38,59,0.36,0.64
MA_AM22,Mars,Dabih,27,33,60,0.45,0.55
MA_AM23,Mars,Bula,30,31,61,0.49,0.51
MA_AM24,Mars,Su'ud,78,92,170,0.46,0.54
MA_AM25,Mars,Ahbija,43,38,81,0.53,0.47
MA_AM26,Mars,Muqaddam,26,31,57,0.46,0.54
MA_AM27,Mars,Mu'ahhar,23,33,56,0.41,0.59
MA_AM28,Mars,Risa,24,34,58,0.41,0.59
ME_AM01,Mercury,Saratan,28,39,67,0.42,0.58
ME_AM02,Mercury,Butain,28,26,54,0.52,0.48
ME_AM03,Mercury,Turaija,10,24,34,0.29,0.71
ME_AM04,Mercury,Dabaran,16,16,32,0.5,0.5
ME_AM05,Mercury,Haq'a,29,45,74,0.39,0.61
ME_AM06,Mercury,Han'a,26,32,58,0.45,0.55
ME_AM07,Mercury,Dira,33,39,72,0.46,0.54
ME_AM08,Mercury,Natra,35,38,73,0.48,0.52
ME_AM09,Mercury,Tarf(a),35,28,63,0.56,0.44
ME_AM10,Mercury,Gabha,29,44,73,0.4,0.6
ME_AM11,Mercury,Zubra,34,34,68,0.5,0.5
ME_AM12,Mercury,Sarfa,22,29,51,0.43,0.57
ME_AM13,Mercury,Auwa,21,16,37,0.57,0.43
ME_AM14,Mercury,Simak,24,34,58,0.41,0.59
ME_AM15,Mercury,Gafr,50,31,81,0.62,0.38
ME_AM16,Mercury,Zubana,32,46,78,0.41,0.59
ME_AM17,Mercury,Iklik,38,35,73,0.52,0.48
ME_AM18,Mercury,Qualb,35,48,83,0.42,0.58
ME_AM19,Mercury,Saula,42,42,84,0.5,0.5
