PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,4]",Ceres,Conjunction,"(0,4]",169,167,336,0.5,0.5
CE_a0_0,Ceres,Conjunction,0,621,702,1323,0.47,0.53
"CE_a103_(0,1]",Ceres,BiSeptile,"(0,1]",257,261,518,0.5,0.5
"CE_a103_(1,6]",Ceres,BiSeptile,"(1,6]",59,72,131,0.45,0.55
CE_a103_0,Ceres,BiSeptile,0,474,536,1010,0.47,0.53
"CE_a120_(0,1]",Ceres,Trine,"(0,1]",224,262,486,0.46,0.54
"CE_a120_(1,4]",Ceres,Trine,"(1,4]",52,91,143,0.36,0.64
CE_a120_0,Ceres,Trine,0,514,516,1030,0.5,0.5
"CE_a135_(0,1]",Ceres,SesquiSquare,"(0,1]",216,254,470,0.46,0.54
"CE_a135_(1,4]",Ceres,SesquiSquare,"(1,4]",53,80,133,0.4,0.6
CE_a135_0,Ceres,SesquiSquare,0,521,535,1056,0.49,0.51
"CE_a144_(0,1]",Ceres,BiQuintile,"(0,1]",188,220,408,0.46,0.54
"CE_a144_(1,5]",Ceres,BiQuintile,"(1,5]",73,72,145,0.5,0.5
CE_a144_0,Ceres,BiQuintile,0,529,577,1106,0.48,0.52
"CE_a150_(0,1]",Ceres,Quincunx,"(0,1]",215,247,462,0.47,0.53
"CE_a150_(1,5]",Ceres,Quincunx,"(1,5]",51,24,75,0.68,0.32
CE_a150_0,Ceres,Quincunx,0,524,598,1122,0.47,0.53
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",152,145,297,0.51,0.49
CE_a180_0,Ceres,Opposition,0,638,724,1362,0.47,0.53
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",252,309,561,0.45,0.55
"CE_a30_(1,4]",Ceres,SemiSextile,"(1,4]",75,78,153,0.49,0.51
CE_a30_0,Ceres,SemiSextile,0,463,482,945,0.49,0.51
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",250,249,499,0.5,0.5
"CE_a36_(1,5]",Ceres,SemiQuintile,"(1,5]",132,144,276,0.48,0.52
CE_a36_0,Ceres,SemiQuintile,0,408,476,884,0.46,0.54
"CE_a45_(0,1]",Ceres,SemiSquare,"(0,1]",275,281,556,0.49,0.51
"CE_a45_(1,5]",Ceres,SemiSquare,"(1,5]",119,133,252,0.47,0.53
CE_a45_0,Ceres,SemiSquare,0,396,455,851,0.47,0.53
"CE_a60_(0,1]",Ceres,Sextile,"(0,1]",266,267,533,0.5,0.5
"CE_a60_(1,4]",Ceres,Sextile,"(1,4]",59,58,117,0.5,0.5
CE_a60_0,Ceres,Sextile,0,465,544,1009,0.46,0.54
"CE_a72_(0,1]",Ceres,Quintile,"(0,1]",239,253,492,0.49,0.51
"CE_a72_(1,4]",Ceres,Quintile,"(1,4]",21,34,55,0.38,0.62
CE_a72_0,Ceres,Quintile,0,530,582,1112,0.48,0.52
"CE_a90_(0,1]",Ceres,Square,"(0,1]",197,211,408,0.48,0.52
"CE_a90_(1,5]",Ceres,Square,"(1,5]",36,44,80,0.45,0.55
CE_a90_0,Ceres,Square,0,557,614,1171,0.48,0.52
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",96,94,190,0.51,0.49
CH_a0_0,Chiron,Conjunction,0,694,775,1469,0.47,0.53
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",177,220,397,0.45,0.55
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",66,44,110,0.6,0.4
CH_a103_0,Chiron,BiSeptile,0,547,605,1152,0.47,0.53
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",188,197,385,0.49,0.51
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",27,38,65,0.42,0.58
CH_a120_0,Chiron,Trine,0,575,634,1209,0.48,0.52
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",177,196,373,0.47,0.53
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",23,48,71,0.32,0.68
CH_a135_0,Chiron,SesquiSquare,0,590,625,1215,0.49,0.51
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",128,172,300,0.43,0.57
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",57,45,102,0.56,0.44
CH_a144_0,Chiron,BiQuintile,0,605,652,1257,0.48,0.52
"CH_a150_(0,1]",Chiron,Quincunx,"(0,1]",190,235,425,0.45,0.55
"CH_a150_(1,5]",Chiron,Quincunx,"(1,5]",34,31,65,0.52,0.48
CH_a150_0,Chiron,Quincunx,0,566,603,1169,0.48,0.52
"CH_a180_(0,4]",Chiron,Opposition,"(0,4]",94,92,186,0.51,0.49
CH_a180_0,Chiron,Opposition,0,696,777,1473,0.47,0.53
"CH_a30_(1,5]",Chiron,SemiSextile,"(1,5]",234,240,474,0.49,0.51
CH_a30_0,Chiron,SemiSextile,0,67,91,158,0.42,0.58
CH_a30_1,Chiron,SemiSextile,1,489,538,1027,0.48,0.52
"CH_a36_(0,1]",Chiron,SemiQuintile,"(0,1]",245,242,487,0.5,0.5
"CH_a36_(1,4]",Chiron,SemiQuintile,"(1,4]",37,38,75,0.49,0.51
CH_a36_0,Chiron,SemiQuintile,0,508,589,1097,0.46,0.54
"CH_a45_(0,1]",Chiron,SemiSquare,"(0,1]",194,234,428,0.45,0.55
"CH_a45_(1,4]",Chiron,SemiSquare,"(1,4]",26,29,55,0.47,0.53
CH_a45_0,Chiron,SemiSquare,0,570,606,1176,0.48,0.52
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",213,232,445,0.48,0.52
"CH_a60_(1,5]",Chiron,Sextile,"(1,5]",50,47,97,0.52,0.48
CH_a60_0,Chiron,Sextile,0,527,590,1117,0.47,0.53
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",369,404,773,0.48,0.52
"CH_a72_(1,5]",Chiron,Quintile,"(1,5]",203,160,363,0.56,0.44
CH_a72_0,Chiron,Quintile,0,218,305,523,0.42,0.58
"CH_a90_(0,1]",Chiron,Square,"(0,1]",356,357,713,0.5,0.5
"CH_a90_(1,5]",Chiron,Square,"(1,5]",112,161,273,0.41,0.59
CH_a90_0,Chiron,Square,0,322,351,673,0.48,0.52
"JN_a0_(0,3]",Juno,Conjunction,"(0,3]",143,138,281,0.51,0.49
JN_a0_0,Juno,Conjunction,0,647,731,1378,0.47,0.53
"JN_a103_(0,1]",Juno,BiSeptile,"(0,1]",266,269,535,0.5,0.5
"JN_a103_(1,5]",Juno,BiSeptile,"(1,5]",68,75,143,0.48,0.52
JN_a103_0,Juno,BiSeptile,0,456,525,981,0.46,0.54
"JN_a120_(0,1]",Juno,Trine,"(0,1]",248,267,515,0.48,0.52
"JN_a120_(1,4]",Juno,Trine,"(1,4]",52,65,117,0.44,0.56
JN_a120_0,Juno,Trine,0,490,537,1027,0.48,0.52
