PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(4,5]",Ceres,"(4,5]",151,166,317,0.48,0.52
"CE_(5,7]",Ceres,"(5,7]",281,285,566,0.5,0.5
"CE_(7,13]",Ceres,"(7,13]",179,191,370,0.48,0.52
"CE_[0,4]",Ceres,"[0,4]",231,268,499,0.46,0.54
"CH_(4,5]",Chiron,"(4,5]",170,207,377,0.45,0.55
"CH_(5,7]",Chiron,"(5,7]",346,332,678,0.51,0.49
"CH_(7,13]",Chiron,"(7,13]",175,178,353,0.5,0.5
"CH_[0,4]",Chiron,"[0,4]",151,193,344,0.44,0.56
"JN_(4,5]",Juno,"(4,5]",184,181,365,0.5,0.5
"JN_(5,7]",Juno,"(5,7]",268,268,536,0.5,0.5
"JN_(7,14]",Juno,"(7,14]",96,121,217,0.44,0.56
"JN_[0,4]",Juno,"[0,4]",294,340,634,0.46,0.54
"JU_(4,5]",Jupiter,"(4,5]",167,184,351,0.48,0.52
"JU_(5,7]",Jupiter,"(5,7]",258,262,520,0.5,0.5
"JU_(7,12]",Jupiter,"(7,12]",119,125,244,0.49,0.51
"JU_[0,4]",Jupiter,"[0,4]",298,339,637,0.47,0.53
"MA_(4,5]",Mars,"(4,5]",170,153,323,0.53,0.47
"MA_(5,7]",Mars,"(5,7]",238,274,512,0.46,0.54
"MA_(7,13]",Mars,"(7,13]",149,148,297,0.5,0.5
"MA_[0,4]",Mars,"[0,4]",285,335,620,0.46,0.54
"ME_(4,5]",Mercury,"(4,5]",157,173,330,0.48,0.52
"ME_(5,7]",Mercury,"(5,7]",252,257,509,0.5,0.5
"ME_(7,14]",Mercury,"(7,14]",92,109,201,0.46,0.54
"ME_[0,4]",Mercury,"[0,4]",341,371,712,0.48,0.52
"MO_(13,15]",Moon,"(13,15]",258,296,554,0.47,0.53
"MO_(15,17]",Moon,"(15,17]",201,213,414,0.49,0.51
"MO_(17,27]",Moon,"(17,27]",135,142,277,0.49,0.51
"MO_[5,13]",Moon,"[5,13]",248,259,507,0.49,0.51
"NE_(4,5]",Neptune,"(4,5]",173,170,343,0.5,0.5
"NE_(5,6]",Neptune,"(5,6]",131,132,263,0.5,0.5
"NE_(6,13]",Neptune,"(6,13]",182,214,396,0.46,0.54
"NE_[0,4]",Neptune,"[0,4]",356,394,750,0.47,0.53
"NN_(5,6]",NNode,"(5,6]",177,180,357,0.5,0.5
"NN_(6,7]",NNode,"(6,7]",144,160,304,0.47,0.53
"NN_(7,13]",NNode,"(7,13]",190,243,433,0.44,0.56
"NN_[1,5]",NNode,"[1,5]",331,327,658,0.5,0.5
"PA_(4,5]",Pallas,"(4,5]",156,165,321,0.49,0.51
"PA_(5,7]",Pallas,"(5,7]",259,292,551,0.47,0.53
"PA_(7,13]",Pallas,"(7,13]",108,127,235,0.46,0.54
"PA_[0,4]",Pallas,"[0,4]",319,326,645,0.49,0.51
"PH_(4,5]",Pholus,"(4,5]",161,159,320,0.5,0.5
"PH_(5,6]",Pholus,"(5,6]",133,153,286,0.47,0.53
"PH_(6,13]",Pholus,"(6,13]",177,200,377,0.47,0.53
"PH_[0,4]",Pholus,"[0,4]",371,398,769,0.48,0.52
"PL_(4,5]",Pluto,"(4,5]",178,188,366,0.49,0.51
"PL_(5,6]",Pluto,"(5,6]",137,143,280,0.49,0.51
"PL_(6,14]",Pluto,"(6,14]",162,150,312,0.52,0.48
"PL_[0,4]",Pluto,"[0,4]",365,429,794,0.46,0.54
"SA_(4,5]",Saturn,"(4,5]",155,155,310,0.5,0.5
"SA_(5,7]",Saturn,"(5,7]",293,289,582,0.5,0.5
"SA_(7,14]",Saturn,"(7,14]",120,136,256,0.47,0.53
"SA_[0,4]",Saturn,"[0,4]",274,330,604,0.45,0.55
"SN_(5,6]",SNode,"(5,6]",177,192,369,0.48,0.52
"SN_(6,7]",SNode,"(6,7]",150,167,317,0.47,0.53
"SN_(7,13]",SNode,"(7,13]",200,251,451,0.44,0.56
"SN_[1,5]",SNode,"[1,5]",315,300,615,0.51,0.49
"SU_(4,5]",Sun,"(4,5]",196,209,405,0.48,0.52
"SU_(5,7]",Sun,"(5,7]",245,271,516,0.47,0.53
"SU_(7,14]",Sun,"(7,14]",110,132,242,0.45,0.55
"SU_[0,4]",Sun,"[0,4]",291,298,589,0.49,0.51
"UR_(4,5]",Uranus,"(4,5]",130,172,302,0.43,0.57
"UR_(5,7]",Uranus,"(5,7]",327,345,672,0.49,0.51
"UR_(7,15]",Uranus,"(7,15]",242,222,464,0.52,0.48
"UR_[0,4]",Uranus,"[0,4]",143,171,314,0.46,0.54
"VE_(4,5]",Venus,"(4,5]",166,187,353,0.47,0.53
"VE_(5,7]",Venus,"(5,7]",246,275,521,0.47,0.53
"VE_(7,14]",Venus,"(7,14]",151,152,303,0.5,0.5
"VE_[0,4]",Venus,"[0,4]",279,296,575,0.49,0.51
"VS_(4,5]",Vesta,"(4,5]",155,161,316,0.49,0.51
"VS_(5,7]",Vesta,"(5,7]",281,291,572,0.49,0.51
"VS_(7,13]",Vesta,"(7,13]",121,154,275,0.44,0.56
"VS_[0,4]",Vesta,"[0,4]",285,304,589,0.48,0.52
