PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,320,322,642,0.5,0.5
CE_POS,Ceres,Positive,439,524,963,0.46,0.54
CH_NEG,Chiron,Negative,306,373,679,0.45,0.55
CH_POS,Chiron,Positive,453,473,926,0.49,0.51
JN_NEG,Juno,Negative,389,418,807,0.48,0.52
JN_POS,Juno,Positive,370,428,798,0.46,0.54
JU_NEG,Jupiter,Negative,379,394,773,0.49,0.51
JU_POS,Jupiter,Positive,380,452,832,0.46,0.54
MA_NEG,Mars,Negative,332,366,698,0.48,0.52
MA_POS,Mars,Positive,427,480,907,0.47,0.53
ME_NEG,Mercury,Negative,377,440,817,0.46,0.54
ME_POS,Mercury,Positive,382,406,788,0.48,0.52
MO_NEG,Moon,Negative,397,407,804,0.49,0.51
MO_POS,Moon,Positive,362,439,801,0.45,0.55
NE_NEG,Neptune,Negative,759,846,1605,0.47,0.53
NN_NEG,NNode,Negative,336,409,745,0.45,0.55
NN_POS,NNode,Positive,423,437,860,0.49,0.51
PA_NEG,Pallas,Negative,365,434,799,0.46,0.54
PA_POS,Pallas,Positive,394,412,806,0.49,0.51
PH_NEG,Pholus,Negative,441,454,895,0.49,0.51
PH_POS,Pholus,Positive,318,392,710,0.45,0.55
PL_NEG,Pluto,Negative,759,846,1605,0.47,0.53
SA_NEG,Saturn,Negative,459,530,989,0.46,0.54
SA_POS,Saturn,Positive,300,316,616,0.49,0.51
SN_NEG,SNode,Negative,336,409,745,0.45,0.55
SN_POS,SNode,Positive,423,437,860,0.49,0.51
SU_NEG,Sun,Negative,375,437,812,0.46,0.54
SU_POS,Sun,Positive,384,409,793,0.48,0.52
UR_NEG,Uranus,Negative,455,469,924,0.49,0.51
UR_POS,Uranus,Positive,304,377,681,0.45,0.55
VE_NEG,Venus,Negative,364,385,749,0.49,0.51
VE_POS,Venus,Positive,395,461,856,0.46,0.54
VS_NEG,Vesta,Negative,469,485,954,0.49,0.51
VS_POS,Vesta,Positive,290,361,651,0.45,0.55
