PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,710,741,1451,0.49,0.51
CE_RET,Ceres,Retrograde,190,198,388,0.49,0.51
CE_STA,Ceres,Stationary,33,29,62,0.53,0.47
CH_DIR,Chiron,Direct,508,523,1031,0.49,0.51
CH_RET,Chiron,Retrograde,363,386,749,0.48,0.52
CH_STA,Chiron,Stationary,62,59,121,0.51,0.49
JN_DIR,Juno,Direct,707,742,1449,0.49,0.51
JN_RET,Juno,Retrograde,183,196,379,0.48,0.52
JN_STA,Juno,Stationary,43,30,73,0.59,0.41
JU_DIR,Jupiter,Direct,605,613,1218,0.5,0.5
JU_RET,Jupiter,Retrograde,283,306,589,0.48,0.52
JU_STA,Jupiter,Stationary,45,49,94,0.48,0.52
MA_DIR,Mars,Direct,812,839,1651,0.49,0.51
MA_RET,Mars,Retrograde,94,105,199,0.47,0.53
MA_STA,Mars,Stationary,27,24,51,0.53,0.47
ME_DIR,Mercury,Direct,740,728,1468,0.5,0.5
ME_RET,Mercury,Retrograde,167,206,373,0.45,0.55
ME_STA,Mercury,Stationary,26,34,60,0.43,0.57
MO_DIR,Moon,Direct,933,968,1901,0.49,0.51
NE_DIR,Neptune,Direct,502,495,997,0.5,0.5
NE_RET,Neptune,Retrograde,345,361,706,0.49,0.51
NE_STA,Neptune,Stationary,86,112,198,0.43,0.57
NN_DIR,NNode,Direct,933,968,1901,0.49,0.51
PA_DIR,Pallas,Direct,679,748,1427,0.48,0.52
PA_RET,Pallas,Retrograde,223,194,417,0.53,0.47
PA_STA,Pallas,Stationary,31,26,57,0.54,0.46
PH_DIR,Pholus,Direct,496,486,982,0.51,0.49
PH_RET,Pholus,Retrograde,358,393,751,0.48,0.52
PH_STA,Pholus,Stationary,79,89,168,0.47,0.53
PL_DIR,Pluto,Direct,504,486,990,0.51,0.49
PL_RET,Pluto,Retrograde,324,380,704,0.46,0.54
PL_STA,Pluto,Stationary,105,102,207,0.51,0.49
SA_DIR,Saturn,Direct,557,547,1104,0.5,0.5
SA_RET,Saturn,Retrograde,316,359,675,0.47,0.53
SA_STA,Saturn,Stationary,60,62,122,0.49,0.51
SN_DIR,SNode,Direct,933,968,1901,0.49,0.51
SU_DIR,Sun,Direct,933,968,1901,0.49,0.51
UR_DIR,Uranus,Direct,505,522,1027,0.49,0.51
UR_RET,Uranus,Retrograde,372,374,746,0.5,0.5
UR_STA,Uranus,Stationary,56,72,128,0.44,0.56
VE_DIR,Venus,Direct,857,887,1744,0.49,0.51
VE_RET,Venus,Retrograde,62,64,126,0.49,0.51
VE_STA,Venus,Stationary,14,17,31,0.45,0.55
VS_DIR,Vesta,Direct,727,753,1480,0.49,0.51
VS_RET,Vesta,Retrograde,181,178,359,0.5,0.5
VS_STA,Vesta,Stationary,25,37,62,0.4,0.6
