PlanetZodSign,Planet,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_ARI,Ceres,Aries,30,66,96,0.31,0.69
CE_Z02_TAU,Ceres,Taurus,38,46,84,0.45,0.55
CE_Z03_GEM,Ceres,Gemini,36,36,72,0.5,0.5
CE_Z04_CAN,Ceres,Cancer,38,38,76,0.5,0.5
CE_Z05_LEO,Ceres,Leo,125,152,277,0.45,0.55
CE_Z06_VIR,Ceres,Virgo,33,37,70,0.47,0.53
CE_Z07_LIB,Ceres,Libra,34,32,66,0.52,0.48
CE_Z08_SCO,Ceres,Scorpio,31,44,75,0.41,0.59
CE_Z09_SAG,Ceres,Sagittarius,136,159,295,0.46,0.54
CE_Z10_CAP,Ceres,Capricorn,44,32,76,0.58,0.42
CE_Z11_AQU,Ceres,Aquarius,57,65,122,0.47,0.53
CE_Z12_PIS,Ceres,Pisces,131,122,253,0.52,0.48
CH_Z01_ARI,Chiron,Aries,427,456,883,0.48,0.52
CH_Z12_PIS,Chiron,Pisces,306,373,679,0.45,0.55
JN_Z01_ARI,Juno,Aries,23,41,64,0.36,0.64
JN_Z02_TAU,Juno,Taurus,91,109,200,0.46,0.55
JN_Z03_GEM,Juno,Gemini,49,44,93,0.53,0.47
JN_Z04_CAN,Juno,Cancer,35,27,62,0.56,0.44
JN_Z05_LEO,Juno,Leo,22,41,63,0.35,0.65
JN_Z06_VIR,Juno,Virgo,32,41,73,0.44,0.56
JN_Z07_LIB,Juno,Libra,155,165,320,0.48,0.52
JN_Z08_SCO,Juno,Scorpio,48,44,92,0.52,0.48
JN_Z09_SAG,Juno,Sagittarius,61,85,146,0.42,0.58
JN_Z10_CAP,Juno,Capricorn,157,159,316,0.5,0.5
JN_Z11_AQU,Juno,Aquarius,34,35,69,0.49,0.51
JN_Z12_PIS,Juno,Pisces,26,38,64,0.41,0.59
JU_Z07_LIB,Jupiter,Libra,148,196,344,0.43,0.57
JU_Z08_SCO,Jupiter,Scorpio,185,209,394,0.47,0.53
JU_Z09_SAG,Jupiter,Sagittarius,174,215,389,0.45,0.55
JU_Z10_CAP,Jupiter,Capricorn,194,185,379,0.51,0.49
JU_Z11_AQU,Jupiter,Aquarius,32,24,56,0.57,0.43
MA_Z01_ARI,Mars,Aries,129,144,273,0.47,0.53
MA_Z02_TAU,Mars,Taurus,69,57,126,0.55,0.45
MA_Z03_GEM,Mars,Gemini,49,41,90,0.54,0.46
MA_Z04_CAN,Mars,Cancer,51,41,92,0.55,0.45
MA_Z05_LEO,Mars,Leo,39,56,95,0.41,0.59
MA_Z06_VIR,Mars,Virgo,39,55,94,0.41,0.59
MA_Z07_LIB,Mars,Libra,48,46,94,0.51,0.49
MA_Z08_SCO,Mars,Scorpio,49,44,93,0.53,0.47
MA_Z09_SAG,Mars,Sagittarius,44,50,94,0.47,0.53
MA_Z10_CAP,Mars,Capricorn,60,81,141,0.43,0.57
MA_Z11_AQU,Mars,Aquarius,102,135,237,0.43,0.57
MA_Z12_PIS,Mars,Pisces,54,79,133,0.41,0.59
ME_Z01_ARI,Mercury,Aries,65,81,146,0.45,0.55
ME_Z02_TAU,Mercury,Taurus,42,44,86,0.49,0.51
ME_Z03_GEM,Mercury,Gemini,32,28,60,0.53,0.47
ME_Z04_CAN,Mercury,Cancer,67,78,145,0.46,0.54
ME_Z05_LEO,Mercury,Leo,65,90,155,0.42,0.58
ME_Z06_VIR,Mercury,Virgo,52,52,104,0.5,0.5
ME_Z07_LIB,Mercury,Libra,40,49,89,0.45,0.55
ME_Z08_SCO,Mercury,Scorpio,76,104,180,0.42,0.58
ME_Z09_SAG,Mercury,Sagittarius,101,88,189,0.53,0.47
ME_Z10_CAP,Mercury,Capricorn,57,78,135,0.42,0.58
ME_Z11_AQU,Mercury,Aquarius,60,59,119,0.5,0.5
ME_Z12_PIS,Mercury,Pisces,76,78,154,0.49,0.51
MO_Z01_ARI,Moon,Aries,69,68,137,0.5,0.5
MO_Z02_TAU,Moon,Taurus,66,64,130,0.51,0.49
MO_Z03_GEM,Moon,Gemini,43,79,122,0.35,0.65
MO_Z04_CAN,Moon,Cancer,58,64,122,0.48,0.52
MO_Z05_LEO,Moon,Leo,51,68,119,0.43,0.57
MO_Z06_VIR,Moon,Virgo,65,57,122,0.53,0.47
MO_Z07_LIB,Moon,Libra,59,66,125,0.47,0.53
MO_Z08_SCO,Moon,Scorpio,57,74,131,0.44,0.56
MO_Z09_SAG,Moon,Sagittarius,61,73,134,0.46,0.54
MO_Z10_CAP,Moon,Capricorn,71,71,142,0.5,0.5
MO_Z11_AQU,Moon,Aquarius,66,74,140,0.47,0.53
