PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
CE_CH_a36,1,126,-0.006,0.056,-0.003,-0.003,0.027,-0.26,0.259,0.519,-0.628,7.583,0.005
CE_NE_a45,1,69,-0.037,0.101,-0.005,-0.031,0.051,-0.313,0.259,0.571,-0.531,0.741,0.012
CE_NN_a135,1,163,-0.018,0.081,-0.01,-0.015,0.042,-0.313,0.259,0.571,-0.25,3.223,0.006
CE_PH_a120,1,49,-0.047,0.109,-0.018,-0.044,0.052,-0.313,0.259,0.571,-0.305,0.584,0.016
CE_SN_a45,1,163,-0.018,0.081,-0.01,-0.015,0.042,-0.313,0.259,0.571,-0.25,3.223,0.006
CH_UR_a30,1,1547,0,0.055,-0.001,0,0.037,-0.313,0.582,0.895,0.788,12.138,0.001
JN_NE_a103,1,95,0.009,0.047,0.008,0.005,0.038,-0.061,0.259,0.319,2.103,8.3,0.005
JN_SN_a103,1,21,0.009,0.066,0.001,0.002,0.018,-0.098,0.259,0.357,2.27,6.831,0.015
JN_UR_a144,1,59,-0.006,0.08,0.003,0.003,0.039,-0.26,0.259,0.519,-0.89,3.614,0.01
JU_NE_a150,1,87,0.018,0.094,0.008,0.009,0.062,-0.143,0.582,0.725,2.774,13.708,0.01
JU_NN_a30,1,1,0.259,,0.259,0.259,0,0.259,0.259,0,,,
JU_SN_a150,1,1,0.259,,0.259,0.259,0,0.259,0.259,0,,,
MA_CE_a90,1,31,0.003,0.101,0.009,0.004,0.03,-0.26,0.259,0.519,-0.033,1.813,0.018
MA_JU_a103,1,45,-0.001,0.079,0.014,0.007,0.038,-0.26,0.259,0.519,-0.654,3.887,0.012
MA_NE_a45,1,92,-0.002,0.065,-0.008,-0.005,0.036,-0.26,0.259,0.519,0.456,5.058,0.007
MA_NN_a135,1,38,-0.016,0.075,-0.007,-0.013,0.036,-0.26,0.259,0.519,0.087,5.498,0.012
MA_PH_a30,1,65,-0.004,0.079,0,0.001,0.044,-0.26,0.259,0.519,-0.541,3.657,0.01
MA_SN_a45,1,38,-0.016,0.075,-0.007,-0.013,0.036,-0.26,0.259,0.519,0.087,5.498,0.012
ME_JU_a30,1,45,0.019,0.067,0.003,0.011,0.037,-0.082,0.259,0.341,1.741,3.841,0.01
ME_MA_a72,1,58,0.002,0.061,0.003,0.005,0.024,-0.26,0.259,0.519,-0.493,9.721,0.008
ME_PH_a45,1,46,0.015,0.06,0.011,0.011,0.029,-0.105,0.259,0.364,1.294,4.292,0.009
ME_VE_a36,1,116,0.006,0.062,-0.001,0.001,0.037,-0.26,0.259,0.519,0.799,6.27,0.006
MO_MA_a60,1,132,0.003,0.072,0,-0.002,0.031,-0.225,0.582,0.807,3.955,30.721,0.006
NN_NE_a180,1,40,-0.068,0.132,-0.078,-0.077,0.12,-0.313,0.259,0.571,0.568,-0.001,0.021
NN_SN_a180,1,1851,0.001,0.053,-0.001,0,0.036,-0.313,0.582,0.895,0.74,12.017,0.001
PA_CH_a30,1,146,-0.001,0.092,0.008,0.004,0.054,-0.313,0.259,0.571,-0.578,1.576,0.008
PA_PL_a36,1,57,-0.042,0.118,-0.017,-0.043,0.083,-0.313,0.259,0.571,0.025,0.143,0.016
SA_PL_a30,1,33,-0.077,0.142,-0.1,-0.089,0.11,-0.313,0.259,0.571,0.707,-0.157,0.025
SN_NE_a0,1,40,-0.068,0.132,-0.078,-0.077,0.12,-0.313,0.259,0.571,0.568,-0.001,0.021
SU_NE_a120,1,44,-0.006,0.062,-0.005,-0.006,0.032,-0.26,0.259,0.519,0.214,10.798,0.009
SU_NN_a60,1,47,0.007,0.068,0.014,0.011,0.034,-0.26,0.259,0.519,-0.6,7.048,0.01
SU_PH_a45,1,47,-0.003,0.077,0.003,0.003,0.031,-0.26,0.259,0.519,-0.559,4.412,0.011
SU_SA_a36,1,44,-0.002,0.067,0,-0.001,0.032,-0.26,0.259,0.519,-0.054,7.722,0.01
