PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
JUNE_a103,5,31,36,0.14,0.86
JUNE_a120,90,91,181,0.5,0.5
JUNE_a135,13,22,35,0.37,0.63
JUNE_a45,19,8,27,0.7,0.3
JUNE_a60,92,102,194,0.47,0.53
JUNE_a90,85,116,201,0.42,0.58
JUPL_a0,130,137,267,0.49,0.51
JUPL_a30,103,89,192,0.54,0.46
JUPL_a45,8,34,42,0.19,0.81
JUPL_a60,112,92,204,0.55,0.45
JUPL_a90,5,4,9,0.56,0.44
JUSA_a0,61,52,113,0.54,0.46
JUSA_a30,103,163,266,0.39,0.61
JUSA_a45,125,100,225,0.56,0.44
JUSA_a60,14,19,33,0.42,0.58
JUUR_a103,89,97,186,0.48,0.52
JUUR_a120,10,24,34,0.29,0.71
JUUR_a135,62,72,134,0.46,0.54
JUUR_a150,20,66,86,0.23,0.77
JUUR_a180,18,24,42,0.43,0.57
JUUR_a90,10,1,11,0.91,0.09
MAJU_a0,23,18,41,0.56,0.44
MAJU_a103,19,43,62,0.31,0.69
MAJU_a120,12,18,30,0.4,0.6
MAJU_a135,11,15,26,0.42,0.58
MAJU_a150,18,7,25,0.72,0.28
MAJU_a180,7,8,15,0.47,0.53
MAJU_a30,31,35,66,0.47,0.53
MAJU_a45,22,42,64,0.34,0.66
MAJU_a60,31,25,56,0.55,0.45
MAJU_a90,37,41,78,0.47,0.53
MANE_a0,10,24,34,0.29,0.71
MANE_a103,26,15,41,0.63,0.37
MANE_a120,23,18,41,0.56,0.44
MANE_a135,10,30,40,0.25,0.75
MANE_a150,15,25,40,0.38,0.62
MANE_a180,19,13,32,0.59,0.41
MANE_a30,77,58,135,0.57,0.43
MANE_a45,63,58,121,0.52,0.48
MANE_a60,28,17,45,0.62,0.38
MANE_a90,17,24,41,0.41,0.59
MAPL_a0,26,12,38,0.68,0.32
MAPL_a103,21,20,41,0.51,0.49
MAPL_a120,26,14,40,0.65,0.35
MAPL_a135,13,26,39,0.33,0.67
MAPL_a150,8,22,30,0.27,0.73
MAPL_a180,8,8,16,0.5,0.5
MAPL_a30,30,26,56,0.54,0.46
MAPL_a45,21,35,56,0.38,0.62
MAPL_a60,27,28,55,0.49,0.51
MAPL_a90,64,57,121,0.53,0.47
MASA_a0,23,14,37,0.62,0.38
MASA_a103,23,20,43,0.53,0.47
MASA_a120,25,13,38,0.66,0.34
MASA_a135,12,15,27,0.44,0.56
MASA_a150,9,16,25,0.36,0.64
MASA_a180,9,6,15,0.6,0.4
MASA_a30,77,94,171,0.45,0.55
MASA_a45,36,27,63,0.57,0.43
MASA_a60,22,38,60,0.37,0.63
MASA_a90,57,60,117,0.49,0.51
MAUR_a0,11,8,19,0.58,0.42
MAUR_a103,20,25,45,0.44,0.56
MAUR_a120,15,40,55,0.27,0.73
MAUR_a135,30,24,54,0.56,0.44
MAUR_a150,34,19,53,0.64,0.36
MAUR_a180,15,17,32,0.47,0.53
MAUR_a30,24,19,43,0.56,0.44
MAUR_a45,12,29,41,0.29,0.71
MAUR_a60,11,31,42,0.26,0.74
MAUR_a90,57,70,127,0.45,0.55
MEJU_a0,27,22,49,0.55,0.45
MEJU_a103,11,23,34,0.32,0.68
MEJU_a120,12,19,31,0.39,0.61
MEJU_a135,39,52,91,0.43,0.57
MEJU_a150,20,13,33,0.61,0.39
MEJU_a180,12,7,19,0.63,0.37
MEJU_a30,52,37,89,0.58,0.42
MEJU_a45,56,56,112,0.5,0.5
MEJU_a60,17,20,37,0.46,0.54
MEJU_a90,35,46,81,0.43,0.57
MEMA_a0,24,41,65,0.37,0.63
MEMA_a103,38,51,89,0.43,0.57
MEMA_a120,21,3,24,0.88,0.12
MEMA_a135,11,12,23,0.48,0.52
MEMA_a150,7,18,25,0.28,0.72
MEMA_a180,10,6,16,0.62,0.38
MEMA_a30,32,29,61,0.52,0.48
MEMA_a45,57,41,98,0.58,0.42
MEMA_a60,38,40,78,0.49,0.51
MEMA_a90,44,43,87,0.51,0.49
MENE_a0,36,15,51,0.71,0.29
MENE_a103,28,54,82,0.34,0.66
MENE_a120,35,29,64,0.55,0.45
MENE_a135,40,44,84,0.48,0.52
MENE_a150,28,40,68,0.41,0.59
MENE_a180,14,14,28,0.5,0.5
MENE_a30,28,30,58,0.48,0.52
MENE_a45,21,17,38,0.55,0.45
MENE_a60,25,14,39,0.64,0.36
MENE_a90,29,40,69,0.42,0.58
MEPL_a0,23,7,30,0.77,0.23
MEPL_a103,24,16,40,0.6,0.4
MEPL_a120,17,19,36,0.47,0.53
MEPL_a135,23,29,52,0.44,0.56
MEPL_a150,31,32,63,0.49,0.51
MEPL_a180,14,25,39,0.36,0.64
MEPL_a30,34,31,65,0.52,0.48
MEPL_a45,31,52,83,0.37,0.63
MEPL_a60,40,44,84,0.48,0.52
MEPL_a90,22,27,49,0.45,0.55
MESA_a0,32,17,49,0.65,0.35
MESA_a103,27,21,48,0.56,0.44
MESA_a120,7,22,29,0.24,0.76
MESA_a135,21,39,60,0.35,0.65
MESA_a150,20,13,33,0.61,0.39
MESA_a180,10,10,20,0.5,0.5
MESA_a30,33,51,84,0.39,0.61
MESA_a45,28,50,78,0.36,0.64
MESA_a60,48,41,89,0.54,0.46
MESA_a90,51,31,82,0.62,0.38
MESU_a0,109,100,209,0.52,0.48
MESU_a30,31,28,59,0.53,0.47
MEUR_a0,11,10,21,0.52,0.48
MEUR_a103,41,29,70,0.59,0.41
MEUR_a120,39,38,77,0.51,0.49
MEUR_a135,33,37,70,0.47,0.53
MEUR_a150,31,37,68,0.46,0.54
MEUR_a180,29,25,54,0.54,0.46
MEUR_a30,20,30,50,0.4,0.6
MEUR_a45,37,18,55,0.67,0.33
MEUR_a60,42,44,86,0.49,0.51
MEUR_a90,26,28,54,0.48,0.52
MEVE_a0,39,61,100,0.39,0.61
MEVE_a30,110,106,216,0.51,0.49
MEVE_a45,51,88,139,0.37,0.63
MEVE_a60,40,41,81,0.49,0.51
MOJU_a0,39,42,81,0.48,0.52
MOJU_a103,77,68,145,0.53,0.47
MOJU_a120,64,73,137,0.47,0.53
MOJU_a135,60,78,138,0.43,0.57
MOJU_a150,65,77,142,0.46,0.54
MOJU_a180,44,34,78,0.56,0.44
MOJU_a30,68,76,144,0.47,0.53
MOJU_a45,62,76,138,0.45,0.55
MOJU_a60,65,73,138,0.47,0.53
MOJU_a90,77,65,142,0.54,0.46
MOMA_a0,36,44,80,0.45,0.55
MOMA_a103,62,71,133,0.47,0.53
MOMA_a120,64,73,137,0.47,0.53
MOMA_a135,72,61,133,0.54,0.46
MOMA_a150,66,68,134,0.49,0.51
MOMA_a180,33,45,78,0.42,0.58
MOMA_a30,58,81,139,0.42,0.58
MOMA_a45,62,79,141,0.44,0.56
MOMA_a60,68,70,138,0.49,0.51
MOMA_a90,72,66,138,0.52,0.48
MOME_a0,28,44,72,0.39,0.61
MOME_a103,62,74,136,0.46,0.54
MOME_a120,74,61,135,0.55,0.45
MOME_a135,73,54,127,0.57,0.43
MOME_a150,75,59,134,0.56,0.44
MOME_a180,31,38,69,0.45,0.55
MOME_a30,57,82,139,0.41,0.59
MOME_a45,62,72,134,0.46,0.54
MOME_a60,68,67,135,0.5,0.5
MOME_a90,56,80,136,0.41,0.59
MONE_a0,47,32,79,0.59,0.41
MONE_a103,61,83,144,0.42,0.58
MONE_a120,60,79,139,0.43,0.57
MONE_a135,70,71,141,0.5,0.5
MONE_a150,73,66,139,0.53,0.47
MONE_a180,35,42,77,0.45,0.55
MONE_a30,64,79,143,0.45,0.55
MONE_a45,64,80,144,0.44,0.56
MONE_a60,62,83,145,0.43,0.57
MONE_a90,68,80,148,0.46,0.54
MOPL_a0,42,38,80,0.52,0.48
MOPL_a103,57,85,142,0.4,0.6
MOPL_a120,63,74,137,0.46,0.54
MOPL_a135,67,74,141,0.48,0.52
MOPL_a150,72,68,140,0.51,0.49
MOPL_a180,39,35,74,0.53,0.47
MOPL_a30,76,66,142,0.54,0.46
MOPL_a45,75,68,143,0.52,0.48
MOPL_a60,68,79,147,0.46,0.54
MOPL_a90,56,84,140,0.4,0.6
MOSA_a0,36,44,80,0.45,0.55
MOSA_a103,64,78,142,0.45,0.55
MOSA_a120,62,78,140,0.44,0.56
MOSA_a135,65,75,140,0.46,0.54
MOSA_a150,75,68,143,0.52,0.48
MOSA_a180,39,38,77,0.51,0.49
MOSA_a30,71,76,147,0.48,0.52
MOSA_a45,70,75,145,0.48,0.52
MOSA_a60,60,80,140,0.43,0.57
MOSA_a90,66,77,143,0.46,0.54
MOSU_a0,27,50,77,0.35,0.65
MOSU_a103,58,76,134,0.43,0.57
MOSU_a120,68,69,137,0.5,0.5
MOSU_a135,78,59,137,0.57,0.43
MOSU_a150,75,59,134,0.56,0.44
MOSU_a180,34,43,77,0.44,0.56
MOSU_a30,62,72,134,0.46,0.54
MOSU_a45,60,75,135,0.44,0.56
MOSU_a60,62,72,134,0.46,0.54
MOSU_a90,62,74,136,0.46,0.54
MOUR_a0,31,51,82,0.38,0.62
MOUR_a103,75,71,146,0.51,0.49
MOUR_a120,69,74,143,0.48,0.52
MOUR_a135,65,75,140,0.46,0.54
MOUR_a150,61,82,143,0.43,0.57
MOUR_a180,34,47,81,0.42,0.58
MOUR_a30,68,70,138,0.49,0.51
MOUR_a45,75,70,145,0.52,0.48
MOUR_a60,80,64,144,0.56,0.44
MOUR_a90,76,69,145,0.52,0.48
MOVE_a0,35,44,79,0.44,0.56
MOVE_a103,70,68,138,0.51,0.49
MOVE_a120,59,76,135,0.44,0.56
MOVE_a135,56,71,127,0.44,0.56
MOVE_a150,66,70,136,0.49,0.51
MOVE_a180,36,41,77,0.47,0.53
MOVE_a30,65,65,130,0.5,0.5
MOVE_a45,54,65,119,0.45,0.55
MOVE_a60,55,82,137,0.4,0.6
MOVE_a90,70,70,140,0.5,0.5
NEPL_a60,158,206,364,0.43,0.57
SANE_a45,61,42,103,0.59,0.41
SANE_a60,161,206,367,0.44,0.56
SAPL_a0,184,218,402,0.46,0.54
SAPL_a30,3,1,4,0.75,0.25
SAUR_a103,191,206,397,0.48,0.52
SAUR_a120,94,90,184,0.51,0.49
SAUR_a90,2,0,2,1,0
SUJU_a0,11,31,42,0.26,0.74
SUJU_a103,35,21,56,0.62,0.38
SUJU_a120,19,35,54,0.35,0.65
SUJU_a135,23,31,54,0.43,0.57
SUJU_a150,31,21,52,0.6,0.4
SUJU_a180,19,11,30,0.63,0.37
SUJU_a30,36,42,78,0.46,0.54
SUJU_a45,37,38,75,0.49,0.51
SUJU_a60,34,30,64,0.53,0.47
SUJU_a90,30,30,60,0.5,0.5
SUMA_a0,16,15,31,0.52,0.48
SUMA_a103,42,26,68,0.62,0.38
SUMA_a120,28,26,54,0.52,0.48
SUMA_a135,11,31,42,0.26,0.74
SUMA_a150,15,19,34,0.44,0.56
SUMA_a180,10,7,17,0.59,0.41
SUMA_a30,28,45,73,0.38,0.62
SUMA_a45,39,33,72,0.54,0.46
SUMA_a60,40,32,72,0.56,0.44
SUMA_a90,21,48,69,0.3,0.7
SUNE_a0,14,20,34,0.41,0.59
SUNE_a103,24,40,64,0.38,0.62
SUNE_a120,32,31,63,0.51,0.49
SUNE_a135,22,39,61,0.36,0.64
SUNE_a150,36,28,64,0.56,0.44
SUNE_a180,15,29,44,0.34,0.66
SUNE_a30,27,29,56,0.48,0.52
SUNE_a45,31,24,55,0.56,0.44
SUNE_a60,46,17,63,0.73,0.27
SUNE_a90,25,38,63,0.4,0.6
SUPL_a0,29,7,36,0.81,0.19
SUPL_a103,40,24,64,0.62,0.38
SUPL_a120,29,36,65,0.45,0.55
SUPL_a135,28,35,63,0.44,0.56
SUPL_a150,24,31,55,0.44,0.56
SUPL_a180,13,20,33,0.39,0.61
SUPL_a30,29,36,65,0.45,0.55
SUPL_a45,28,36,64,0.44,0.56
SUPL_a60,24,39,63,0.38,0.62
SUPL_a90,32,32,64,0.5,0.5
SUSA_a0,26,10,36,0.72,0.28
SUSA_a103,30,36,66,0.45,0.55
SUSA_a120,27,27,54,0.5,0.5
SUSA_a135,21,32,53,0.4,0.6
SUSA_a150,27,26,53,0.51,0.49
SUSA_a180,9,23,32,0.28,0.72
SUSA_a30,29,38,67,0.43,0.57
SUSA_a45,22,44,66,0.33,0.67
SUSA_a60,32,36,68,0.47,0.53
SUSA_a90,34,32,66,0.52,0.48
SUUR_a0,25,11,36,0.69,0.31
SUUR_a103,37,20,57,0.65,0.35
SUUR_a120,36,33,69,0.52,0.48
SUUR_a135,24,47,71,0.34,0.66
SUUR_a150,33,37,70,0.47,0.53
SUUR_a180,12,31,43,0.28,0.72
SUUR_a30,24,33,57,0.42,0.58
SUUR_a45,27,31,58,0.47,0.53
SUUR_a60,20,37,57,0.35,0.65
SUUR_a90,26,29,55,0.47,0.53
URNE_a45,513,569,1082,0.47,0.53
URPL_a103,377,464,841,0.45,0.55
VEJU_a0,16,18,34,0.47,0.53
VEJU_a103,18,30,48,0.38,0.62
VEJU_a120,20,29,49,0.41,0.59
VEJU_a135,32,55,87,0.37,0.63
VEJU_a150,19,26,45,0.42,0.58
VEJU_a180,16,11,27,0.59,0.41
VEJU_a30,38,48,86,0.44,0.56
VEJU_a45,39,21,60,0.65,0.35
VEJU_a60,32,27,59,0.54,0.46
VEJU_a90,15,38,53,0.28,0.72
VEMA_a0,15,20,35,0.43,0.57
VEMA_a103,26,56,82,0.32,0.68
VEMA_a120,59,44,103,0.57,0.43
VEMA_a135,23,13,36,0.64,0.36
VEMA_a150,11,21,32,0.34,0.66
VEMA_a180,8,11,19,0.42,0.58
VEMA_a30,25,21,46,0.54,0.46
VEMA_a45,28,15,43,0.65,0.35
VEMA_a60,41,29,70,0.59,0.41
VEMA_a90,42,52,94,0.45,0.55
VENE_a0,10,18,28,0.36,0.64
VENE_a103,29,27,56,0.52,0.48
VENE_a120,34,32,66,0.52,0.48
VENE_a135,33,76,109,0.3,0.7
VENE_a150,25,38,63,0.4,0.6
VENE_a180,14,22,36,0.39,0.61
VENE_a30,19,27,46,0.41,0.59
VENE_a45,20,29,49,0.41,0.59
VENE_a60,32,16,48,0.67,0.33
VENE_a90,46,45,91,0.51,0.49
