MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_Z01_ARI,Full,Aries,29,39,68,0.43,0.57
F_Z02_TAU,Full,Taurus,17,27,44,0.39,0.61
F_Z03_GEM,Full,Gemini,36,35,71,0.51,0.49
F_Z04_CAN,Full,Cancer,23,19,42,0.55,0.45
F_Z05_LEO,Full,Leo,35,35,70,0.5,0.5
F_Z06_VIR,Full,Virgo,13,18,31,0.42,0.58
F_Z07_LIB,Full,Libra,31,29,60,0.52,0.48
F_Z08_SCO,Full,Scorpio,16,16,32,0.5,0.5
F_Z09_SAG,Full,Sagittarius,29,32,61,0.48,0.52
F_Z10_CAP,Full,Capricorn,20,26,46,0.43,0.57
F_Z11_AQU,Full,Aquarius,28,20,48,0.58,0.42
F_Z12_PIS,Full,Pisces,25,32,57,0.44,0.56
N_Z01_ARI,New,Aries,18,11,29,0.62,0.38
N_Z02_TAU,New,Taurus,35,34,69,0.51,0.49
N_Z03_GEM,New,Gemini,13,16,29,0.45,0.55
N_Z04_CAN,New,Cancer,30,26,56,0.54,0.46
N_Z05_LEO,New,Leo,18,27,45,0.4,0.6
N_Z06_VIR,New,Virgo,30,29,59,0.51,0.49
N_Z07_LIB,New,Libra,32,44,76,0.42,0.58
N_Z08_SCO,New,Scorpio,26,35,61,0.43,0.57
N_Z09_SAG,New,Sagittarius,31,31,62,0.5,0.5
N_Z10_CAP,New,Capricorn,29,33,62,0.47,0.53
N_Z11_AQU,New,Aquarius,22,23,45,0.49,0.51
N_Z12_PIS,New,Pisces,18,25,43,0.42,0.58
