PlanetDecan,Planet,Decan,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_1ARI,Ceres,AriesD1,13,12,25,0.52,0.48
CE_Z01_2ARI,Ceres,AriesD2,15,11,26,0.58,0.42
CE_Z01_3ARI,Ceres,AriesD3,10,15,25,0.4,0.6
CE_Z02_1TAU,Ceres,TaurusD1,11,15,26,0.42,0.58
CE_Z02_2TAU,Ceres,TaurusD2,10,17,27,0.37,0.63
CE_Z02_3TAU,Ceres,TaurusD3,17,14,31,0.55,0.45
CE_Z03_1GEM,Ceres,GeminiD1,26,17,43,0.6,0.4
CE_Z03_2GEM,Ceres,GeminiD2,5,12,17,0.29,0.71
CE_Z04_2CAN,Ceres,CancerD2,4,6,10,0.4,0.6
CE_Z04_3CAN,Ceres,CancerD3,10,17,27,0.37,0.63
CE_Z05_1LEO,Ceres,LeoD1,60,51,111,0.54,0.46
CE_Z05_2LEO,Ceres,LeoD2,74,65,139,0.53,0.47
CE_Z05_3LEO,Ceres,LeoD1,8,19,27,0.3,0.7
CE_Z06_1VIR,Ceres,VirgoD1,14,10,24,0.58,0.42
CE_Z06_2VIR,Ceres,VirgoD2,7,16,23,0.3,0.7
CE_Z06_3VIR,Ceres,VirgoD3,10,13,23,0.43,0.57
CE_Z07_1LIB,Ceres,LibraD1,12,10,22,0.55,0.45
CE_Z07_2LIB,Ceres,LibraD2,12,10,22,0.55,0.45
CE_Z07_3LIB,Ceres,LibraD3,5,17,22,0.23,0.77
CE_Z08_1SCO,Ceres,ScorpioD1,8,15,23,0.35,0.65
CE_Z08_2SCO,Ceres,ScorpioD2,10,15,25,0.4,0.6
CE_Z08_3SCO,Ceres,ScorpioD3,13,14,27,0.48,0.52
CE_Z09_1SAG,Ceres,SagittariusD1,65,95,160,0.41,0.59
CE_Z09_2SAG,Ceres,SagittariusD2,62,45,107,0.58,0.42
CE_Z09_3SAG,Ceres,SagittariusD3,10,18,28,0.36,0.64
CE_Z10_1CAP,Ceres,CapricornD1,9,17,26,0.35,0.65
CE_Z10_2CAP,Ceres,CapricornD2,11,14,25,0.44,0.56
CE_Z10_3CAP,Ceres,CapricornD3,15,10,25,0.6,0.4
CE_Z11_1AQU,Ceres,AquariusD1,15,11,26,0.58,0.42
CE_Z11_2AQU,Ceres,AquariusD2,12,15,27,0.44,0.56
CE_Z11_3AQU,Ceres,AquariusD3,32,37,69,0.46,0.54
CE_Z12_1PIS,Ceres,PiscesD1,65,74,139,0.47,0.53
CE_Z12_2PIS,Ceres,PiscesD2,49,46,95,0.52,0.48
CE_Z12_3PIS,Ceres,PiscesD3,17,10,27,0.63,0.37
CH_Z01_1ARI,Chiron,AriesD1,457,490,947,0.48,0.52
CH_Z01_2ARI,Chiron,AriesD2,79,85,164,0.48,0.52
CH_Z12_3PIS,Chiron,PiscesD3,180,208,388,0.46,0.54
JN_Z01_1ARI,Juno,AriesD1,10,11,21,0.48,0.52
JN_Z01_2ARI,Juno,AriesD2,9,12,21,0.43,0.57
JN_Z01_3ARI,Juno,AriesD3,7,15,22,0.32,0.68
JN_Z02_1TAU,Juno,TaurusD1,11,12,23,0.48,0.52
JN_Z02_2TAU,Juno,TaurusD2,9,17,26,0.35,0.65
JN_Z02_3TAU,Juno,TaurusD3,56,95,151,0.37,0.63
JN_Z03_1GEM,Juno,GeminiD1,24,26,50,0.48,0.52
JN_Z03_2GEM,Juno,GeminiD2,17,5,22,0.77,0.23
JN_Z03_3GEM,Juno,GeminiD3,11,10,21,0.52,0.48
JN_Z04_1CAN,Juno,CancerD1,8,13,21,0.38,0.62
JN_Z04_2CAN,Juno,CancerD2,11,9,20,0.55,0.45
JN_Z04_3CAN,Juno,CancerD3,11,10,21,0.52,0.48
JN_Z05_1LEO,Juno,LeoD1,7,13,20,0.35,0.65
JN_Z05_2LEO,Juno,LeoD2,9,13,22,0.41,0.59
JN_Z05_3LEO,Juno,LeoD1,8,13,21,0.38,0.62
JN_Z06_1VIR,Juno,VirgoD1,12,11,23,0.52,0.48
JN_Z06_2VIR,Juno,VirgoD2,14,10,24,0.58,0.42
JN_Z06_3VIR,Juno,VirgoD3,13,13,26,0.5,0.5
JN_Z07_1LIB,Juno,LibraD1,48,61,109,0.44,0.56
