PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,2]",Ceres,Conjunction,"(0,2]",91,78,169,0.54,0.46
CE_a0_0,Ceres,Conjunction,0,583,673,1256,0.46,0.54
"CE_a103_(0,3]",Ceres,BiSeptile,"(0,3]",116,134,250,0.46,0.54
CE_a103_0,Ceres,BiSeptile,0,558,617,1175,0.47,0.53
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",76,84,160,0.48,0.52
CE_a120_0,Ceres,Trine,0,598,667,1265,0.47,0.53
"CE_a135_(0,3]",Ceres,SesquiSquare,"(0,3]",118,168,286,0.41,0.59
CE_a135_0,Ceres,SesquiSquare,0,556,583,1139,0.49,0.51
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",153,159,312,0.49,0.51
CE_a144_0,Ceres,BiQuintile,0,521,592,1113,0.47,0.53
"CE_a150_(0,3]",Ceres,Quincunx,"(0,3]",147,138,285,0.52,0.48
CE_a150_0,Ceres,Quincunx,0,527,613,1140,0.46,0.54
"CE_a180_(0,2]",Ceres,Opposition,"(0,2]",58,55,113,0.51,0.49
CE_a180_0,Ceres,Opposition,0,616,696,1312,0.47,0.53
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",151,199,350,0.43,0.57
"CE_a30_(1,3]",Ceres,SemiSextile,"(1,3]",33,28,61,0.54,0.46
CE_a30_0,Ceres,SemiSextile,0,490,524,1014,0.48,0.52
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",171,155,326,0.52,0.48
"CE_a36_(1,4]",Ceres,SemiQuintile,"(1,4]",79,102,181,0.44,0.56
CE_a36_0,Ceres,SemiQuintile,0,424,494,918,0.46,0.54
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",218,243,461,0.47,0.53
CE_a45_0,Ceres,SemiSquare,0,456,508,964,0.47,0.53
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",158,170,328,0.48,0.52
CE_a60_0,Ceres,Sextile,0,516,581,1097,0.47,0.53
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",145,144,289,0.5,0.5
CE_a72_0,Ceres,Quintile,0,529,607,1136,0.47,0.53
"CE_a90_(0,3]",Ceres,Square,"(0,3]",91,89,180,0.51,0.49
CE_a90_0,Ceres,Square,0,583,662,1245,0.47,0.53
CH_a0_0,Chiron,Conjunction,0,674,751,1425,0.47,0.53
CH_a103_0,Chiron,BiSeptile,0,674,751,1425,0.47,0.53
CH_a120_0,Chiron,Trine,0,674,751,1425,0.47,0.53
CH_a135_0,Chiron,SesquiSquare,0,674,751,1425,0.47,0.53
CH_a144_0,Chiron,BiQuintile,0,674,751,1425,0.47,0.53
CH_a150_0,Chiron,Quincunx,0,674,751,1425,0.47,0.53
CH_a180_0,Chiron,Opposition,0,674,751,1425,0.47,0.53
CH_a30_0,Chiron,SemiSextile,0,81,100,181,0.45,0.55
CH_a30_1,Chiron,SemiSextile,1,593,651,1244,0.48,0.52
CH_a36_0,Chiron,SemiQuintile,0,674,751,1425,0.47,0.53
CH_a45_0,Chiron,SemiSquare,0,674,751,1425,0.47,0.53
CH_a60_0,Chiron,Sextile,0,674,751,1425,0.47,0.53
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",315,343,658,0.48,0.52
CH_a72_0,Chiron,Quintile,0,359,408,767,0.47,0.53
"CH_a90_(0,1]",Chiron,Square,"(0,1]",268,270,538,0.5,0.5
CH_a90_0,Chiron,Square,0,406,481,887,0.46,0.54
"JN_a0_(0,2]",Juno,Conjunction,"(0,2]",43,46,89,0.48,0.52
JN_a0_0,Juno,Conjunction,0,631,705,1336,0.47,0.53
"JN_a103_(0,4]",Juno,BiSeptile,"(0,4]",168,206,374,0.45,0.55
JN_a103_0,Juno,BiSeptile,0,506,545,1051,0.48,0.52
"JN_a120_(0,3]",Juno,Trine,"(0,3]",153,186,339,0.45,0.55
JN_a120_0,Juno,Trine,0,521,565,1086,0.48,0.52
"JN_a135_(0,3]",Juno,SesquiSquare,"(0,3]",144,145,289,0.5,0.5
JN_a135_0,Juno,SesquiSquare,0,530,606,1136,0.47,0.53
