PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(0,1]",Ceres,"(0,1]",186,192,378,0.49,0.51
"CE_(1,2]",Ceres,"(1,2]",146,160,306,0.48,0.52
"CE_(2,7]",Ceres,"(2,7]",137,136,273,0.5,0.5
CE_0,Ceres,0,136,176,312,0.44,0.56
"CH_(0,1]",Chiron,"(0,1]",320,356,676,0.47,0.53
"CH_(1,3]",Chiron,"(1,3]",127,126,253,0.5,0.5
CH_0,Chiron,0,158,182,340,0.46,0.54
"JN_(1,2]",Juno,"(1,2]",157,165,322,0.49,0.51
"JN_(2,7]",Juno,"(2,7]",90,120,210,0.43,0.57
JN_1,Juno,1,212,217,429,0.49,0.51
"JN_[0,1)",Juno,"[0,1)",146,162,308,0.47,0.53
"JU_(0,1]",Jupiter,"(0,1]",254,270,524,0.48,0.52
"JU_(1,2]",Jupiter,"(1,2]",95,106,201,0.47,0.53
"JU_(2,6]",Jupiter,"(2,6]",72,74,146,0.49,0.51
JU_0,Jupiter,0,184,214,398,0.46,0.54
"MA_(1,2]",Mars,"(1,2]",187,177,364,0.51,0.49
"MA_(2,3]",Mars,"(2,3]",95,101,196,0.48,0.52
"MA_(3,9]",Mars,"(3,9]",74,97,171,0.43,0.57
"MA_[0,1]",Mars,"[0,1]",249,289,538,0.46,0.54
"ME_(1,2]",Mercury,"(1,2]",145,190,335,0.43,0.57
"ME_(2,3]",Mercury,"(2,3]",147,127,274,0.54,0.46
"ME_(3,9]",Mercury,"(3,9]",104,125,229,0.45,0.55
"ME_[0,1]",Mercury,"[0,1]",209,222,431,0.48,0.52
"MO_(11,22]",Moon,"(11,22]",156,170,326,0.48,0.52
"MO_(6,9]",Moon,"(6,9]",152,193,345,0.44,0.56
"MO_(9,11]",Moon,"(9,11]",126,125,251,0.5,0.5
"MO_[0,6]",Moon,"[0,6]",171,176,347,0.49,0.51
NE_0,Neptune,0,605,664,1269,0.48,0.52
"NN_(2,5]",NNode,"(2,5]",123,139,262,0.47,0.53
NN_1,NNode,1,220,274,494,0.45,0.55
NN_2,NNode,2,262,251,513,0.51,0.49
"PA_(0,1]",Pallas,"(0,1]",170,198,368,0.46,0.54
"PA_(1,2]",Pallas,"(1,2]",164,150,314,0.52,0.48
"PA_(2,7]",Pallas,"(2,7]",69,73,142,0.49,0.51
PA_0,Pallas,0,202,243,445,0.45,0.55
"PH_(0,2]",Pholus,"(0,2]",48,57,105,0.46,0.54
PH_0,Pholus,0,557,607,1164,0.48,0.52
"SA_(1,4]",Saturn,"(1,4]",71,83,154,0.46,0.54
SA_0,Saturn,0,366,392,758,0.48,0.52
SA_1,Saturn,1,168,189,357,0.47,0.53
"SN_(1,4]",SNode,"(1,4]",155,181,336,0.46,0.54
SN_0,SNode,0,237,257,494,0.48,0.52
SN_1,SNode,1,213,226,439,0.49,0.51
"SU_(1,2]",Sun,"(1,2]",161,197,358,0.45,0.55
"SU_(2,3]",Sun,"(2,3]",115,123,238,0.48,0.52
"SU_(3,9]",Sun,"(3,9]",96,111,207,0.46,0.54
"SU_[0,1]",Sun,"[0,1]",233,233,466,0.5,0.5
"UR_(0,1]",Uranus,"(0,1]",222,240,462,0.48,0.52
"UR_(1,3]",Uranus,"(1,3]",85,108,193,0.44,0.56
UR_0,Uranus,0,298,316,614,0.49,0.51
"VE_(1,2]",Venus,"(1,2]",175,180,355,0.49,0.51
"VE_(2,3]",Venus,"(2,3]",131,154,285,0.46,0.54
"VE_(3,10]",Venus,"(3,10]",121,133,254,0.48,0.52
"VE_[0,1]",Venus,"[0,1]",178,197,375,0.47,0.53
"VS_(1,2]",Vesta,"(1,2]",129,167,296,0.44,0.56
"VS_(2,8]",Vesta,"(2,8]",161,169,330,0.49,0.51
VS_1,Vesta,1,202,181,383,0.53,0.47
"VS_[0,1)",Vesta,"[0,1)",113,147,260,0.43,0.57
