PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,238,271,509,0.47,0.53
CE_POS,Ceres,Positive,367,393,760,0.48,0.52
CH_NEG,Chiron,Negative,180,208,388,0.46,0.54
CH_POS,Chiron,Positive,425,456,881,0.48,0.52
JN_NEG,Juno,Negative,281,324,605,0.46,0.54
JN_POS,Juno,Positive,324,340,664,0.49,0.51
JU_NEG,Jupiter,Negative,375,398,773,0.49,0.51
JU_POS,Jupiter,Positive,230,266,496,0.46,0.54
MA_NEG,Mars,Negative,268,271,539,0.5,0.5
MA_POS,Mars,Positive,337,393,730,0.46,0.54
ME_NEG,Mercury,Negative,298,340,638,0.47,0.53
ME_POS,Mercury,Positive,307,324,631,0.49,0.51
MO_NEG,Moon,Negative,308,329,637,0.48,0.52
MO_POS,Moon,Positive,297,335,632,0.47,0.53
NE_NEG,Neptune,Negative,605,664,1269,0.48,0.52
NN_NEG,NNode,Negative,266,300,566,0.47,0.53
NN_POS,NNode,Positive,339,364,703,0.48,0.52
PA_NEG,Pallas,Negative,294,339,633,0.46,0.54
PA_POS,Pallas,Positive,311,325,636,0.49,0.51
PH_NEG,Pholus,Negative,405,445,850,0.48,0.52
PH_POS,Pholus,Positive,200,219,419,0.48,0.52
PL_NEG,Pluto,Negative,605,664,1269,0.48,0.52
SA_NEG,Saturn,Negative,460,529,989,0.47,0.53
SA_POS,Saturn,Positive,145,135,280,0.52,0.48
SN_NEG,SNode,Negative,266,300,566,0.47,0.53
SN_POS,SNode,Positive,339,364,703,0.48,0.52
SU_NEG,Sun,Negative,290,350,640,0.45,0.55
SU_POS,Sun,Positive,315,314,629,0.5,0.5
UR_NEG,Uranus,Negative,421,458,879,0.48,0.52
UR_POS,Uranus,Positive,184,206,390,0.47,0.53
VE_NEG,Venus,Negative,291,306,597,0.49,0.51
VE_POS,Venus,Positive,314,358,672,0.47,0.53
VS_NEG,Vesta,Negative,388,377,765,0.51,0.49
VS_POS,Vesta,Positive,217,287,504,0.43,0.57
