PlanetQuality,Planet,Quality,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,116,139,255,0.45,0.55
CE_FIX,Ceres,Fixed,270,288,558,0.48,0.52
CE_MUT,Ceres,Mutable,314,334,648,0.48,0.52
CH_CAR,Chiron,Cardinal,520,553,1073,0.48,0.52
CH_MUT,Chiron,Mutable,180,208,388,0.46,0.54
JN_CAR,Juno,Cardinal,266,300,566,0.47,0.53
JN_FIX,Juno,Fixed,179,239,418,0.43,0.57
JN_MUT,Juno,Mutable,255,222,477,0.53,0.47
JU_CAR,Jupiter,Cardinal,205,227,432,0.47,0.53
JU_FIX,Jupiter,Fixed,285,279,564,0.51,0.49
JU_MUT,Jupiter,Mutable,210,255,465,0.45,0.55
MA_CAR,Mars,Cardinal,262,292,554,0.47,0.53
MA_FIX,Mars,Fixed,246,260,506,0.49,0.51
MA_MUT,Mars,Mutable,192,209,401,0.48,0.52
ME_CAR,Mercury,Cardinal,212,218,430,0.49,0.51
ME_FIX,Mercury,Fixed,230,278,508,0.45,0.55
ME_MUT,Mercury,Mutable,258,265,523,0.49,0.51
MO_CAR,Moon,Cardinal,221,267,488,0.45,0.55
MO_FIX,Moon,Fixed,244,246,490,0.5,0.5
MO_MUT,Moon,Mutable,235,248,483,0.49,0.51
NE_MUT,Neptune,Mutable,700,761,1461,0.48,0.52
NN_CAR,NNode,Cardinal,266,300,566,0.47,0.53
NN_FIX,NNode,Fixed,216,238,454,0.48,0.52
NN_MUT,NNode,Mutable,218,223,441,0.49,0.51
PA_CAR,Pallas,Cardinal,328,369,697,0.47,0.53
PA_FIX,Pallas,Fixed,195,216,411,0.47,0.53
PA_MUT,Pallas,Mutable,177,176,353,0.5,0.5
PH_CAR,Pholus,Cardinal,500,542,1042,0.48,0.52
PH_MUT,Pholus,Mutable,200,219,419,0.48,0.52
PL_CAR,Pluto,Cardinal,700,761,1461,0.48,0.52
SA_CAR,Saturn,Cardinal,460,529,989,0.47,0.53
SA_FIX,Saturn,Fixed,177,171,348,0.51,0.49
SA_MUT,Saturn,Mutable,63,61,124,0.51,0.49
SN_CAR,SNode,Cardinal,266,300,566,0.47,0.53
SN_FIX,SNode,Fixed,216,238,454,0.48,0.52
SN_MUT,SNode,Mutable,218,223,441,0.49,0.51
SU_CAR,Sun,Cardinal,260,223,483,0.54,0.46
SU_FIX,Sun,Fixed,224,267,491,0.46,0.54
SU_MUT,Sun,Mutable,216,271,487,0.44,0.56
UR_CAR,Uranus,Cardinal,184,206,390,0.47,0.53
UR_FIX,Uranus,Fixed,516,555,1071,0.48,0.52
VE_CAR,Venus,Cardinal,206,251,457,0.45,0.55
VE_FIX,Venus,Fixed,236,249,485,0.49,0.51
VE_MUT,Venus,Mutable,258,261,519,0.5,0.5
VS_CAR,Vesta,Cardinal,189,186,375,0.5,0.5
VS_FIX,Vesta,Fixed,227,250,477,0.48,0.52
VS_MUT,Vesta,Mutable,284,325,609,0.47,0.53
