PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,3]",Ceres,Conjunction,"(0,3]",51,54,105,0.49,0.51
CE_a0_0,Ceres,Conjunction,0,599,664,1263,0.47,0.53
"CE_a103_(0,4]",Ceres,BiSeptile,"(0,4]",175,156,331,0.53,0.47
CE_a103_0,Ceres,BiSeptile,0,475,562,1037,0.46,0.54
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",173,190,363,0.48,0.52
CE_a120_0,Ceres,Trine,0,477,528,1005,0.47,0.53
"CE_a135_(0,4]",Ceres,SesquiSquare,"(0,4]",129,130,259,0.5,0.5
CE_a135_0,Ceres,SesquiSquare,0,521,588,1109,0.47,0.53
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",142,134,276,0.51,0.49
CE_a144_0,Ceres,BiQuintile,0,508,584,1092,0.47,0.53
"CE_a150_(0,4]",Ceres,Quincunx,"(0,4]",117,132,249,0.47,0.53
CE_a150_0,Ceres,Quincunx,0,533,586,1119,0.48,0.52
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",72,60,132,0.55,0.45
CE_a180_0,Ceres,Opposition,0,578,658,1236,0.47,0.53
"CE_a30_(0,4]",Ceres,SemiSextile,"(0,4]",120,144,264,0.45,0.55
CE_a30_0,Ceres,SemiSextile,0,530,574,1104,0.48,0.52
"CE_a36_(0,4]",Ceres,SemiQuintile,"(0,4]",119,137,256,0.46,0.54
CE_a36_0,Ceres,SemiQuintile,0,531,581,1112,0.48,0.52
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",141,159,300,0.47,0.53
CE_a45_0,Ceres,SemiSquare,0,509,559,1068,0.48,0.52
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",127,122,249,0.51,0.49
CE_a60_0,Ceres,Sextile,0,523,596,1119,0.47,0.53
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",90,104,194,0.46,0.54
CE_a72_0,Ceres,Quintile,0,560,614,1174,0.48,0.52
"CE_a90_(0,4]",Ceres,Square,"(0,4]",135,138,273,0.49,0.51
CE_a90_0,Ceres,Square,0,515,580,1095,0.47,0.53
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",64,72,136,0.47,0.53
CH_a0_0,Chiron,Conjunction,0,586,646,1232,0.48,0.52
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",156,195,351,0.44,0.56
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",51,47,98,0.52,0.48
CH_a103_0,Chiron,BiSeptile,0,443,476,919,0.48,0.52
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",143,179,322,0.44,0.56
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",24,34,58,0.41,0.59
CH_a120_0,Chiron,Trine,0,483,505,988,0.49,0.51
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",142,152,294,0.48,0.52
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",25,41,66,0.38,0.62
CH_a135_0,Chiron,SesquiSquare,0,483,525,1008,0.48,0.52
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",122,145,267,0.46,0.54
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",55,45,100,0.55,0.45
CH_a144_0,Chiron,BiQuintile,0,473,528,1001,0.47,0.53
"CH_a150_(0,1]",Chiron,Quincunx,"(0,1]",122,156,278,0.44,0.56
"CH_a150_(1,4]",Chiron,Quincunx,"(1,4]",24,31,55,0.44,0.56
CH_a150_0,Chiron,Quincunx,0,504,531,1035,0.49,0.51
