PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(3,8]",Ceres,"(3,8]",155,149,304,0.51,0.49
CE_3,Ceres,3,194,203,397,0.49,0.51
"CE_[0,2]",Ceres,"[0,2]",270,329,599,0.45,0.55
"CH_(3,4]",Chiron,"(3,4]",139,172,311,0.45,0.55
"CH_(4,5]",Chiron,"(4,5]",126,141,267,0.47,0.53
"CH_(5,11]",Chiron,"(5,11]",148,160,308,0.48,0.52
"CH_[0,3]",Chiron,"[0,3]",206,208,414,0.5,0.5
"JN_(1,2]",Juno,"(1,2]",225,199,424,0.53,0.47
"JN_(2,3]",Juno,"(2,3]",158,193,351,0.45,0.55
"JN_(3,7]",Juno,"(3,7]",92,123,215,0.43,0.57
"JN_[0,1]",Juno,"[0,1]",144,166,310,0.46,0.54
"JU_(2,3]",Jupiter,"(2,3]",173,205,378,0.46,0.54
"JU_(3,4]",Jupiter,"(3,4]",139,144,283,0.49,0.51
"JU_(4,8]",Jupiter,"(4,8]",79,83,162,0.49,0.51
"JU_[0,2]",Jupiter,"[0,2]",228,249,477,0.48,0.52
"MA_(2,5]",Mars,"(2,5]",125,137,262,0.48,0.52
MA_2,Mars,2,208,246,454,0.46,0.54
"MA_[0,1]",Mars,"[0,1]",286,298,584,0.49,0.51
"ME_(1,3]",Mercury,"(1,3]",80,73,153,0.52,0.48
ME_0,Mercury,0,170,188,358,0.47,0.53
ME_1,Mercury,1,369,420,789,0.47,0.53
"NE_(4,5]",Neptune,"(4,5]",119,124,243,0.49,0.51
"NE_(5,6]",Neptune,"(5,6]",107,94,201,0.53,0.47
"NE_(6,13]",Neptune,"(6,13]",163,176,339,0.48,0.52
"NE_[0,4]",Neptune,"[0,4]",230,287,517,0.44,0.56
"NN_(2,3]",NNode,"(2,3]",177,194,371,0.48,0.52
"NN_(3,4]",NNode,"(3,4]",137,152,289,0.47,0.53
"NN_(4,9]",NNode,"(4,9]",141,148,289,0.49,0.51
"NN_[0,2]",NNode,"[0,2]",164,187,351,0.47,0.53
"PA_(2,3]",Pallas,"(2,3]",178,201,379,0.47,0.53
"PA_(3,4]",Pallas,"(3,4]",132,160,292,0.45,0.55
"PA_(4,8]",Pallas,"(4,8]",73,91,164,0.45,0.55
"PA_[0,2]",Pallas,"[0,2]",236,229,465,0.51,0.49
"PH_(3,5]",Pholus,"(3,5]",236,252,488,0.48,0.52
"PH_(5,6]",Pholus,"(5,6]",82,109,191,0.43,0.57
"PH_(6,13]",Pholus,"(6,13]",108,114,222,0.49,0.51
"PH_[0,3]",Pholus,"[0,3]",193,206,399,0.48,0.52
"PL_(4,5]",Pluto,"(4,5]",125,139,264,0.47,0.53
"PL_(5,6]",Pluto,"(5,6]",95,109,204,0.47,0.53
"PL_(6,14]",Pluto,"(6,14]",108,104,212,0.51,0.49
"PL_[0,4]",Pluto,"[0,4]",291,329,620,0.47,0.53
"SA_(3,4]",Saturn,"(3,4]",130,128,258,0.5,0.5
"SA_(4,5]",Saturn,"(4,5]",139,125,264,0.53,0.47
"SA_(5,11]",Saturn,"(5,11]",164,211,375,0.44,0.56
"SA_[0,3]",Saturn,"[0,3]",186,217,403,0.46,0.54
"SN_(3,4]",SNode,"(3,4]",171,196,367,0.47,0.53
"SN_(4,5]",SNode,"(4,5]",124,157,281,0.44,0.56
"SN_(5,10]",SNode,"(5,10]",148,146,294,0.5,0.5
"SN_[1,3]",SNode,"[1,3]",176,182,358,0.49,0.51
"SU_(1,2]",Sun,"(1,2]",195,216,411,0.47,0.53
"SU_(2,4]",Sun,"(2,4]",29,55,84,0.35,0.65
SU_1,Sun,1,293,303,596,0.49,0.51
"SU_[0,1)",Sun,"[0,1)",102,107,209,0.49,0.51
"UR_(3,5]",Uranus,"(3,5]",254,293,547,0.46,0.54
"UR_(5,6]",Uranus,"(5,6]",127,115,242,0.52,0.48
"UR_(6,13]",Uranus,"(6,13]",120,143,263,0.46,0.54
"UR_[0,3]",Uranus,"[0,3]",118,130,248,0.48,0.52
"VE_(1,2]",Venus,"(1,2]",142,178,320,0.44,0.56
"VE_(2,3]",Venus,"(2,3]",20,28,48,0.42,0.58
VE_1,Venus,1,336,324,660,0.51,0.49
"VE_[0,1)",Venus,"[0,1)",121,151,272,0.44,0.56
"VS_(1,2]",Vesta,"(1,2]",227,251,478,0.47,0.53
"VS_(2,3]",Vesta,"(2,3]",141,147,288,0.49,0.51
"VS_(3,6]",Vesta,"(3,6]",55,54,109,0.5,0.5
"VS_[0,1]",Vesta,"[0,1]",196,229,425,0.46,0.54
