PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,444,492,936,0.47,0.53
CE_RET,Ceres,Retrograde,136,152,288,0.47,0.53
CE_STA,Ceres,Stationary,28,19,47,0.6,0.4
CH_DIR,Chiron,Direct,330,326,656,0.5,0.5
CH_RET,Chiron,Retrograde,246,293,539,0.46,0.54
CH_STA,Chiron,Stationary,32,44,76,0.42,0.58
JN_DIR,Juno,Direct,500,541,1041,0.48,0.52
JN_RET,Juno,Retrograde,86,99,185,0.46,0.54
JN_STA,Juno,Stationary,22,23,45,0.49,0.51
JU_DIR,Jupiter,Direct,411,445,856,0.48,0.52
JU_RET,Jupiter,Retrograde,173,185,358,0.48,0.52
JU_STA,Jupiter,Stationary,24,33,57,0.42,0.58
MA_DIR,Mars,Direct,536,579,1115,0.48,0.52
MA_RET,Mars,Retrograde,56,66,122,0.46,0.54
MA_STA,Mars,Stationary,16,18,34,0.47,0.53
ME_DIR,Mercury,Direct,470,512,982,0.48,0.52
ME_RET,Mercury,Retrograde,125,127,252,0.5,0.5
ME_STA,Mercury,Stationary,13,24,37,0.35,0.65
MO_DIR,Moon,Direct,608,663,1271,0.48,0.52
NE_DIR,Neptune,Direct,322,316,638,0.5,0.5
NE_RET,Neptune,Retrograde,234,273,507,0.46,0.54
NE_STA,Neptune,Stationary,52,74,126,0.41,0.59
NN_DIR,NNode,Direct,608,663,1271,0.48,0.52
PA_DIR,Pallas,Direct,435,488,923,0.47,0.53
PA_RET,Pallas,Retrograde,153,153,306,0.5,0.5
PA_STA,Pallas,Stationary,20,22,42,0.48,0.52
PH_DIR,Pholus,Direct,324,368,692,0.47,0.53
PH_RET,Pholus,Retrograde,224,240,464,0.48,0.52
PH_STA,Pholus,Stationary,60,55,115,0.52,0.48
PL_DIR,Pluto,Direct,325,353,678,0.48,0.52
PL_RET,Pluto,Retrograde,215,238,453,0.47,0.53
PL_STA,Pluto,Stationary,68,72,140,0.49,0.51
SA_DIR,Saturn,Direct,372,403,775,0.48,0.52
SA_RET,Saturn,Retrograde,196,213,409,0.48,0.52
SA_STA,Saturn,Stationary,40,47,87,0.46,0.54
SN_DIR,SNode,Direct,608,663,1271,0.48,0.52
SU_DIR,Sun,Direct,608,663,1271,0.48,0.52
UR_DIR,Uranus,Direct,318,321,639,0.5,0.5
UR_RET,Uranus,Retrograde,247,302,549,0.45,0.55
UR_STA,Uranus,Stationary,43,40,83,0.52,0.48
VE_DIR,Venus,Direct,568,597,1165,0.49,0.51
VE_RET,Venus,Retrograde,31,54,85,0.36,0.64
VE_STA,Venus,Stationary,9,12,21,0.43,0.57
VS_DIR,Vesta,Direct,491,537,1028,0.48,0.52
VS_RET,Vesta,Retrograde,97,108,205,0.47,0.53
VS_STA,Vesta,Stationary,20,18,38,0.53,0.47
