PlanetVedicMansion,Planet,VedicMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_VM08,Ceres,Pushya,2,0,2,1,0
CE_VM09,Ceres,Ashlesha,12,23,35,0.34,0.66
CE_VM10,Ceres,Magha,78,73,151,0.52,0.48
CE_VM11,Ceres,PurvaPhalguni,63,54,117,0.54,0.46
CE_VM12,Ceres,UttaraPhalguni,15,18,33,0.45,0.55
CE_VM13,Ceres,Hasta,9,22,31,0.29,0.71
CE_VM14,Ceres,Chitra,13,16,29,0.45,0.55
CE_VM15,Ceres,Swati,19,11,30,0.63,0.37
CE_VM16,Ceres,Vishakha,7,23,30,0.23,0.77
CE_VM17,Ceres,Anuradha,13,19,32,0.41,0.59
CE_VM18,Ceres,Jyeshtha,16,19,35,0.46,0.54
CE_VM19,Ceres,Mula,96,116,212,0.45,0.55
CE_VM20,Ceres,PurvaAshada,39,35,74,0.53,0.47
CE_VM21,Ceres,UttaraAshada,11,24,35,0.31,0.69
CE_VM22,Ceres,Shravana,17,16,33,0.52,0.48
CE_VM23,Ceres,Danishtha,21,13,34,0.62,0.38
CE_VM24,Ceres,Shatabhisha,15,21,36,0.42,0.58
CE_VM25,Ceres,PurvaBhadrapada,59,61,120,0.49,0.51
CE_VM26,Ceres,UttaraBhadrapada,82,91,173,0.47,0.53
CE_VM27,Ceres,Revati,12,8,20,0.6,0.4
CH_,Chiron,,1,0,1,1,0
CH_VM01,Chiron,Aswini,419,455,874,0.48,0.52
CH_VM27,Chiron,Revati,179,208,387,0.46,0.54
JN_VM01,Juno,Aswini,13,15,28,0.46,0.54
JN_VM02,Juno,Bharani,9,19,28,0.32,0.68
JN_VM03,Juno,Krittica,15,16,31,0.48,0.52
JN_VM04,Juno,Rohini,37,52,89,0.42,0.58
JN_VM05,Juno,Mrigashira,50,80,130,0.38,0.62
JN_VM06,Juno,Ardra,19,11,30,0.63,0.37
JN_VM07,Juno,Punavasu,12,16,28,0.43,0.57
JN_VM08,Juno,Pushya,13,14,27,0.48,0.52
JN_VM09,Juno,Ashlesha,16,12,28,0.57,0.43
JN_VM10,Juno,Magha,9,18,27,0.33,0.67
