PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
JUSA_a60,1,220,0.001,0.005,0.001,0.001,0.005,-0.016,0.019,0.035,0.114,0.617,0
MAJU_a60,1,249,0,0.009,0,0,0.005,-0.029,0.052,0.082,0.716,7.104,0.001
MASA_a120,1,185,0.001,0.007,0.001,0.001,0.006,-0.014,0.044,0.057,1.399,6.885,0.001
MAUR_a103,1,240,0,0.01,0,0,0.006,-0.074,0.065,0.139,-0.913,21.63,0.001
MEJU_a0,1,119,0.001,0.007,0,0.001,0.005,-0.024,0.02,0.043,0.208,1.299,0.001
MEMA_a60,1,243,0,0.008,0,0,0.006,-0.039,0.028,0.067,-0.655,4.024,0.001
MEVE_a60,1,399,0.001,0.007,0.001,0.001,0.006,-0.028,0.024,0.052,-0.208,1.238,0
MOJU_a135,1,695,0,0.008,0,0,0.006,-0.051,0.042,0.093,-0.111,5.915,0
MOME_a135,1,638,0,0.009,0.001,0.001,0.006,-0.058,0.034,0.092,-1.102,7.401,0
SUMA_a45,1,310,0,0.009,0,0,0.007,-0.047,0.032,0.079,-0.377,4.623,0
VEJU_a60,1,239,0.001,0.009,0.001,0.001,0.005,-0.043,0.041,0.084,-0.247,4.5,0.001
VEMA_a0,1,215,-0.001,0.008,0,0,0.006,-0.047,0.032,0.079,-0.755,5.024,0.001
VESA_a120,1,212,0,0.009,0.001,0,0.007,-0.032,0.05,0.081,0.552,5.752,0.001
VESU_a45,1,1919,0,0.009,0.001,0.001,0.005,-0.091,0.078,0.169,-0.876,16.766,0
VEUR_a103,1,211,0,0.008,0,0,0.006,-0.046,0.021,0.067,-0.829,5.494,0.001
MOUR_a180,1,339,0,0.009,0,0,0.006,-0.091,0.029,0.12,-2.874,27.358,0.001
MEUR_a45,1,230,0,0.008,0.001,0,0.007,-0.051,0.015,0.067,-1.65,7.711,0.001
MOPL_a135,1,679,0,0.008,0.001,0.001,0.006,-0.049,0.041,0.09,-0.719,5.298,0
MANE_a90,1,226,-0.001,0.014,0.001,0,0.006,-0.172,0.019,0.191,-8.502,99.635,0.001
MEPL_a90,1,218,0.001,0.007,0.001,0.001,0.005,-0.029,0.023,0.052,-0.38,3.027,0
SUUR_a60,1,217,-0.001,0.014,0.001,0,0.006,-0.172,0.022,0.194,-8.957,107.723,0.001
VENE_a90,1,231,0.001,0.01,0.001,0.001,0.007,-0.058,0.057,0.115,-0.184,10.387,0.001
MOSA_a120,1,677,0,0.008,0,0,0.006,-0.04,0.05,0.089,-0.204,5.641,0
MOJU_a180,1,315,0.001,0.008,0.001,0.001,0.006,-0.051,0.044,0.095,-0.405,7.25,0
MOMA_a120,1,648,0.001,0.008,0,0.001,0.006,-0.049,0.054,0.102,0.467,7.352,0
MOVE_a120,1,624,0,0.008,0,0,0.005,-0.051,0.04,0.091,-1.045,7.147,0
MOUR_a135,1,673,0,0.008,0.001,0,0.006,-0.049,0.05,0.098,-0.454,6.707,0
MONE_a150,1,662,0,0.008,0.001,0,0.006,-0.04,0.03,0.07,-0.425,3.25,0
SUNE_a45,1,208,0,0.007,0.001,0,0.006,-0.03,0.03,0.06,-0.21,4.261,0
SUPL_a103,1,227,0.001,0.007,0.001,0.001,0.005,-0.024,0.041,0.065,0.628,4.66,0
MOPL_a90,1,680,0.001,0.009,0.001,0.001,0.006,-0.091,0.057,0.148,-1.088,19.774,0
MOME_a180,1,312,0,0.009,0,0,0.006,-0.038,0.057,0.095,1.116,9.455,0.001
MOSA_a103,1,681,0,0.008,0.001,0.001,0.005,-0.046,0.03,0.076,-0.994,5.494,0
VEPL_a150,1,208,0,0.007,0.001,0,0.006,-0.031,0.015,0.046,-0.721,1.23,0
MOSU_a180,1,319,0.001,0.009,0.001,0.001,0.006,-0.049,0.051,0.1,0.152,7.995,0
MOMA_a135,1,666,0.001,0.008,0.001,0.001,0.006,-0.041,0.05,0.091,0.024,5.62,0
MOUR_a120,1,672,0,0.007,0,0,0.006,-0.041,0.024,0.065,-1.004,4.315,0
MONE_a135,1,674,0,0.008,0.001,0.001,0.006,-0.091,0.031,0.121,-2.283,24.324,0
MOVE_a135,1,645,0.001,0.008,0.001,0.001,0.006,-0.074,0.057,0.131,-1.144,15.137,0
MOSA_a90,1,676,0,0.011,0,0,0.006,-0.172,0.041,0.214,-7.126,108.033,0
MAPL_a150,1,253,0,0.007,0.001,0,0.007,-0.02,0.031,0.05,0.233,1.444,0
MOJU_a150,1,691,0,0.007,0,0.001,0.006,-0.046,0.038,0.084,-0.196,3.736,0
MOMA_a150,1,649,0,0.008,0,0,0.006,-0.046,0.057,0.103,0.243,6.387,0
MONE_a120,1,671,0,0.008,0.001,0,0.006,-0.045,0.065,0.11,0.283,9.915,0
MOUR_a103,1,673,0,0.007,0.001,0.001,0.006,-0.046,0.031,0.077,-0.804,5.029,0
MOVE_a150,1,632,0.001,0.008,0.001,0.001,0.006,-0.05,0.041,0.091,0.077,5.574,0
MOPL_a60,1,666,0,0.009,0.001,0.001,0.006,-0.058,0.065,0.122,-0.278,10.043,0
NEPL_a60,1,606,0.001,0.007,0.001,0.001,0.006,-0.04,0.025,0.065,-0.428,2.707,0
MOME_a150,1,623,0,0.008,0.001,0,0.006,-0.05,0.041,0.091,-0.463,6.089,0
JUUR_a45,1,225,0,0.008,0.001,0,0.006,-0.038,0.027,0.065,-0.594,2.838,0.001
MOUR_a90,1,678,0,0.01,0.001,0,0.006,-0.172,0.024,0.196,-7.091,111.62,0
MOSU_a150,1,629,0.001,0.008,0.001,0.001,0.006,-0.03,0.05,0.08,0.244,3.869,0
MONE_a103,1,673,0,0.01,0.001,0,0.006,-0.172,0.052,0.225,-6.613,111.05,0
MOPL_a45,1,672,0,0.009,0.001,0,0.006,-0.057,0.052,0.109,-0.707,6.508,0
MOSA_a60,1,669,0.001,0.009,0.001,0.001,0.006,-0.032,0.081,0.113,2.429,19.999,0
