PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(4,5]",Ceres,"(4,5]",824,627,1451,0.57,0.43
"CE_(5,7]",Ceres,"(5,7]",1302,1097,2399,0.54,0.46
"CE_(7,13]",Ceres,"(7,13]",563,503,1066,0.53,0.47
"CE_[0,4]",Ceres,"[0,4]",1389,1133,2522,0.55,0.45
"CH_(4,5]",Chiron,"(4,5]",748,685,1433,0.52,0.48
"CH_(5,7]",Chiron,"(5,7]",1390,1146,2536,0.55,0.45
"CH_(7,13]",Chiron,"(7,13]",665,502,1167,0.57,0.43
"CH_[0,4]",Chiron,"[0,4]",1275,1027,2302,0.55,0.45
"JN_(4,5]",Juno,"(4,5]",787,640,1427,0.55,0.45
"JN_(5,7]",Juno,"(5,7]",1335,1051,2386,0.56,0.44
"JN_(7,14]",Juno,"(7,14]",521,454,975,0.53,0.47
"JN_[0,4]",Juno,"[0,4]",1435,1215,2650,0.54,0.46
"JU_(4,5]",Jupiter,"(4,5]",787,664,1451,0.54,0.46
"JU_(5,7]",Jupiter,"(5,7]",1307,1121,2428,0.54,0.46
"JU_(7,12]",Jupiter,"(7,12]",567,441,1008,0.56,0.44
"JU_[0,4]",Jupiter,"[0,4]",1417,1134,2551,0.56,0.44
"MA_(4,5]",Mars,"(4,5]",791,665,1456,0.54,0.46
"MA_(5,7]",Mars,"(5,7]",1240,1006,2246,0.55,0.45
"MA_(7,13]",Mars,"(7,13]",513,463,976,0.53,0.47
"MA_[0,4]",Mars,"[0,4]",1534,1226,2760,0.56,0.44
"ME_(4,5]",Mercury,"(4,5]",826,656,1482,0.56,0.44
"ME_(5,7]",Mercury,"(5,7]",1205,1041,2246,0.54,0.46
"ME_(7,14]",Mercury,"(7,14]",501,398,899,0.56,0.44
"ME_[0,4]",Mercury,"[0,4]",1546,1265,2811,0.55,0.45
"MO_(13,15]",Moon,"(13,15]",1168,990,2158,0.54,0.46
"MO_(15,17]",Moon,"(15,17]",986,822,1808,0.55,0.45
"MO_(17,27]",Moon,"(17,27]",713,540,1253,0.57,0.43
"MO_[5,13]",Moon,"[5,13]",1211,1008,2219,0.55,0.45
"NE_(4,5]",Neptune,"(4,5]",808,681,1489,0.54,0.46
"NE_(5,6]",Neptune,"(5,6]",679,554,1233,0.55,0.45
"NE_(6,13]",Neptune,"(6,13]",875,660,1535,0.57,0.43
"NE_[0,4]",Neptune,"[0,4]",1716,1465,3181,0.54,0.46
"NN_(5,6]",NNode,"(5,6]",842,731,1573,0.54,0.46
"NN_(6,7]",NNode,"(6,7]",729,580,1309,0.56,0.44
"NN_(7,13]",NNode,"(7,13]",823,688,1511,0.54,0.46
"NN_[1,5]",NNode,"[1,5]",1684,1361,3045,0.55,0.45
"PA_(4,5]",Pallas,"(4,5]",745,671,1416,0.53,0.47
"PA_(5,7]",Pallas,"(5,7]",1334,1019,2353,0.57,0.43
"PA_(7,13]",Pallas,"(7,13]",545,484,1029,0.53,0.47
"PA_[0,4]",Pallas,"[0,4]",1454,1186,2640,0.55,0.45
"PH_(4,5]",Pholus,"(4,5]",821,634,1455,0.56,0.44
"PH_(5,6]",Pholus,"(5,6]",689,575,1264,0.55,0.45
"PH_(6,13]",Pholus,"(6,13]",972,844,1816,0.54,0.46
"PH_[0,4]",Pholus,"[0,4]",1596,1307,2903,0.55,0.45
"PL_(4,5]",Pluto,"(4,5]",856,732,1588,0.54,0.46
"PL_(5,6]",Pluto,"(5,6]",680,554,1234,0.55,0.45
"PL_(6,14]",Pluto,"(6,14]",865,670,1535,0.56,0.44
"PL_[0,4]",Pluto,"[0,4]",1677,1404,3081,0.54,0.46
"SA_(4,5]",Saturn,"(4,5]",761,630,1391,0.55,0.45
"SA_(5,7]",Saturn,"(5,7]",1253,1009,2262,0.55,0.45
"SA_(7,14]",Saturn,"(7,14]",532,465,997,0.53,0.47
"SA_[0,4]",Saturn,"[0,4]",1532,1256,2788,0.55,0.45
"SN_(5,6]",SNode,"(5,6]",875,720,1595,0.55,0.45
"SN_(6,7]",SNode,"(6,7]",705,577,1282,0.55,0.45
"SN_(7,13]",SNode,"(7,13]",856,734,1590,0.54,0.46
"SN_[1,5]",SNode,"[1,5]",1642,1329,2971,0.55,0.45
"SU_(4,5]",Sun,"(4,5]",851,684,1535,0.55,0.45
"SU_(5,7]",Sun,"(5,7]",1242,1060,2302,0.54,0.46
"SU_(7,14]",Sun,"(7,14]",539,440,979,0.55,0.45
"SU_[0,4]",Sun,"[0,4]",1446,1176,2622,0.55,0.45
"UR_(4,5]",Uranus,"(4,5]",824,637,1461,0.56,0.44
"UR_(5,7]",Uranus,"(5,7]",1335,1101,2436,0.55,0.45
"UR_(7,15]",Uranus,"(7,15]",774,592,1366,0.57,0.43
"UR_[0,4]",Uranus,"[0,4]",1145,1030,2175,0.53,0.47
"VE_(4,5]",Venus,"(4,5]",783,668,1451,0.54,0.46
"VE_(5,7]",Venus,"(5,7]",1311,1025,2336,0.56,0.44
"VE_(7,14]",Venus,"(7,14]",683,575,1258,0.54,0.46
"VE_[0,4]",Venus,"[0,4]",1301,1092,2393,0.54,0.46
"VS_(4,5]",Vesta,"(4,5]",803,652,1455,0.55,0.45
"VS_(5,7]",Vesta,"(5,7]",1210,1069,2279,0.53,0.47
"VS_(7,13]",Vesta,"(7,13]",554,467,1021,0.54,0.46
"VS_[0,4]",Vesta,"[0,4]",1511,1172,2683,0.56,0.44
