PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,2]",Ceres,Conjunction,"(0,2]",403,266,669,0.6,0.4
CE_a0_0,Ceres,Conjunction,0,3650,3071,6721,0.54,0.46
"CE_a103_(0,3]",Ceres,BiSeptile,"(0,3]",769,631,1400,0.55,0.45
CE_a103_0,Ceres,BiSeptile,0,3284,2706,5990,0.55,0.45
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",765,597,1362,0.56,0.44
CE_a120_0,Ceres,Trine,0,3288,2740,6028,0.55,0.45
"CE_a135_(0,3]",Ceres,SesquiSquare,"(0,3]",792,624,1416,0.56,0.44
CE_a135_0,Ceres,SesquiSquare,0,3261,2713,5974,0.55,0.45
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",762,686,1448,0.53,0.47
CE_a144_0,Ceres,BiQuintile,0,3291,2651,5942,0.55,0.45
"CE_a150_(0,3]",Ceres,Quincunx,"(0,3]",703,632,1335,0.53,0.47
CE_a150_0,Ceres,Quincunx,0,3350,2705,6055,0.55,0.45
"CE_a180_(0,2]",Ceres,Opposition,"(0,2]",387,283,670,0.58,0.42
CE_a180_0,Ceres,Opposition,0,3666,3054,6720,0.55,0.45
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",977,807,1784,0.55,0.45
"CE_a30_(1,3]",Ceres,SemiSextile,"(1,3]",182,137,319,0.57,0.43
CE_a30_0,Ceres,SemiSextile,0,2894,2393,5287,0.55,0.45
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",968,775,1743,0.56,0.44
"CE_a36_(1,4]",Ceres,SemiQuintile,"(1,4]",238,155,393,0.61,0.39
CE_a36_0,Ceres,SemiQuintile,0,2847,2407,5254,0.54,0.46
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",1033,855,1888,0.55,0.45
CE_a45_0,Ceres,SemiSquare,0,3020,2482,5502,0.55,0.45
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",874,754,1628,0.54,0.46
CE_a60_0,Ceres,Sextile,0,3179,2583,5762,0.55,0.45
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",750,705,1455,0.52,0.48
CE_a72_0,Ceres,Quintile,0,3303,2632,5935,0.56,0.44
"CE_a90_(0,3]",Ceres,Square,"(0,3]",625,506,1131,0.55,0.45
CE_a90_0,Ceres,Square,0,3428,2831,6259,0.55,0.45
"CH_a0_(0,1]",Chiron,Conjunction,"(0,1]",286,198,484,0.59,0.41
CH_a0_0,Chiron,Conjunction,0,3767,3139,6906,0.55,0.45
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",132,79,211,0.63,0.37
CH_a103_0,Chiron,BiSeptile,0,3921,3258,7179,0.55,0.45
"CH_a120_(0,2]",Chiron,Trine,"(0,2]",86,66,152,0.57,0.43
CH_a120_0,Chiron,Trine,0,3967,3271,7238,0.55,0.45
"CH_a135_(0,2]",Chiron,SesquiSquare,"(0,2]",54,39,93,0.58,0.42
CH_a135_0,Chiron,SesquiSquare,0,3999,3298,7297,0.55,0.45
"CH_a144_(0,2]",Chiron,BiQuintile,"(0,2]",78,72,150,0.52,0.48
CH_a144_0,Chiron,BiQuintile,0,3975,3265,7240,0.55,0.45
"CH_a150_(0,2]",Chiron,Quincunx,"(0,2]",38,43,81,0.47,0.53
CH_a150_0,Chiron,Quincunx,0,4015,3294,7309,0.55,0.45
CH_a180_0,Chiron,Opposition,0,4053,3337,7390,0.55,0.45
CH_a30_0,Chiron,SemiSextile,0,2320,1959,4279,0.54,0.46
CH_a30_1,Chiron,SemiSextile,1,1733,1378,3111,0.56,0.44
"CH_a36_(0,2]",Chiron,SemiQuintile,"(0,2]",521,448,969,0.54,0.46
CH_a36_0,Chiron,SemiQuintile,0,3532,2889,6421,0.55,0.45
"CH_a45_(0,2]",Chiron,SemiSquare,"(0,2]",397,409,806,0.49,0.51
CH_a45_0,Chiron,SemiSquare,0,3656,2928,6584,0.56,0.44
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",599,498,1097,0.55,0.45
CH_a60_0,Chiron,Sextile,0,3454,2839,6293,0.55,0.45
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",683,507,1190,0.57,0.43
CH_a72_0,Chiron,Quintile,0,3370,2830,6200,0.54,0.46
"CH_a90_(0,1]",Chiron,Square,"(0,1]",443,354,797,0.56,0.44
CH_a90_0,Chiron,Square,0,3610,2983,6593,0.55,0.45
"JN_a0_(0,2]",Juno,Conjunction,"(0,2]",448,336,784,0.57,0.43
JN_a0_0,Juno,Conjunction,0,3605,3001,6606,0.55,0.45
"JN_a103_(0,4]",Juno,BiSeptile,"(0,4]",907,823,1730,0.52,0.48
JN_a103_0,Juno,BiSeptile,0,3146,2514,5660,0.56,0.44
"JN_a120_(0,3]",Juno,Trine,"(0,3]",1024,879,1903,0.54,0.46
JN_a120_0,Juno,Trine,0,3029,2458,5487,0.55,0.45
"JN_a135_(0,3]",Juno,SesquiSquare,"(0,3]",941,771,1712,0.55,0.45
JN_a135_0,Juno,SesquiSquare,0,3112,2566,5678,0.55,0.45
"JN_a144_(0,3]",Juno,BiQuintile,"(0,3]",1018,811,1829,0.56,0.44
JN_a144_0,Juno,BiQuintile,0,3035,2526,5561,0.55,0.45
"JN_a150_(0,3]",Juno,Quincunx,"(0,3]",919,801,1720,0.53,0.47
JN_a150_0,Juno,Quincunx,0,3134,2536,5670,0.55,0.45
"JN_a180_(0,3]",Juno,Opposition,"(0,3]",589,437,1026,0.57,0.43
JN_a180_0,Juno,Opposition,0,3464,2900,6364,0.54,0.46
"JN_a30_(0,3]",Juno,SemiSextile,"(0,3]",833,668,1501,0.55,0.45
JN_a30_0,Juno,SemiSextile,0,3220,2669,5889,0.55,0.45
"JN_a36_(0,3]",Juno,SemiQuintile,"(0,3]",773,612,1385,0.56,0.44
JN_a36_0,Juno,SemiQuintile,0,3280,2725,6005,0.55,0.45
"JN_a45_(0,3]",Juno,SemiSquare,"(0,3]",812,636,1448,0.56,0.44
JN_a45_0,Juno,SemiSquare,0,3241,2701,5942,0.55,0.45
"JN_a60_(0,3]",Juno,Sextile,"(0,3]",834,748,1582,0.53,0.47
JN_a60_0,Juno,Sextile,0,3219,2589,5808,0.55,0.45
"JN_a72_(0,3]",Juno,Quintile,"(0,3]",845,738,1583,0.53,0.47
JN_a72_0,Juno,Quintile,0,3208,2599,5807,0.55,0.45
"JN_a90_(0,3]",Juno,Square,"(0,3]",941,712,1653,0.57,0.43
JN_a90_0,Juno,Square,0,3112,2625,5737,0.54,0.46
"JU_a0_(0,2]",Jupiter,Conjunction,"(0,2]",300,234,534,0.56,0.44
JU_a0_0,Jupiter,Conjunction,0,3753,3103,6856,0.55,0.45
"JU_a103_(0,2]",Jupiter,BiSeptile,"(0,2]",694,578,1272,0.55,0.45
JU_a103_0,Jupiter,BiSeptile,0,3359,2759,6118,0.55,0.45
"JU_a120_(0,3]",Jupiter,Trine,"(0,3]",723,575,1298,0.56,0.44
JU_a120_0,Jupiter,Trine,0,3330,2762,6092,0.55,0.45
"JU_a135_(0,3]",Jupiter,SesquiSquare,"(0,3]",625,519,1144,0.55,0.45
JU_a135_0,Jupiter,SesquiSquare,0,3428,2818,6246,0.55,0.45
"JU_a144_(0,3]",Jupiter,BiQuintile,"(0,3]",755,589,1344,0.56,0.44
JU_a144_0,Jupiter,BiQuintile,0,3298,2748,6046,0.55,0.45
"JU_a150_(0,3]",Jupiter,Quincunx,"(0,3]",631,580,1211,0.52,0.48
JU_a150_0,Jupiter,Quincunx,0,3422,2757,6179,0.55,0.45
"JU_a180_(0,2]",Jupiter,Opposition,"(0,2]",334,299,633,0.53,0.47
JU_a180_0,Jupiter,Opposition,0,3719,3038,6757,0.55,0.45
"JU_a30_(0,3]",Jupiter,SemiSextile,"(0,3]",627,498,1125,0.56,0.44
JU_a30_0,Jupiter,SemiSextile,0,3426,2839,6265,0.55,0.45
"JU_a36_(0,3]",Jupiter,SemiQuintile,"(0,3]",725,635,1360,0.53,0.47
JU_a36_0,Jupiter,SemiQuintile,0,3328,2702,6030,0.55,0.45
"JU_a45_(0,2]",Jupiter,SemiSquare,"(0,2]",842,685,1527,0.55,0.45
JU_a45_0,Jupiter,SemiSquare,0,3211,2652,5863,0.55,0.45
"JU_a60_(0,3]",Jupiter,Sextile,"(0,3]",723,551,1274,0.57,0.43
JU_a60_0,Jupiter,Sextile,0,3330,2786,6116,0.54,0.46
"JU_a72_(0,3]",Jupiter,Quintile,"(0,3]",777,631,1408,0.55,0.45
JU_a72_0,Jupiter,Quintile,0,3276,2706,5982,0.55,0.45
"JU_a90_(0,3]",Jupiter,Square,"(0,3]",740,533,1273,0.58,0.42
JU_a90_0,Jupiter,Square,0,3313,2804,6117,0.54,0.46
"MA_a0_(0,3]",Mars,Conjunction,"(0,3]",555,504,1059,0.52,0.48
MA_a0_0,Mars,Conjunction,0,3498,2833,6331,0.55,0.45
"MA_a103_(0,1]",Mars,BiSeptile,"(0,1]",893,764,1657,0.54,0.46
"MA_a103_(1,4]",Mars,BiSeptile,"(1,4]",135,109,244,0.55,0.45
MA_a103_0,Mars,BiSeptile,0,3025,2464,5489,0.55,0.45
"MA_a120_(0,1]",Mars,Trine,"(0,1]",868,778,1646,0.53,0.47
"MA_a120_(1,3]",Mars,Trine,"(1,3]",152,100,252,0.6,0.4
MA_a120_0,Mars,Trine,0,3033,2459,5492,0.55,0.45
"MA_a135_(0,4]",Mars,SesquiSquare,"(0,4]",965,855,1820,0.53,0.47
MA_a135_0,Mars,SesquiSquare,0,3088,2482,5570,0.55,0.45
"MA_a144_(0,1]",Mars,BiQuintile,"(0,1]",967,757,1724,0.56,0.44
"MA_a144_(1,4]",Mars,BiQuintile,"(1,4]",126,131,257,0.49,0.51
MA_a144_0,Mars,BiQuintile,0,2960,2449,5409,0.55,0.45
"MA_a150_(0,1]",Mars,Quincunx,"(0,1]",910,777,1687,0.54,0.46
"MA_a150_(1,4]",Mars,Quincunx,"(1,4]",156,101,257,0.61,0.39
MA_a150_0,Mars,Quincunx,0,2987,2459,5446,0.55,0.45
"MA_a180_(0,3]",Mars,Opposition,"(0,3]",581,465,1046,0.56,0.44
MA_a180_0,Mars,Opposition,0,3472,2872,6344,0.55,0.45
"MA_a30_(0,1]",Mars,SemiSextile,"(0,1]",1000,810,1810,0.55,0.45
"MA_a30_(1,3]",Mars,SemiSextile,"(1,3]",170,116,286,0.59,0.41
MA_a30_0,Mars,SemiSextile,0,2883,2411,5294,0.54,0.46
"MA_a36_(0,1]",Mars,SemiQuintile,"(0,1]",898,736,1634,0.55,0.45
"MA_a36_(1,4]",Mars,SemiQuintile,"(1,4]",158,139,297,0.53,0.47
MA_a36_0,Mars,SemiQuintile,0,2997,2462,5459,0.55,0.45
"MA_a45_(0,1]",Mars,SemiSquare,"(0,1]",891,767,1658,0.54,0.46
"MA_a45_(1,4]",Mars,SemiSquare,"(1,4]",131,94,225,0.58,0.42
MA_a45_0,Mars,SemiSquare,0,3031,2476,5507,0.55,0.45
"MA_a60_(0,1]",Mars,Sextile,"(0,1]",826,699,1525,0.54,0.46
"MA_a60_(1,5]",Mars,Sextile,"(1,5]",170,107,277,0.61,0.39
MA_a60_0,Mars,Sextile,0,3057,2531,5588,0.55,0.45
"MA_a72_(0,1]",Mars,Quintile,"(0,1]",919,761,1680,0.55,0.45
"MA_a72_(1,4]",Mars,Quintile,"(1,4]",95,89,184,0.52,0.48
