PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,3144,2552,5696,0.55,0.45
CE_RET,Ceres,Retrograde,849,729,1578,0.54,0.46
CE_STA,Ceres,Stationary,135,122,257,0.53,0.47
CH_DIR,Chiron,Direct,2394,1962,4356,0.55,0.45
CH_RET,Chiron,Retrograde,1547,1288,2835,0.55,0.45
CH_STA,Chiron,Stationary,187,153,340,0.55,0.45
JN_DIR,Juno,Direct,3071,2587,5658,0.54,0.46
JN_RET,Juno,Retrograde,893,678,1571,0.57,0.43
JN_STA,Juno,Stationary,164,138,302,0.54,0.46
JU_DIR,Jupiter,Direct,2721,2184,4905,0.55,0.45
JU_RET,Jupiter,Retrograde,1209,1062,2271,0.53,0.47
JU_STA,Jupiter,Stationary,198,157,355,0.56,0.44
MA_DIR,Mars,Direct,3636,3022,6658,0.55,0.45
MA_RET,Mars,Retrograde,395,315,710,0.56,0.44
MA_STA,Mars,Stationary,97,66,163,0.6,0.4
ME_DIR,Mercury,Direct,3228,2632,5860,0.55,0.45
ME_RET,Mercury,Retrograde,768,668,1436,0.53,0.47
ME_STA,Mercury,Stationary,132,103,235,0.56,0.44
MO_DIR,Moon,Direct,4128,3403,7531,0.55,0.45
NE_DIR,Neptune,Direct,2154,1670,3824,0.56,0.44
NE_RET,Neptune,Retrograde,1551,1407,2958,0.52,0.48
NE_STA,Neptune,Stationary,423,326,749,0.56,0.44
NN_DIR,NNode,Direct,4128,3403,7531,0.55,0.45
PA_DIR,Pallas,Direct,3095,2446,5541,0.56,0.44
PA_RET,Pallas,Retrograde,902,839,1741,0.52,0.48
PA_STA,Pallas,Stationary,131,118,249,0.53,0.47
PH_DIR,Pholus,Direct,2282,1834,4116,0.55,0.45
PH_RET,Pholus,Retrograde,1580,1371,2951,0.54,0.46
PH_STA,Pholus,Stationary,266,198,464,0.57,0.43
PL_DIR,Pluto,Direct,2149,1674,3823,0.56,0.44
PL_RET,Pluto,Retrograde,1547,1373,2920,0.53,0.47
PL_STA,Pluto,Stationary,432,356,788,0.55,0.45
SA_DIR,Saturn,Direct,2445,1980,4425,0.55,0.45
SA_RET,Saturn,Retrograde,1430,1215,2645,0.54,0.46
SA_STA,Saturn,Stationary,253,208,461,0.55,0.45
SN_DIR,SNode,Direct,4128,3403,7531,0.55,0.45
SU_DIR,Sun,Direct,4128,3403,7531,0.55,0.45
UR_DIR,Uranus,Direct,2300,1825,4125,0.56,0.44
UR_RET,Uranus,Retrograde,1559,1358,2917,0.53,0.47
UR_STA,Uranus,Stationary,269,220,489,0.55,0.45
VE_DIR,Venus,Direct,3790,3079,6869,0.55,0.45
VE_RET,Venus,Retrograde,270,251,521,0.52,0.48
VE_STA,Venus,Stationary,68,73,141,0.48,0.52
VS_DIR,Vesta,Direct,3225,2692,5917,0.55,0.45
VS_RET,Vesta,Retrograde,771,600,1371,0.56,0.44
VS_STA,Vesta,Stationary,132,111,243,0.54,0.46
