PlanetZodSign,Planet,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_ARI,Ceres,Aries,352,318,670,0.53,0.47
CE_Z02_TAU,Ceres,Taurus,312,321,633,0.49,0.51
CE_Z03_GEM,Ceres,Gemini,290,242,532,0.55,0.45
CE_Z04_CAN,Ceres,Cancer,266,231,497,0.54,0.46
CE_Z05_LEO,Ceres,Leo,309,269,578,0.53,0.47
CE_Z06_VIR,Ceres,Virgo,250,233,483,0.52,0.48
CE_Z07_LIB,Ceres,Libra,271,214,485,0.56,0.44
CE_Z08_SCO,Ceres,Scorpio,255,230,485,0.53,0.47
CE_Z09_SAG,Ceres,Sagittarius,407,306,713,0.57,0.43
CE_Z10_CAP,Ceres,Capricorn,363,340,703,0.52,0.48
CE_Z11_AQU,Ceres,Aquarius,408,373,781,0.52,0.48
CE_Z12_PIS,Ceres,Pisces,437,330,767,0.57,0.43
CH_Z01_ARI,Chiron,Aries,340,269,609,0.56,0.44
CH_Z05_LEO,Chiron,Leo,226,196,422,0.54,0.46
CH_Z06_VIR,Chiron,Virgo,275,233,508,0.54,0.46
CH_Z07_LIB,Chiron,Libra,253,182,435,0.58,0.42
CH_Z08_SCO,Chiron,Scorpio,255,230,485,0.53,0.47
CH_Z09_SAG,Chiron,Sagittarius,327,329,656,0.5,0.5
CH_Z10_CAP,Chiron,Capricorn,455,437,892,0.51,0.49
CH_Z11_AQU,Chiron,Aquarius,732,619,1351,0.54,0.46
CH_Z12_PIS,Chiron,Pisces,1057,912,1969,0.54,0.46
JN_Z01_ARI,Juno,Aries,263,198,461,0.57,0.43
JN_Z02_TAU,Juno,Taurus,212,153,365,0.58,0.42
JN_Z03_GEM,Juno,Gemini,208,202,410,0.51,0.49
JN_Z04_CAN,Juno,Cancer,219,192,411,0.53,0.47
JN_Z05_LEO,Juno,Leo,301,290,591,0.51,0.49
JN_Z06_VIR,Juno,Virgo,331,279,610,0.54,0.46
JN_Z07_LIB,Juno,Libra,527,426,953,0.55,0.45
JN_Z08_SCO,Juno,Scorpio,486,453,939,0.52,0.48
JN_Z09_SAG,Juno,Sagittarius,443,418,861,0.51,0.49
JN_Z10_CAP,Juno,Capricorn,401,316,717,0.56,0.44
JN_Z11_AQU,Juno,Aquarius,333,285,618,0.54,0.46
JN_Z12_PIS,Juno,Pisces,196,195,391,0.5,0.5
JU_Z01_ARI,Jupiter,Aries,176,154,330,0.53,0.47
JU_Z02_TAU,Jupiter,Taurus,217,218,435,0.5,0.5
JU_Z03_GEM,Jupiter,Gemini,275,245,520,0.53,0.47
JU_Z04_CAN,Jupiter,Cancer,271,256,527,0.51,0.49
JU_Z05_LEO,Jupiter,Leo,274,266,540,0.51,0.49
JU_Z06_VIR,Jupiter,Virgo,382,356,738,0.52,0.48
JU_Z07_LIB,Jupiter,Libra,448,375,823,0.54,0.46
JU_Z08_SCO,Jupiter,Scorpio,446,372,818,0.55,0.45
JU_Z09_SAG,Jupiter,Sagittarius,452,349,801,0.56,0.44
JU_Z10_CAP,Jupiter,Capricorn,431,363,794,0.54,0.46
JU_Z11_AQU,Jupiter,Aquarius,301,253,554,0.54,0.46
JU_Z12_PIS,Jupiter,Pisces,247,200,447,0.55,0.45
MA_Z01_ARI,Mars,Aries,315,241,556,0.57,0.43
MA_Z02_TAU,Mars,Taurus,284,287,571,0.5,0.5
MA_Z03_GEM,Mars,Gemini,271,250,521,0.52,0.48
MA_Z04_CAN,Mars,Cancer,346,345,691,0.5,0.5
MA_Z05_LEO,Mars,Leo,404,340,744,0.54,0.46
MA_Z06_VIR,Mars,Virgo,422,333,755,0.56,0.44
MA_Z07_LIB,Mars,Libra,390,325,715,0.55,0.45
MA_Z08_SCO,Mars,Scorpio,319,289,608,0.52,0.48
MA_Z09_SAG,Mars,Sagittarius,317,301,618,0.51,0.49
MA_Z10_CAP,Mars,Capricorn,263,225,488,0.54,0.46
MA_Z11_AQU,Mars,Aquarius,288,237,525,0.55,0.45
MA_Z12_PIS,Mars,Pisces,301,234,535,0.56,0.44
ME_Z01_ARI,Mercury,Aries,311,274,585,0.53,0.47
ME_Z02_TAU,Mercury,Taurus,281,258,539,0.52,0.48
ME_Z03_GEM,Mercury,Gemini,277,247,524,0.53,0.47
ME_Z04_CAN,Mercury,Cancer,322,285,607,0.53,0.47
ME_Z05_LEO,Mercury,Leo,311,299,610,0.51,0.49
ME_Z06_VIR,Mercury,Virgo,329,264,593,0.55,0.45
ME_Z07_LIB,Mercury,Libra,322,313,635,0.51,0.49
ME_Z08_SCO,Mercury,Scorpio,389,319,708,0.55,0.45
ME_Z09_SAG,Mercury,Sagittarius,358,290,648,0.55,0.45
ME_Z10_CAP,Mercury,Capricorn,349,264,613,0.57,0.43
ME_Z11_AQU,Mercury,Aquarius,327,305,632,0.52,0.48
ME_Z12_PIS,Mercury,Pisces,344,289,633,0.54,0.46
MO_Z01_ARI,Moon,Aries,334,284,618,0.54,0.46
MO_Z02_TAU,Moon,Taurus,322,290,612,0.53,0.47
MO_Z03_GEM,Moon,Gemini,323,290,613,0.53,0.47
MO_Z04_CAN,Moon,Cancer,333,280,613,0.54,0.46
MO_Z05_LEO,Moon,Leo,321,284,605,0.53,0.47
MO_Z06_VIR,Moon,Virgo,346,264,610,0.57,0.43
MO_Z07_LIB,Moon,Libra,326,275,601,0.54,0.46
MO_Z08_SCO,Moon,Scorpio,303,294,597,0.51,0.49
MO_Z09_SAG,Moon,Sagittarius,332,273,605,0.55,0.45
MO_Z10_CAP,Moon,Capricorn,313,301,614,0.51,0.49
MO_Z11_AQU,Moon,Aquarius,348,269,617,0.56,0.44
MO_Z12_PIS,Moon,Pisces,319,303,622,0.51,0.49
NE_Z10_CAP,Neptune,Capricorn,883,719,1602,0.55,0.45
NE_Z11_AQU,Neptune,Aquarius,1762,1612,3374,0.52,0.48
NE_Z12_PIS,Neptune,Pisces,1275,1076,2351,0.54,0.46
NN_Z01_ARI,NNode,Aries,202,188,390,0.52,0.48
NN_Z02_TAU,NNode,Taurus,210,181,391,0.54,0.46
NN_Z03_GEM,NNode,Gemini,284,275,559,0.51,0.49
NN_Z04_CAN,NNode,Cancer,408,368,776,0.53,0.47
NN_Z05_LEO,NNode,Leo,428,355,783,0.55,0.45
NN_Z06_VIR,NNode,Virgo,409,373,782,0.52,0.48
NN_Z07_LIB,NNode,Libra,434,349,783,0.55,0.45
NN_Z08_SCO,NNode,Scorpio,420,360,780,0.54,0.46
