PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
CE_CH_a144,1,128,0,0.008,0,0,0.006,-0.03,0.025,0.056,-0.292,2.458,0.001
CE_PH_a150,1,174,-0.001,0.012,0,0,0.011,-0.03,0.035,0.065,-0.239,-0.091,0.001
CE_PL_a36,1,213,0.001,0.01,0.001,0.001,0.009,-0.03,0.038,0.068,0.066,1.166,0.001
CE_SA_a36,1,283,0,0.011,0.001,0,0.008,-0.063,0.049,0.112,-0.416,4.823,0.001
CH_PL_a103,1,30,-0.001,0.005,0,-0.001,0.003,-0.013,0.011,0.024,-0.004,0.536,0.001
JN_UR_a36,1,131,0,0.01,0.001,0,0.006,-0.041,0.033,0.074,-1.289,5.578,0.001
JU_CH_a36,1,152,-0.001,0.012,0,0,0.009,-0.045,0.028,0.073,-0.54,1.627,0.001
JU_NE_a120,1,189,0.001,0.009,0.001,0.001,0.006,-0.03,0.041,0.071,0.426,3.389,0.001
JU_PH_a45,1,257,0,0.009,0.001,0,0.007,-0.031,0.042,0.073,0.325,3.87,0.001
JU_UR_a120,1,152,0,0.007,0,0,0.006,-0.019,0.019,0.038,-0.12,0.485,0.001
MA_CE_a0,1,89,0.002,0.009,0.001,0.001,0.006,-0.014,0.044,0.058,1.579,5.267,0.001
MA_JU_a103,1,144,0,0.009,0,0,0.007,-0.03,0.023,0.053,-0.453,0.708,0.001
MA_PL_a36,1,151,0,0.011,0,0,0.007,-0.05,0.031,0.082,-1.085,4.65,0.001
ME_JU_a103,1,154,0.001,0.01,0,0.001,0.009,-0.045,0.044,0.089,-0.254,3.931,0.001
ME_PH_a144,1,159,0,0.009,0,0,0.008,-0.036,0.031,0.067,-0.062,1.401,0.001
ME_VS_a90,1,149,-0.001,0.013,0.001,0,0.008,-0.098,0.033,0.131,-2.875,18.309,0.001
MO_CH_a180,1,276,0,0.011,0.001,0,0.007,-0.036,0.085,0.121,1.575,14.44,0.001
MO_JU_a144,1,547,0,0.011,0,0,0.007,-0.057,0.065,0.122,0.07,7.286,0
MO_NN_a30,1,536,0,0.011,0,0,0.008,-0.046,0.068,0.113,0.232,5.042,0
MO_PA_a60,1,549,0,0.011,0,0,0.007,-0.069,0.109,0.178,0.57,20.571,0
MO_SN_a150,1,536,0,0.011,0,0,0.008,-0.046,0.068,0.113,0.232,5.042,0
MO_VE_a60,1,513,0.001,0.011,0.001,0.001,0.007,-0.06,0.038,0.098,-0.533,4.144,0
MO_VS_a135,1,532,0,0.01,0.001,0.001,0.007,-0.055,0.048,0.104,-0.574,3.904,0
NN_CH_a150,1,153,0,0.008,0,0,0.006,-0.02,0.029,0.05,0.173,0.778,0.001
NN_SN_a180,1,7332,0,0.011,0.001,0.001,0.007,-0.098,0.109,0.208,-0.104,9.568,0
PA_CH_a120,1,162,0,0.017,0,0,0.008,-0.069,0.068,0.137,0.091,5.052,0.001
PA_NE_a36,1,227,0.001,0.008,0.001,0.001,0.006,-0.025,0.036,0.061,0.581,3.371,0.001
PA_NN_a30,1,122,0.001,0.008,0.001,0.001,0.007,-0.025,0.021,0.046,-0.211,0.677,0.001
PA_SN_a150,1,122,0.001,0.008,0.001,0.001,0.007,-0.025,0.021,0.046,-0.211,0.677,0.001
PA_UR_a36,1,205,0.001,0.008,0.001,0.001,0.007,-0.023,0.042,0.065,0.387,3.382,0.001
SA_CH_a180,1,297,0,0.006,0,0,0.006,-0.02,0.02,0.04,0.059,0.643,0
SN_CH_a30,1,153,0,0.008,0,0,0.006,-0.02,0.029,0.05,0.173,0.778,0.001
SU_JU_a120,1,162,0.001,0.009,0.001,0.001,0.008,-0.03,0.028,0.058,-0.146,0.654,0.001
SU_NE_a0,1,85,-0.002,0.011,0,0,0.006,-0.046,0.02,0.066,-1.871,5.32,0.001
