PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
MAJU_a60,1,264,0,0.009,0,0,0.007,-0.03,0.046,0.076,0.626,5.197,0.001
MAUR_a45,1,166,-0.001,0.009,0,-0.001,0.006,-0.042,0.021,0.063,-1.065,3.354,0.001
MEPL_a60,1,250,0,0.009,0,0,0.007,-0.036,0.034,0.07,0.132,2.597,0.001
MOME_a45,1,677,0,0.01,0,0,0.007,-0.103,0.067,0.17,-1.69,23.44,0
SANE_a45,1,244,0.001,0.007,0,0,0.006,-0.022,0.027,0.049,0.146,0.84,0
SUSA_a60,1,234,0.001,0.008,0,0.001,0.006,-0.035,0.03,0.065,-0.278,2.024,0.001
MANE_a60,1,180,0.001,0.009,0.001,0.001,0.006,-0.066,0.021,0.086,-2.366,15.002,0.001
MOJU_a60,1,705,0,0.009,0,0,0.007,-0.048,0.059,0.107,0.315,6.594,0
MOMA_a120,1,676,0,0.009,0.001,0,0.007,-0.058,0.052,0.11,0.222,7.155,0
MOSA_a103,1,707,0,0.008,0.001,0,0.007,-0.04,0.05,0.09,-0.198,4.133,0
JUNE_a0,1,108,0.002,0.008,0.002,0.002,0.008,-0.016,0.019,0.036,-0.1,-0.549,0.001
JUSA_a45,1,258,0.001,0.009,0,0,0.007,-0.023,0.047,0.07,1.049,3.831,0.001
MEMA_a60,1,260,0,0.008,0,0,0.007,-0.035,0.023,0.059,-0.518,1.306,0.001
MENE_a0,1,126,0,0.008,0.001,0,0.007,-0.031,0.03,0.061,-0.109,2.535,0.001
MESA_a45,1,263,0.001,0.009,0.001,0.001,0.007,-0.039,0.044,0.083,0.144,3.718,0.001
MOVE_a103,1,659,0,0.008,0.001,0,0.006,-0.029,0.062,0.091,0.555,6.195,0
VEUR_a0,1,107,0.001,0.009,0.002,0.002,0.006,-0.058,0.018,0.076,-2.697,13.421,0.001
MOUR_a103,1,697,0,0.008,0.001,0.001,0.007,-0.038,0.035,0.073,-0.281,2.67,0
MOJU_a90,1,662,0,0.009,0,0,0.007,-0.036,0.065,0.101,0.505,6.833,0
MOMA_a150,1,682,0,0.009,0,0,0.006,-0.048,0.047,0.095,-0.45,5.361,0
MONE_a90,1,700,0,0.01,0,0,0.007,-0.103,0.046,0.149,-1.987,22.017,0
MOSA_a135,1,705,0,0.009,0,0,0.006,-0.058,0.059,0.116,-0.089,8.023,0
MOME_a90,1,658,0,0.008,0.001,0,0.006,-0.043,0.052,0.095,-0.058,5.479,0
MOPL_a150,1,705,0,0.008,0.001,0,0.006,-0.04,0.059,0.099,0.067,6.297,0
MOJU_a103,1,694,0,0.009,0.001,0,0.006,-0.043,0.042,0.085,-0.133,3.959,0
MOUR_a120,1,693,0,0.008,0,0,0.006,-0.052,0.052,0.104,-0.25,7.896,0
MOVE_a120,1,647,0,0.009,0,0,0.006,-0.044,0.059,0.103,0.134,6.948,0
MONE_a103,1,696,0,0.009,0.001,0,0.007,-0.09,0.05,0.14,-1.221,17.098,0
MOME_a103,1,628,0,0.008,0.001,0,0.006,-0.04,0.044,0.084,-0.265,4.083,0
MOSA_a150,1,686,0,0.009,0,0,0.007,-0.059,0.065,0.124,0.457,9.736,0
MAPL_a0,1,91,0.002,0.011,0.001,0.002,0.006,-0.029,0.067,0.096,1.666,11.135,0.001
