PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(4,5]",Ceres,"(4,5]",1044,821,1865,0.56,0.44
"CE_(5,7]",Ceres,"(5,7]",1591,1422,3013,0.53,0.47
"CE_(7,13]",Ceres,"(7,13]",635,597,1232,0.52,0.48
"CE_[0,4]",Ceres,"[0,4]",1796,1593,3389,0.53,0.47
"CH_(4,5]",Chiron,"(4,5]",1001,880,1881,0.53,0.47
"CH_(5,7]",Chiron,"(5,7]",1704,1396,3100,0.55,0.45
"CH_(7,13]",Chiron,"(7,13]",744,655,1399,0.53,0.47
"CH_[0,4]",Chiron,"[0,4]",1617,1502,3119,0.52,0.48
"JN_(4,5]",Juno,"(4,5]",1014,838,1852,0.55,0.45
"JN_(5,7]",Juno,"(5,7]",1625,1369,2994,0.54,0.46
"JN_(7,14]",Juno,"(7,14]",669,636,1305,0.51,0.49
"JN_[0,4]",Juno,"[0,4]",1758,1590,3348,0.53,0.47
"JU_(4,5]",Jupiter,"(4,5]",1012,852,1864,0.54,0.46
"JU_(5,7]",Jupiter,"(5,7]",1633,1423,3056,0.53,0.47
"JU_(7,12]",Jupiter,"(7,12]",721,622,1343,0.54,0.46
"JU_[0,4]",Jupiter,"[0,4]",1700,1536,3236,0.53,0.47
"MA_(4,5]",Mars,"(4,5]",1013,859,1872,0.54,0.46
"MA_(5,7]",Mars,"(5,7]",1508,1323,2831,0.53,0.47
"MA_(7,13]",Mars,"(7,13]",660,626,1286,0.51,0.49
"MA_[0,4]",Mars,"[0,4]",1885,1625,3510,0.54,0.46
"ME_(4,5]",Mercury,"(4,5]",989,875,1864,0.53,0.47
"ME_(5,7]",Mercury,"(5,7]",1506,1398,2904,0.52,0.48
"ME_(7,14]",Mercury,"(7,14]",631,535,1166,0.54,0.46
"ME_[0,4]",Mercury,"[0,4]",1940,1625,3565,0.54,0.46
"MO_(13,15]",Moon,"(13,15]",1425,1281,2706,0.53,0.47
"MO_(15,17]",Moon,"(15,17]",1223,1084,2307,0.53,0.47
"MO_(17,27]",Moon,"(17,27]",908,741,1649,0.55,0.45
"MO_[5,13]",Moon,"[5,13]",1510,1327,2837,0.53,0.47
"NE_(4,5]",Neptune,"(4,5]",1013,909,1922,0.53,0.47
"NE_(5,6]",Neptune,"(5,6]",835,729,1564,0.53,0.47
"NE_(6,13]",Neptune,"(6,13]",1081,905,1986,0.54,0.46
"NE_[0,4]",Neptune,"[0,4]",2137,1890,4027,0.53,0.47
"NN_(5,6]",NNode,"(5,6]",1031,969,2000,0.52,0.48
"NN_(6,7]",NNode,"(6,7]",933,773,1706,0.55,0.45
"NN_(7,13]",NNode,"(7,13]",1002,918,1920,0.52,0.48
"NN_[1,5]",NNode,"[1,5]",2100,1773,3873,0.54,0.46
"PA_(4,5]",Pallas,"(4,5]",950,854,1804,0.53,0.47
"PA_(5,7]",Pallas,"(5,7]",1634,1359,2993,0.55,0.45
"PA_(7,13]",Pallas,"(7,13]",695,678,1373,0.51,0.49
"PA_[0,4]",Pallas,"[0,4]",1787,1542,3329,0.54,0.46
"PH_(4,5]",Pholus,"(4,5]",1050,835,1885,0.56,0.44
"PH_(5,6]",Pholus,"(5,6]",848,777,1625,0.52,0.48
"PH_(6,13]",Pholus,"(6,13]",1235,1051,2286,0.54,0.46
"PH_[0,4]",Pholus,"[0,4]",1933,1770,3703,0.52,0.48
"PL_(4,5]",Pluto,"(4,5]",1069,903,1972,0.54,0.46
"PL_(5,6]",Pluto,"(5,6]",858,760,1618,0.53,0.47
"PL_(6,14]",Pluto,"(6,14]",1127,978,2105,0.54,0.46
"PL_[0,4]",Pluto,"[0,4]",2012,1792,3804,0.53,0.47
"SA_(4,5]",Saturn,"(4,5]",976,828,1804,0.54,0.46
"SA_(5,7]",Saturn,"(5,7]",1488,1284,2772,0.54,0.46
"SA_(7,14]",Saturn,"(7,14]",623,571,1194,0.52,0.48
"SA_[0,4]",Saturn,"[0,4]",1979,1750,3729,0.53,0.47
"SN_(5,6]",SNode,"(5,6]",1109,953,2062,0.54,0.46
"SN_(6,7]",SNode,"(6,7]",891,789,1680,0.53,0.47
"SN_(7,13]",SNode,"(7,13]",1036,949,1985,0.52,0.48
"SN_[1,5]",SNode,"[1,5]",2030,1742,3772,0.54,0.46
"SU_(4,5]",Sun,"(4,5]",1057,895,1952,0.54,0.46
"SU_(5,7]",Sun,"(5,7]",1566,1369,2935,0.53,0.47
"SU_(7,14]",Sun,"(7,14]",661,594,1255,0.53,0.47
"SU_[0,4]",Sun,"[0,4]",1782,1575,3357,0.53,0.47
"UR_(4,5]",Uranus,"(4,5]",1005,857,1862,0.54,0.46
"UR_(5,7]",Uranus,"(5,7]",1603,1398,3001,0.53,0.47
"UR_(7,15]",Uranus,"(7,15]",826,730,1556,0.53,0.47
"UR_[0,4]",Uranus,"[0,4]",1632,1448,3080,0.53,0.47
"VE_(4,5]",Venus,"(4,5]",978,875,1853,0.53,0.47
"VE_(5,7]",Venus,"(5,7]",1593,1422,3015,0.53,0.47
"VE_(7,14]",Venus,"(7,14]",831,728,1559,0.53,0.47
"VE_[0,4]",Venus,"[0,4]",1664,1408,3072,0.54,0.46
"VS_(4,5]",Vesta,"(4,5]",1015,889,1904,0.53,0.47
"VS_(5,7]",Vesta,"(5,7]",1529,1404,2933,0.52,0.48
"VS_(7,13]",Vesta,"(7,13]",663,599,1262,0.53,0.47
"VS_[0,4]",Vesta,"[0,4]",1859,1541,3400,0.55,0.45
