PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",840,815,1655,0.51,0.49,CAR
"CAR_(6,8]",Cardinal,"(6,8]",1362,1113,2475,0.55,0.45,CAR
"CAR_(8,14]",Cardinal,"(8,14]",649,561,1210,0.54,0.46,CAR
"CAR_[0,5]",Cardinal,"[0,5]",2192,1930,4122,0.53,0.47,CAR
"FIX_(5,6]",Fixed,"(5,6]",1021,899,1920,0.53,0.47,FIX
"FIX_(6,7]",Fixed,"(6,7]",754,709,1463,0.52,0.48,FIX
"FIX_(7,14]",Fixed,"(7,14]",1004,901,1905,0.53,0.47,FIX
"FIX_[0,5]",Fixed,"[0,5]",2264,1910,4174,0.54,0.46,FIX
"MUT_(4,6]",Mutable,"(4,6]",1904,1639,3543,0.54,0.46,MUT
"MUT_(6,7]",Mutable,"(6,7]",865,781,1646,0.53,0.47,MUT
"MUT_(7,13]",Mutable,"(7,13]",1243,1072,2315,0.54,0.46,MUT
"MUT_[0,4]",Mutable,"[0,4]",1031,927,1958,0.53,0.47,MUT
