PlanetQuality,Planet,Quality,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,1607,1451,3058,0.53,0.47
CE_FIX,Ceres,Fixed,1596,1476,3072,0.52,0.48
CE_MUT,Ceres,Mutable,1863,1506,3369,0.55,0.45
CH_CAR,Chiron,Cardinal,1490,1312,2802,0.53,0.47
CH_FIX,Chiron,Fixed,1300,1153,2453,0.53,0.47
CH_MUT,Chiron,Mutable,2276,1968,4244,0.54,0.46
JN_CAR,Juno,Cardinal,1706,1464,3170,0.54,0.46
JN_FIX,Juno,Fixed,1710,1535,3245,0.53,0.47
JN_MUT,Juno,Mutable,1650,1434,3084,0.54,0.46
JU_CAR,Jupiter,Cardinal,1757,1531,3288,0.53,0.47
JU_FIX,Jupiter,Fixed,1671,1463,3134,0.53,0.47
JU_MUT,Jupiter,Mutable,1638,1439,3077,0.53,0.47
MA_CAR,Mars,Cardinal,1713,1484,3197,0.54,0.46
MA_FIX,Mars,Fixed,1649,1522,3171,0.52,0.48
MA_MUT,Mars,Mutable,1704,1427,3131,0.54,0.46
ME_CAR,Mercury,Cardinal,1647,1483,3130,0.53,0.47
ME_FIX,Mercury,Fixed,1714,1522,3236,0.53,0.47
ME_MUT,Mercury,Mutable,1705,1428,3133,0.54,0.46
MO_CAR,Moon,Cardinal,1684,1497,3181,0.53,0.47
MO_FIX,Moon,Fixed,1702,1471,3173,0.54,0.46
MO_MUT,Moon,Mutable,1680,1465,3145,0.53,0.47
NE_CAR,Neptune,Cardinal,1936,1651,3587,0.54,0.46
NE_FIX,Neptune,Fixed,1768,1612,3380,0.52,0.48
NE_MUT,Neptune,Mutable,1362,1170,2532,0.54,0.46
NN_CAR,NNode,Cardinal,1710,1440,3150,0.54,0.46
NN_FIX,NNode,Fixed,1698,1471,3169,0.54,0.46
NN_MUT,NNode,Mutable,1658,1522,3180,0.52,0.48
PA_CAR,Pallas,Cardinal,1606,1423,3029,0.53,0.47
PA_FIX,Pallas,Fixed,1713,1469,3182,0.54,0.46
PA_MUT,Pallas,Mutable,1747,1541,3288,0.53,0.47
PH_CAR,Pholus,Cardinal,1221,1056,2277,0.54,0.46
PH_FIX,Pholus,Fixed,1444,1327,2771,0.52,0.48
PH_MUT,Pholus,Mutable,2401,2050,4451,0.54,0.46
PL_CAR,Pluto,Cardinal,1780,1518,3298,0.54,0.46
PL_FIX,Pluto,Fixed,1585,1351,2936,0.54,0.46
PL_MUT,Pluto,Mutable,1701,1564,3265,0.52,0.48
SA_CAR,Saturn,Cardinal,1731,1456,3187,0.54,0.46
SA_FIX,Saturn,Fixed,1680,1468,3148,0.53,0.47
SA_MUT,Saturn,Mutable,1655,1509,3164,0.52,0.48
SN_CAR,SNode,Cardinal,1710,1440,3150,0.54,0.46
SN_FIX,SNode,Fixed,1698,1471,3169,0.54,0.46
SN_MUT,SNode,Mutable,1658,1522,3180,0.52,0.48
SU_CAR,Sun,Cardinal,1682,1411,3093,0.54,0.46
SU_FIX,Sun,Fixed,1728,1493,3221,0.54,0.46
SU_MUT,Sun,Mutable,1656,1529,3185,0.52,0.48
UR_CAR,Uranus,Cardinal,2043,1767,3810,0.54,0.46
UR_FIX,Uranus,Fixed,1341,1260,2601,0.52,0.48
UR_MUT,Uranus,Mutable,1682,1406,3088,0.54,0.46
VE_CAR,Venus,Cardinal,1701,1502,3203,0.53,0.47
VE_FIX,Venus,Fixed,1689,1498,3187,0.53,0.47
VE_MUT,Venus,Mutable,1676,1433,3109,0.54,0.46
VS_CAR,Vesta,Cardinal,1691,1557,3248,0.52,0.48
VS_FIX,Vesta,Fixed,1653,1452,3105,0.53,0.47
VS_MUT,Vesta,Mutable,1722,1424,3146,0.55,0.45
