PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(3,8]",Ceres,"(3,8]",1072,974,2046,0.52,0.48
CE_3,Ceres,3,1485,1249,2734,0.54,0.46
"CE_[0,2]",Ceres,"[0,2]",2546,2235,4781,0.53,0.47
"CH_(3,4]",Chiron,"(3,4]",1145,978,2123,0.54,0.46
"CH_(4,5]",Chiron,"(4,5]",1058,832,1890,0.56,0.44
"CH_(5,11]",Chiron,"(5,11]",1138,1016,2154,0.53,0.47
"CH_[0,3]",Chiron,"[0,3]",1762,1632,3394,0.52,0.48
"JN_(1,2]",Juno,"(1,2]",1680,1427,3107,0.54,0.46
"JN_(2,3]",Juno,"(2,3]",1366,1184,2550,0.54,0.46
"JN_(3,7]",Juno,"(3,7]",796,711,1507,0.53,0.47
"JN_[0,1]",Juno,"[0,1]",1261,1136,2397,0.53,0.47
"JU_(2,3]",Jupiter,"(2,3]",1398,1298,2696,0.52,0.48
"JU_(3,4]",Jupiter,"(3,4]",1130,942,2072,0.55,0.45
"JU_(4,8]",Jupiter,"(4,8]",773,682,1455,0.53,0.47
"JU_[0,2]",Jupiter,"[0,2]",1802,1536,3338,0.54,0.46
"MA_(2,5]",Mars,"(2,5]",1013,917,1930,0.52,0.48
MA_2,Mars,2,1797,1596,3393,0.53,0.47
"MA_[0,1]",Mars,"[0,1]",2293,1945,4238,0.54,0.46
"ME_(1,3]",Mercury,"(1,3]",597,550,1147,0.52,0.48
ME_0,Mercury,0,1431,1243,2674,0.54,0.46
ME_1,Mercury,1,3075,2665,5740,0.54,0.46
"NE_(4,5]",Neptune,"(4,5]",1011,902,1913,0.53,0.47
"NE_(5,6]",Neptune,"(5,6]",827,726,1553,0.53,0.47
"NE_(6,13]",Neptune,"(6,13]",1013,849,1862,0.54,0.46
"NE_[0,4]",Neptune,"[0,4]",2252,1981,4233,0.53,0.47
"NN_(2,3]",NNode,"(2,3]",1384,1127,2511,0.55,0.45
"NN_(3,4]",NNode,"(3,4]",1169,1055,2224,0.53,0.47
"NN_(4,9]",NNode,"(4,9]",1099,997,2096,0.52,0.48
"NN_[0,2]",NNode,"[0,2]",1451,1279,2730,0.53,0.47
"PA_(2,3]",Pallas,"(2,3]",1481,1273,2754,0.54,0.46
"PA_(3,4]",Pallas,"(3,4]",1019,881,1900,0.54,0.46
"PA_(4,8]",Pallas,"(4,8]",592,526,1118,0.53,0.47
"PA_[0,2]",Pallas,"[0,2]",2011,1778,3789,0.53,0.47
"PH_(3,5]",Pholus,"(3,5]",2046,1761,3807,0.54,0.46
"PH_(5,6]",Pholus,"(5,6]",763,688,1451,0.53,0.47
"PH_(6,13]",Pholus,"(6,13]",855,729,1584,0.54,0.46
"PH_[0,3]",Pholus,"[0,3]",1439,1280,2719,0.53,0.47
"PL_(4,5]",Pluto,"(4,5]",1074,911,1985,0.54,0.46
"PL_(5,6]",Pluto,"(5,6]",862,767,1629,0.53,0.47
"PL_(6,14]",Pluto,"(6,14]",1143,985,2128,0.54,0.46
"PL_[0,4]",Pluto,"[0,4]",2024,1795,3819,0.53,0.47
"SA_(3,4]",Saturn,"(3,4]",1111,941,2052,0.54,0.46
"SA_(4,5]",Saturn,"(4,5]",824,726,1550,0.53,0.47
"SA_(5,11]",Saturn,"(5,11]",941,842,1783,0.53,0.47
"SA_[0,3]",Saturn,"[0,3]",2227,1949,4176,0.53,0.47
"SN_(3,4]",SNode,"(3,4]",1366,1169,2535,0.54,0.46
"SN_(4,5]",SNode,"(4,5]",1167,1059,2226,0.52,0.48
"SN_(5,10]",SNode,"(5,10]",1134,1015,2149,0.53,0.47
"SN_[1,3]",SNode,"[1,3]",1436,1215,2651,0.54,0.46
"SU_(1,2]",Sun,"(1,2]",1663,1454,3117,0.53,0.47
"SU_(2,4]",Sun,"(2,4]",342,304,646,0.53,0.47
SU_1,Sun,1,2320,2018,4338,0.53,0.47
"SU_[0,1)",Sun,"[0,1)",778,682,1460,0.53,0.47
"UR_(3,5]",Uranus,"(3,5]",2047,1845,3892,0.53,0.47
"UR_(5,6]",Uranus,"(5,6]",789,693,1482,0.53,0.47
"UR_(6,13]",Uranus,"(6,13]",856,738,1594,0.54,0.46
"UR_[0,3]",Uranus,"[0,3]",1411,1182,2593,0.54,0.46
"VE_(1,2]",Venus,"(1,2]",1286,1113,2399,0.54,0.46
"VE_(2,3]",Venus,"(2,3]",170,142,312,0.54,0.46
VE_1,Venus,1,2638,2276,4914,0.54,0.46
"VE_[0,1)",Venus,"[0,1)",1009,927,1936,0.52,0.48
"VS_(1,2]",Vesta,"(1,2]",1874,1622,3496,0.54,0.46
"VS_(2,3]",Vesta,"(2,3]",1080,975,2055,0.53,0.47
"VS_(3,6]",Vesta,"(3,6]",410,378,788,0.52,0.48
"VS_[0,1]",Vesta,"[0,1]",1739,1483,3222,0.54,0.46
