PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,3819,3338,7157,0.53,0.47
CE_RET,Ceres,Retrograde,1012,946,1958,0.52,0.48
CE_STA,Ceres,Stationary,168,153,321,0.52,0.48
CH_DIR,Chiron,Direct,2961,2570,5531,0.54,0.46
CH_RET,Chiron,Retrograde,1837,1646,3483,0.53,0.47
CH_STA,Chiron,Stationary,201,221,422,0.48,0.52
JN_DIR,Juno,Direct,3760,3366,7126,0.53,0.47
JN_RET,Juno,Retrograde,1049,893,1942,0.54,0.46
JN_STA,Juno,Stationary,190,178,368,0.52,0.48
JU_DIR,Jupiter,Direct,3304,2907,6211,0.53,0.47
JU_RET,Jupiter,Retrograde,1448,1339,2787,0.52,0.48
JU_STA,Jupiter,Stationary,247,191,438,0.56,0.44
MA_DIR,Mars,Direct,4404,3916,8320,0.53,0.47
MA_RET,Mars,Retrograde,478,420,898,0.53,0.47
MA_STA,Mars,Stationary,117,101,218,0.54,0.46
ME_DIR,Mercury,Direct,3887,3454,7341,0.53,0.47
ME_RET,Mercury,Retrograde,947,851,1798,0.53,0.47
ME_STA,Mercury,Stationary,165,132,297,0.56,0.44
MO_DIR,Moon,Direct,4999,4437,9436,0.53,0.47
NE_DIR,Neptune,Direct,2562,2220,4782,0.54,0.46
NE_RET,Neptune,Retrograde,1951,1765,3716,0.53,0.47
NE_STA,Neptune,Stationary,486,452,938,0.52,0.48
NN_DIR,NNode,Direct,4999,4437,9436,0.53,0.47
PA_DIR,Pallas,Direct,3734,3303,7037,0.53,0.47
PA_RET,Pallas,Retrograde,1095,1006,2101,0.52,0.48
PA_STA,Pallas,Stationary,170,128,298,0.57,0.43
PH_DIR,Pholus,Direct,2893,2540,5433,0.53,0.47
PH_RET,Pholus,Retrograde,1836,1653,3489,0.53,0.47
PH_STA,Pholus,Stationary,270,244,514,0.53,0.47
PL_DIR,Pluto,Direct,2594,2279,4873,0.53,0.47
PL_RET,Pluto,Retrograde,1902,1713,3615,0.53,0.47
PL_STA,Pluto,Stationary,503,445,948,0.53,0.47
SA_DIR,Saturn,Direct,2922,2607,5529,0.53,0.47
SA_RET,Saturn,Retrograde,1771,1557,3328,0.53,0.47
SA_STA,Saturn,Stationary,306,273,579,0.53,0.47
SN_DIR,SNode,Direct,4999,4437,9436,0.53,0.47
SU_DIR,Sun,Direct,4999,4437,9436,0.53,0.47
UR_DIR,Uranus,Direct,2729,2391,5120,0.53,0.47
UR_RET,Uranus,Retrograde,1926,1775,3701,0.52,0.48
UR_STA,Uranus,Stationary,344,271,615,0.56,0.44
VE_DIR,Venus,Direct,4577,4016,8593,0.53,0.47
VE_RET,Venus,Retrograde,341,325,666,0.51,0.49
VE_STA,Venus,Stationary,81,96,177,0.46,0.54
VS_DIR,Vesta,Direct,3928,3539,7467,0.53,0.47
VS_RET,Vesta,Retrograde,913,757,1670,0.55,0.45
VS_STA,Vesta,Stationary,158,141,299,0.53,0.47
