PlanetTriplicity,Planet,Triplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,1575,1431,3006,0.52,0.48
CE_FIX,Ceres,Fixed,1596,1476,3072,0.52,0.48
CE_MUT,Ceres,Mutable,1854,1498,3352,0.55,0.45
CH_CAR,Chiron,Cardinal,1449,1284,2733,0.53,0.47
CH_FIX,Chiron,Fixed,1300,1153,2453,0.53,0.47
CH_MUT,Chiron,Mutable,2276,1968,4244,0.54,0.46
JN_CAR,Juno,Cardinal,1706,1464,3170,0.54,0.46
JN_FIX,Juno,Fixed,1710,1535,3245,0.53,0.47
JN_MUT,Juno,Mutable,1609,1406,3015,0.53,0.47
JU_CAR,Juno,Cardinal,1757,1531,3288,0.53,0.47
JU_FIX,Juno,Fixed,1630,1435,3065,0.53,0.47
JU_MUT,Juno,Mutable,1638,1439,3077,0.53,0.47
MA_CAR,Mars,Cardinal,1706,1482,3188,0.54,0.46
MA_FIX,Mars,Fixed,1635,1510,3145,0.52,0.48
MA_MUT,Mars,Mutable,1684,1413,3097,0.54,0.46
ME_CAR,Mercury,Cardinal,1639,1481,3120,0.53,0.47
ME_FIX,Mercury,Fixed,1689,1504,3193,0.53,0.47
ME_MUT,Mercury,Mutable,1697,1420,3117,0.54,0.46
MO_CAR,Moon,Cardinal,1666,1490,3156,0.53,0.47
MO_FIX,Moon,Fixed,1687,1455,3142,0.54,0.46
MO_MUT,Moon,Mutable,1672,1460,3132,0.53,0.47
NE_CAR,Neptune,Cardinal,1936,1651,3587,0.54,0.46
NE_FIX,Neptune,Fixed,1768,1612,3380,0.52,0.48
NE_MUT,Neptune,Mutable,1321,1142,2463,0.54,0.46
NN_CAR,North Node,Cardinal,1710,1440,3150,0.54,0.46
NN_FIX,North Node,Fixed,1698,1471,3169,0.54,0.46
NN_MUT,North Node,Mutable,1617,1494,3111,0.52,0.48
PA_CAR,Pallas,Cardinal,1606,1423,3029,0.53,0.47
PA_FIX,Pallas,Fixed,1699,1456,3155,0.54,0.46
PA_MUT,Pallas,Mutable,1720,1526,3246,0.53,0.47
PH_CAR,Pholus,Cardinal,1180,1028,2208,0.53,0.47
PH_FIX,Pholus,Fixed,1444,1327,2771,0.52,0.48
PH_MUT,Pholus,Mutable,2401,2050,4451,0.54,0.46
PL_CAR,Pluto,Cardinal,1739,1490,3229,0.54,0.46
PL_FIX,Pluto,Fixed,1585,1351,2936,0.54,0.46
PL_MUT,Pluto,Mutable,1701,1564,3265,0.52,0.48
SA_CAR,Saturn,Cardinal,1731,1456,3187,0.54,0.46
SA_FIX,Saturn,Fixed,1639,1440,3079,0.53,0.47
SA_MUT,Saturn,Mutable,1655,1509,3164,0.52,0.48
SN_CAR,South Node,Cardinal,1710,1440,3150,0.54,0.46
SN_FIX,South Node,Fixed,1698,1471,3169,0.54,0.46
SN_MUT,South Node,Mutable,1617,1494,3111,0.52,0.48
SU_CAR,Sun,Cardinal,1671,1403,3074,0.54,0.46
SU_FIX,Sun,Fixed,1710,1482,3192,0.54,0.46
SU_MUT,Sun,Mutable,1644,1520,3164,0.52,0.48
UR_CAR,Uranus,Cardinal,2043,1767,3810,0.54,0.46
UR_FIX,Uranus,Fixed,1300,1232,2532,0.51,0.49
UR_MUT,Uranus,Mutable,1682,1406,3088,0.54,0.46
VE_CAR,Venus,Cardinal,1693,1491,3184,0.53,0.47
VE_FIX,Venus,Fixed,1665,1488,3153,0.53,0.47
VE_MUT,Venus,Mutable,1667,1426,3093,0.54,0.46
VS_CAR,Vesta,Cardinal,1691,1557,3248,0.52,0.48
VS_FIX,Vesta,Fixed,1653,1452,3105,0.53,0.47
VS_MUT,Vesta,Mutable,1681,1396,3077,0.55,0.45
